"id","memberID","img","groupID","selection_class","agenttype1","agenttype2","gender","last_name","first_name","other_name","birthday","birth_location","birth_location_map","deathday","death_location","workplace","knows","shortbio","data_evaluation","authority_record","authority_organization"
"38","BlJC1808","","","1","Person","Sample","male","Bluntschli","Johan Caspar ","","01/01/1808 00:00","Zürich/Karlsruhe","","01/01/1881 00:00","Karlsruhe","Zürich, Switzerland","","Dr. jur. Rechtswissenschaftler und Politiker","","14836641",""
"39","BoJJ1698","","","3","Person","Historiographer","male","Bodmer","Johann Jakob","","01/01/1698 00:00","Critische Betrachtungen (1741) – CH –current critic of Bodmers „chronicle tradition“ Gustav Tobler. JJ Bodmer als Geschichtsschreiber in (Zimmer, 2003) (p. 45)","","01/01/1783 00:00","","","","Sprachwissenschafter, gehörte zu den Patrioten","","",""
"40","BoK1809","","","2","Person","Contemporary","male","Bodmer","Karl","","01/01/1809 00:00","","","01/01/1893 00:00","Paris","Zürich","","","","",""
"41","Bo0000","","","2","Person","Undefined","male","Bodrik","na","","","","","","","","","Professor italienischer Literatur in Zürich","","",""
"42","BoeL1858","","","4","Person","Biographer","female","Bögli","Lina","","01/01/1858 00:00","","","01/01/1941 00:00","","","","Biographer","","",""
"43","BoC1809","","","1","Person","Contemporary","male","Boller","Conrad","","01/01/1809 00:00","Pfäffikon","","","","","","hilft Vater auf Heimwesen","","",""
"44","BoNF1811","","","2","Person","Contemporary","male","Bonaparte","Napoleon Franz","Napoleon Franz Bonaparte; König von Rom","01/01/1811 00:00","","","01/01/1832 00:00","","","","","","",""
"45","BoSJ1732","","","4","Person","Biographer","female","Bondeli","(Suzanne) Julie","","01/01/1732 00:00","","","01/01/1778 00:00","Neuchâtel, Switzerland","Bern, Switzerland","","","","67259373",""
"46","BoE1898","","","3","Person","Historiographer","male","Bonjour","Edgar","","01/01/1898 00:00","","","01/01/1991 00:00","","","","definition and defens of the Swiss “Sonderposition”, Swiss neutrality, “minimizes the signification of the French revolution” – democratic values as already existing in the Confederation (Universität Basel, 2010) (Zur Herleitung des Monumentalwerkes der 1960er und 1970er Jahre aus den Anfängen von 1943 vgl. Georg Kreis: Die Geschichte des Bonjour-Berichts. Und ein Rückblick auf dreissig Jahre Geschichtsschreibung zur Schweiz im Zweiten Weltkrieg. In: NZ am Wochenende vom 5. Juni 1976.)","","",""
"47","BoKV1745","","","1","Person","Historical","male","Bonstetten","Karl Viktor, von","","01/01/1745 00:00","Bern/Genf","","01/01/1832 00:00","","","","Schriftsteller","","",""
"48","BoF1791","","","2","Person","Contemporary","male","Bopp","Franz","","01/01/1791 00:00","","","01/01/1867 00:00","","","","Professor Sanskrit","","",""
"49","Borel0000","","","2","Person","Undefined","male","Borel","???","","","Neuchatel","","","","","","Pfarrer (Ministre) im Welschland, verheiratet mit einer Meuron","","",""
"50","BoE1835","","","2","Person","Contemporary","male","Borel","Eugène","","01/01/1835 00:00","","","01/01/1892 00:00","Bern","Neuchatel","","","","",""
"51","BoT1799","","","2","Person","Contemporary","male","Bornhauser","Thomas","","01/01/1799 00:00","Weinfelden","","01/01/1856 00:00","Müllheim","Weinfelden","","Revolutionsführer","","",""
"52","BoHJ1784","","","1","Person","Contemporary","male","Bosshard","Hans Jakob","","01/01/1784 00:00","Hittnau/Zürich","","01/01/1839 00:00","","","","arm","","",""
"53","BoJ1820","","","1","Person","Contemporary","male","Bosshard","Johannes","","01/01/1820 00:00","Wila","","","","","","unbekannt","","",""
"54","BoJB1627","","","2","Person","Historiographer","male","Bossuet ","Jacques Bénigne ","","01/01/1627 00:00","","","01/01/1704 00:00","France","France","","(1681) Discours sur l‘histoire universelle  – theological universal history","","",""
"55","Boyve1731","","","2","Person","Historiographer","male","Boyve","Jérome-Emmanuel","","01/01/1731 00:00","Neuchatel","","01/01/1810 00:00","Neuchatel","Neuchatel","","Chancilier in Neuchatel","","",""
"56","Brähm0000","","","2","Person","Undefined","male","Brähm","???","","","Meilen","","","","","","Lehrer von Heinrich Escher","","",""
"57","BrEhM1755","","","3","Person","Historiographer","female","Brentano-Ehrmann","Marianne","","01/01/1755 00:00","","","01/01/1795 00:00","na","na","","also Marianne Ehrmann (1755-1795) (CH) – actress – editor - Philosophie eines Weibes: Von einer Beobachterin im Jahre 1784 (Ehrmann, 1784) - Amalie. Eine wahre Geschichte in Briefen (Ehrmann, 1788) – overlapping between historiography and belletristic especially in the genre of epistolary novels – writes with her husband the Wochenschrift for the Beobachter","","na",""
"58","BrFSC1765","","","3","Person","Historiographer","female","Brun ","Friederike Sophie Christiane","","01/01/1765 00:00","","","01/01/1835 00:00","Kopenhagen","Gräfentonna","","","","na",""
"59","HaS1805","","","5","Person","Contemporary","female","Hatzfeld","Sophie, Gräfin von","","01/01/1805 00:00","","","01/01/1881 00:00","Wiesbaden","Trachenberg","","German socialist and partner of Ferdinand Lasalle","","54940048",""
"60","LaLxxxx","","","5","Person","Contemporary","female","Lasalle","Lisbeth","","","","","","","","","Daughter of Ferdinand Lasalle","","",""
"61","AsL1821","","","5","Person","Contemporary","female","Assing","Rosa Ludmilla","pseudonyms: Achim Lothar, Talora","01/01/1821 00:00","","","01/01/1880 00:00","Florence","Hamburg","","Jewish-German writer","","100384493",""
"62","Brunner0000","","","2","Person","Undefined","male","Brunner","???","","","","","","","","","Oberstleutnant","","",""
"63","BueG1813","","","2","Person","Contemporary","male","Büchner","Georg","","01/01/1813 00:00","Hessen","","01/01/1837 00:00","Zürich, Switzerland","Riedstadt, Grand Duchy of Hesse","","Ausländischer Revolutionär an der Uni Zürich","","",""
"64","BueG0000","","","2","Person","Historical","male","Büchner","Georg","","","","","","","","","1834 versuchter Selbstmord in Zürich","","",""
"65","Bu1746§","","","3","Person","Historiographer","male","Buffon","","","","","","","","","","wrote (1746) histoire naturelle (and others) include nature in universal history – mountains in Swiss identity!","","",""
"66","Bullinger1504","","","3","Person","Historiographer","male","Bullinger","Heinrich","","01/01/1504 00:00","","","01/01/1575 00:00","Zürich, Switzerland","Bremgarten, Switzerland","","Theologieprofessorm später Pfarrer in Erlibach","","",""
"67","BuJC1818","","","1","Person","Historiographer","male","Burckhardt ","Jakob Christoph","","01/01/1818 00:00","Basel","","01/01/1897 00:00","","","","Kultur- und Kunsthistoriker. ","","",""
"68","BueMCE1760","","","3","Person","Historiographer","female","Bürger","Marie Christiane Elisabeth","Elise Bürger","01/01/1760 00:00","","","01/01/1833 00:00","Frankfurt am Main","Stuttgart","","","","na",""
"69","Bürgi1801","","","2","Person","Contemporary","male","Bürgi","David","","01/01/1801 00:00","","","01/01/1874 00:00","Fluntern","Bäretschweil","","","","103131442",""
"70","BuCJC1818","","","2","Person","Contemporary","male","Burkhardt","Carl Jacob Christoph","","01/01/1818 00:00","Basel","","01/01/1897 00:00","Basel, Switzerland","Basel, Switzerland","","liberal-konservativ","","",""
"71","BueJG1793","","","1","Person","Contemporary","male","Bürkli","Johann Georg","","01/01/1793 00:00","","","01/01/1851 00:00","Zürich, Switzerland*","Schinznach","","bis 1827 Seidenhandelskaufmann ","","D32392",""
"72","BueFPD1818","","","5","Person","Historical","male","Bürkli","Friedrich Paul David","","01/01/1818 00:00","Zürich, Switzerland","","01/01/1896 00:00","","","","Friedrich Paul David Bürkli arbeitete von 1837 an in der Redaktion des Wochenblattes Züricher Freitags-Zeitung, die bereits seit 1674 über mehrere Generationen im Besitz der Familie Bürkli war. Von 1852 bis 1877 war er selbständiger Redaktor dieser Zeitung. Ab den 1830er Jahren bis zu seinem Tod 1896 gab er den seit 1781 jährlich erscheinenden Züricher Kalender heraus. Ein weiterer Titel aus seinem Haus waren die Reisebegleiter für die Schweiz, die unter anderem Bahn- und Schiffsfahrpläne enthielten. Friedrich Bürklis Sammlung umfasst um die 1500 Titel. Bei etwa der Hälfte davon handelt es sich um orientalistische Fachliteratur des 19. Jahrhunderts, bei der anderen Hälfte um Drucke aus Europa, Ägypten und Indien in grösstenteils arabischer Sprache. Die Werke stammen von arabischen Autoren des 6. bis 16. Jahrhunderts und decken die Gebiete Grammatik, Lexikologie, islamisches Recht, islamische Theologie, Literatur und Geschichte ab (Wikipedia).","","",""
"73","BueHK1724§","","","5","Person","Historical","male","Bürkli","Hans Kaspar","","","Zürich, Switzerland*","","","","","","owner of the Bürklische Drukerey","","",""
"74","BueD1735","","","5","Person","Historical","male","Bürkli","David","","01/01/1735 00:00","Zürich, Switzerland*","","01/01/1790 00:00","","","","owner of the Bürklische Drukerey","","1061010279",""
"75","BueK1823","","","1","Person","Sample","male","Bürkli","Karl ","","01/01/1823 00:00","Zürich/Mettmenstetten","","01/01/1901 00:00","Mettmenstetten","Zürich","","","","117667099",""
"76","By1788","","","2","Person","Contemporary","male","Byron","","","01/01/1788 00:00","","","01/01/1824 00:00","","","","Lord Byron schwärmte für die Schweiz","","",""
"77","CaMA1775","","","2","Person","Biographer","female","Calame","Marie-Anne","","01/01/1775 00:00","","","01/01/1834 00:00","Le Locle","Le Locle","","Pietist.","","67273396 ",""
"78","vCaCJ1751","","","1","Person","Historical","male","Campagne","Carl Joseph, von","","01/01/1751 00:00","Bussenhausen","","01/01/1833 00:00","","","","Mystiker","","",""
"79","CaEH1892","","","2","Person","Contemporary","male","Carr","Edward Hallett","","01/01/1892 00:00","","","01/01/1982 00:00","London, England","London, England","","","","24418",""
"80","CaExxxx","","","3","Person","Historiographer","male","Cassirer","Ernst","","","","","","","","","","","",""
"81","CaNAX1767","","","2","Person","Contemporary","male","Castella de Berlens","Nicolas Antoine Xavier ","","01/01/1767 00:00","","","01/01/1830 00:00","Paris, France","Fribourg, Switzerland","","Swiss coronel during the Russian Campaign.","","na",""
"82","CaC1801","","","2","Person","Contemporary","male","Cattaneo","Carlo","","01/01/1801 00:00","","","01/01/1860 00:00","Milan, Italy","Milan, Italy","","","","",""
"83","ChP1850","","","2","Person","Contemporary","female","Chaponniere-Chaix","Pauline","","01/01/1850 00:00","","","01/01/1934 00:00","Geneva, Switzerland","Geneva, Switzerland","","","","na",""
"84","ChX1757","","","2","Person","Historical","male","Charles X of France","","Karl X.","01/01/1757 00:00","","","01/01/1836 00:00","Görz, Austria (now in Italy)","Palace of Versailles, France","","König von Frankreich, gestürzt, Bruder von Ludwig XVI.","","na",""
"85","ChAL1773","","","2","Person","Historical","male","Chézny","Antoine Léonard, de","","01/01/1773 00:00","","","01/01/1832 00:00","","","","Professor Sanskrit","","",""
"86","CiP1819","","","2","Person","Contemporary","male","Cironi","Piero","","01/01/1819 00:00","","","01/01/1862 00:00","Prato, Italy","Prato, Italy","","Patriot and dear friend of Giuseppe Mazzini. 1853-1857 exiled to Zürich after he had planned the march to Savoy (Savoyerzug) in 1834 and failed.","","49594102",""
"87","CoN1743","","","2","Person","Historical","male","Condorcet","Nicolas","Marie Jean Antoine Nicolas de Caritat, m","01/01/1743 00:00","","","01/01/1794 00:00","Bourg-la-Reine, France","Ribemont, France","","entwickelt Idee der Volksinitiative","","",""
"88","CoA0000","","","2","Person","Undefined","male","Conseil","Auguste","","","","","","","","","Spion, politischer Flüchtling, Conseil-Affaire 1835","","",""
"89","CoV1808","","","2","Person","Sample","male","Considerant","Victor Proper","","01/01/1808 00:00","","","01/01/1893 00:00","Paris, France","Salins-les-Bains, France","","Utopist, not directly involved in Swiss history","","",""
"90","CoB1767","","","2","Person","Contemporary","male","Constant","Benjamin","Henri-Benjamin Constant de Rebecque","01/01/1767 00:00","","","01/01/1830 00:00","Paris, France","Lausanne, Switzerland","","gemässigte Mitte (zw. Aristokratischer Despotie und revolutionäre Gewalt der Massen) im Kreis von Madame de Staël","","",""
"91","CoKnV1861","","","2","Person","Contemporary","female","Conzett-Knecht","Verena","","01/01/1861 00:00","","","","na","na","","","","na",""
"92","CrAW0000","","","3","Person","Historiographer","male","Cramer","Andreas Wilhelm","","","","","","","","","Haus-Chronik: meinen Anverwandten und Freunden zum Andenken gewidmet (1822) (Cramer, 1822)","","",""
"93","CdGJP0000","","","2","Person","Undefined","male","Currat de Grandvillard","Jean-Pierre","","","","","","","","","","","na",""
"94","DaC0000","","","3","Person","Historiographer","male","Dahlmann","Carl","","","","","","","","","Historiographer. „Modulations ins Volksnationale“ (Tuchtenhagen, 2011) (p. 44)","","",""
"95","DaeJ1822","","","2","Person","Contemporary","male","Dändliker","Jakob","","01/01/1822 00:00","","","01/01/1837 00:00","","","","Lehrer, Rektor, Stadtrat, Prov. Sekundarschullehrer in Pfäffikon bei Austritt Kramers","","",""
"96","DeM1495","","","2","Person","Historical","female","Dentière","Marie","Marie d’Ennetières","01/01/1495 00:00","","","01/01/1561 00:00","Geneva, Switzerland","Tournai, France","","","","na",""
"97","DiB1812","","","1","Person","Contemporary","male","Diem","Bartholomäus","","01/01/1812 00:00","Herisau (AR)/Zürich","","01/01/1839 00:00","","","","religiöser Dienstbote, arm","","",""
"98","DiJ1842","","","3","Person","Historiographer","male","Dierauer","Johannes","","01/01/1842 00:00","","","01/01/1920 00:00","","","","Schweizer Historiker","","",""
"99","DiJ0000","","","1","Person","Undefined","male","Dietliker","Jakob","","","Wetzikon/Zürich","","01/01/1839 00:00","Zürich","Wetzikon","","Zimmermann, Mittelstand (nicht ganz arm)","","",""
"101","DiJ1819","","","1","Person","Contemporary","male","Diggelmann","Jakob","","01/01/1819 00:00","Pfäffikon/Zürich","","01/01/1839 00:00","","","","Schustergehilfe, sehr arm","","",""
"102","DiJFLD1807","","","3","Person","Historiographer","female","Dittmar","Johanna Friederieke Louise","","01/01/1807 00:00","","","01/01/1884 00:00","na","na","","Named actually Johanna Friederieke Louise Dittmar(1807-1884) -  „Sie werden staunen, wie diese Dame unsre Philosophen und Theologen durch die Freiheit ihres Geistes beschämt.“ – (Feurbach) (Schuffenhauer, 1967) – a critical review (Dittmar, 1847a) – historiography (Dittmar, 1845b) – political commentaries (Dittmar, 1847b, 1849a, 1849b) – theological (social) identity building (Dittmar, 1845a, 1848)","","na",""
"103","DoH1896","","","3","Person","Historiographer","male","Domann","Hans","","01/01/1896 00:00","","","01/01/1944 00:00","","","","Das Gemeinschaftsbewusstsein der V Orte in der Alten Eidgenossenschaft (1943) – according Metzger in the national liberal historiography appears religion only as a negative factor (Metzger, 2011) (p. 175) this seems not correct (see BUND (SEK/FEPS/FCES, 1987))","","",""
"104","DoN0000","","","3","Person","Historiographer","male","Domeisen","Norbert","","","","","","","","","","","na",""
"105","Dorer1807","","","2","Person","Contemporary","male","Dorer-Egloff","Eduard","","01/01/1807 00:00","","","01/01/1864 00:00","Baden, Switzerland","Baden, Switzerland","","","","",""
"106","DrMG1812","","","2","Person","Contemporary","male","Dreyfus","Markus Getsch","Markus Götsch Dreifus(s)","01/01/1812 00:00","","","01/01/1877 00:00","Zürich","Endingen, Aargau, Switzerland","","Dreyfuss-Affaire, first conseil de guerre","","",""
"107","DrDH1799","","","2","Person","Historical","male","Druey","Daniel-Henri","","01/01/1799 00:00","","","01/01/1855 00:00","Bern, Switzerland","Faoug, Switzerland","","1845 radikaler Führer Waadt","","57361171",""
"108","DF0000","","","2","Person","Undefined","male","Du Fresne","","","","","","","","","","Swiss coronel during the Russian Campaign.","","na",""
"109","DuGH1787","","","2","Person","Historical","male","Dufour","Guillaume-Henri","","01/01/1787 00:00","Genf","","01/01/1875 00:00","Les Eaux-Vives, Geneva","Konstanz","","liberal-konservativ, protestant, Führer gegen Sonderbundtruppen, Generalstabsoffizier","","2495837",""
"110","DuOAJ1817","","","2","Person","Contemporary","female","Dufour-Onofrio","Anna Joséphine","","01/01/1817 00:00","","","","na","na","","","","na",""
"111","DuA1802","","","2","Person","Historical","male","Dumas","Alexandre","","01/01/1802 00:00","","","01/01/1870 00:00","Seine-Maritime, France","Villers-Cotterêts, France","","reports about his experiences during the July Revolution","","51688902",""
"112","DuALA1804","","","2","Person","Historical","female","Dupin","Amantine-Lucile-Aurore","George Sand","01/01/1804 00:00","","","01/01/1876 00:00","Nohant-Vic, France","Paris, France","","","","46766944",""
"113","DuR1867","","","3","Person","Historiographer","male","Durrer","Robert","","01/01/1867 00:00","","","01/01/1934 00:00","","","","Die Einheit Unterwaldens. Studien über die Anfänge der urschweizerischen Demokratie (1910) – idea of an „old“ democracy (Metzger, 2011) (p. 175)","","",""
