"Story","Act","Storyline_no","Storyline",,"Role","Agent",,
1,1,11,"On 19 February 1803 the Act of Mediation was signed by Napoleon, ending the Helvetic Republic and restoring the cantons and the Swiss Confederation. Formally, this was the begin of the Mediation period in Swiss history.",1803,1,"HeScM1797","Scene:  11#   On 19 February 1803 the Act of Mediation was signed by Napoleon, ending the Helvetic Republic and restoring the cantons and the Swiss Confederation. Formally, this was the begin of the Mediation period in Swiss history.","Year:  1803  - - -  Character: HeScM1797"
1,1,12,"While Heinrich Weiss, Katharina Kaufmann and Meta Schweizer grew up, learned in school and in their offices, Heinrich Weiss would become a teacher, Katharina Kaufmann served in several restaurants and Meta Schweizer was educated as a house wife, learned under house teachers and took great interest in international affairs of her days.",1803,1,"WeH1789; MoKaK1790; HeScM1797","Scene:  12#   While Heinrich Weiss, Katharina Kaufmann and Meta Schweizer grew up, learned in school and in their offices, Heinrich Weiss would become a teacher, Katharina Kaufmann served in several restaurants and Meta Schweizer was educated as a house wife, learned under house teachers and took great interest in international affairs of her days.","Year:  1803  - - -  Character: WeH1789; MoKaK1790; HeScM1797"
1,1,13,"1804, from Mach 24 to April 3, the Bocke inn war took place on the mount Bocken near Horgen, a town close to Hirzel were Meta Schweizer lived. The rural population rioted against the Confederate troops, led by Zürich in order to abolish the tithes.",1804,1,"HeScM1797","Scene:  13#   1804, from Mach 24 to April 3, the Bocke inn war took place on the mount Bocken near Horgen, a town close to Hirzel were Meta Schweizer lived. The rural population rioted against the Confederate troops, led by Zürich in order to abolish the tithes.","Year:  1804  - - -  Character: HeScM1797"
1,1,14,"This event marked Meta Schweizer, because it taught her how neighbours could become enemies.",1804,1,"HeScM1797","Scene:  14#   This event marked Meta Schweizer, because it taught her how neighbours could become enemies.","Year:  1804  - - -  Character: HeScM1797"
1,1,15,"September 2, 1806 a landslide burried the towns Goldau and Röthen completly, as well as part of Buosingen and Lauerz. 457 persons died. It was so far the second larges natural catastroph in Switzerland after the Basel earthquake 1356.",1806,1,"HeScM1797","Scene:  15#   September 2, 1806 a landslide burried the towns Goldau and Röthen completly, as well as part of Buosingen and Lauerz. 457 persons died. It was so far the second larges natural catastroph in Switzerland after the Basel earthquake 1356.","Year:  1806  - - -  Character: HeScM1797"
1,1,16,"This event entered into the memories of Katharina Morel, who lived close, and Meta Schweizer, who visited the region often during her life.",1806,1,"MoKaK1790; HeScM1797","Scene:  16#   This event entered into the memories of Katharina Morel, who lived close, and Meta Schweizer, who visited the region often during her life.","Year:  1806  - - -  Character: MoKaK1790; HeScM1797"
1,1,17,"1806 the annuary of Zurich-Schwyz friendship was celebrated, as Meta Schweizer recorded.",1806,1,"HeScM1797","Scene:  17#   1806 the annuary of Zurich-Schwyz friendship was celebrated, as Meta Schweizer recorded.","Year:  1806  - - -  Character: HeScM1797"
1,1,18,"The same year, Katharina Kaufmann married Heinrich Peyer converting her into Katharina Peyer, Heinrich Weiss went to the high school in Aarau and Prussia declared war to France. Napoleon imposed the Continental system.",1806,1,"WeH1789; MoKaK1790; HeScM1797","Scene:  18#   The same year, Katharina Kaufmann married Heinrich Peyer converting her into Katharina Peyer, Heinrich Weiss went to the high school in Aarau and Prussia declared war to France. Napoleon imposed the Continental system.","Year:  1806  - - -  Character: WeH1789; MoKaK1790; HeScM1797"
1,1,19,"The following year, Bernhard Hirzel was born 12 August 1807 into well established, aristocratic family of Zürich.",1807,3,"HiB1807","Scene:  19#   The following year, Bernhard Hirzel was born 12 August 1807 into well established, aristocratic family of Zürich.","Year:  1807  - - -  Character: HiB1807"
1,1,20,"The same year Napoleon signed peace with Prussia and Russia in Tilsit.",1807,1,"HeScM1797","Scene:  20#   The same year Napoleon signed peace with Prussia and Russia in Tilsit.","Year:  1807  - - -  Character: HeScM1797"
1,1,21,"1808 Constantin Siegwart lost both of his parents and became the foster son of Joseph Maria Regli, a Catholic priest who would educate him as his own son, providing him with the best education, religious teaching an foremost fatherly love.",1808,4,"SiMueC1800","Scene:  21#   1808 Constantin Siegwart lost both of his parents and became the foster son of Joseph Maria Regli, a Catholic priest who would educate him as his own son, providing him with the best education, religious teaching an foremost fatherly love.","Year:  1808  - - -  Character: SiMueC1800"
1,1,22,"During these years Meta Schweizer made many travels to the forest cantons, especially to the Schwyz and the Rigi.",1808,1,"HeScM1797","Scene:  22#   During these years Meta Schweizer made many travels to the forest cantons, especially to the Schwyz and the Rigi.","Year:  1808  - - -  Character: HeScM1797"
1,1,23,"In November 1809, Heinrich Peyer listed voluntarily the mercenary service for France in Marseille, and a few month later Katharina followed her husband, end of July 1810.",1809,2,"MoKaK1790","Scene:  23#   In November 1809, Heinrich Peyer listed voluntarily the mercenary service for France in Marseille, and a few month later Katharina followed her husband, end of July 1810.","Year:  1809  - - -  Character: MoKaK1790"
1,1,24,"In September of the same year Jakob Heusser, who should later become the husband of Meta Schweizer, moved to Hirzel as the general practitionar of the town.",1810,1,"HeScM1797","Scene:  24#   In September of the same year Jakob Heusser, who should later become the husband of Meta Schweizer, moved to Hirzel as the general practitionar of the town.","Year:  1810  - - -  Character: HeScM1797"
1,1,25,"End of 1811, Maria Elise Tobler, the future wife of Bernhard Hirzel was born. On the Hirzel mountain, Caspar (?) Gessner (1780-1812), a distant but dear relative of Meta Schweizer, would visite her for the last time, while Katharina and Heinrich Peyer see the French Majesties from very close during a parade in Paris.",1811,1,"MoKaK1790; HeScM1797","Scene:  25#   End of 1811, Maria Elise Tobler, the future wife of Bernhard Hirzel was born. On the Hirzel mountain, Caspar (?) Gessner (1780-1812), a distant but dear relative of Meta Schweizer, would visite her for the last time, while Katharina and Heinrich Peyer see the French Majesties from very close during a parade in Paris.","Year:  1811  - - -  Character: MoKaK1790; HeScM1797"
1,1,26,"On the 13 January 1812, Katharina Peyer and her husband received the order to march to Lüttich without clear destiny.",1812,2,"MoKaK1790","Scene:  26#   On the 13 January 1812, Katharina Peyer and her husband received the order to march to Lüttich without clear destiny.","Year:  1812  - - -  Character: MoKaK1790"
1,1,27,"In April they arrive at Stettin where the four Swiss regiments join. Still waiting for Napoleon they run out of food. Katharina Peyer wrote a significant letter to her sister Anna-Marie, telling her that now she had learnt what war meant.",1812,2,"MoKaK1790","Scene:  27#   In April they arrive at Stettin where the four Swiss regiments join. Still waiting for Napoleon they run out of food. Katharina Peyer wrote a significant letter to her sister Anna-Marie, telling her that now she had learnt what war meant.","Year:  1812  - - -  Character: MoKaK1790"
1,1,28,"At the same time Meta Schweizer burried her relative and friend Caspar Gessner. Travells to the Aegeri mountain and the Rigi followed, where she heard of spiritual visions some of her acquantaince had experienced.",1812,1,"HeScM1797","Scene:  28#   At the same time Meta Schweizer burried her relative and friend Caspar Gessner. Travells to the Aegeri mountain and the Rigi followed, where she heard of spiritual visions some of her acquantaince had experienced.","Year:  1812  - - -  Character: HeScM1797"
1,1,29,"In June, Meta Schweizer knew Jakob Heusser better during extended walks.",1812,1,"HeScM1797","Scene:  29#   In June, Meta Schweizer knew Jakob Heusser better during extended walks.","Year:  1812  - - -  Character: HeScM1797"
1,1,30,"In the meanwhile, finally, Napoleon had joined the Swiss regiments and they arrive at the Niemen. He informed them about their mission, to invade Russia.",1812,2,"MoKaK1790","Scene:  30#   In the meanwhile, finally, Napoleon had joined the Swiss regiments and they arrive at the Niemen. He informed them about their mission, to invade Russia.","Year:  1812  - - -  Character: MoKaK1790"
1,1,31,"On the 18 October 1812 Katharina Peyer presented the battle of Polotz at close distance and helped to care for the wounded. In Switzerland, the news about the war provided only insignificant details about the culture of the country and the surprisingly warm weather.",1812,2,"MoKaK1790","Scene:  31#   On the 18 October 1812 Katharina Peyer presented the battle of Polotz at close distance and helped to care for the wounded. In Switzerland, the news about the war provided only insignificant details about the culture of the country and the surprisingly warm weather.","Year:  1812  - - -  Character: MoKaK1790"
1,1,32,"One month later on the 28th of November the Swiss mercenaries prepared for the battle on the street between Barisow and Zumbin. Franz Josef Blattman motivated Thomas Legler to sing the ""Beresinalied"", which would end mythology about Swiss heroism, and is shot soon after. The day after the Peyers leave Königsberg to return to Polotz.",1812,2,"MoKaK1790","Scene:  32#   One month later on the 28th of November the Swiss mercenaries prepared for the battle on the street between Barisow and Zumbin. Franz Josef Blattman motivated Thomas Legler to sing the ""Beresinalied"", which would end mythology about Swiss heroism, and is shot soon after. The day after the Peyers leave Königsberg to return to Polotz.","Year:  1812  - - -  Character: MoKaK1790"
1,1,33,"Finally, the Swiss at home hear about the negative balance of Napoleon's Russian campaign and the end of the Empire.",1812,1,"HeScM1797","Scene:  33#   Finally, the Swiss at home hear about the negative balance of Napoleon's Russian campaign and the end of the Empire.","Year:  1812  - - -  Character: HeScM1797"
1,1,34,"Threatened by the Russian troops the Peyers fled and arrived on Januar 31, 1813 in Berlin. Marburg, Düsseldorf and Hanover were occupied by the Allies.",1813,2,"MoKaK1790","Scene:  34#   Threatened by the Russian troops the Peyers fled and arrived on Januar 31, 1813 in Berlin. Marburg, Düsseldorf and Hanover were occupied by the Allies.","Year:  1813  - - -  Character: MoKaK1790"
1,1,35,"The Peyers decide to flee to Switzerland given the unstable situation in Germany. In Magdeburg they loose their last goods. In March, the Peyers arrive at Lautenburg close to Switzerland while the Russian had advanced until Berlin.",1813,2,"MoKaK1790","Scene:  35#   The Peyers decide to flee to Switzerland given the unstable situation in Germany. In Magdeburg they loose their last goods. In March, the Peyers arrive at Lautenburg close to Switzerland while the Russian had advanced until Berlin.","Year:  1813  - - -  Character: MoKaK1790"
1,1,36,"The 6 of April 1813 the French and the Prussians meet at the Elbe. Three days later was the confirmation day of Meta Schweizer in Hirzel. In the following month she would travell to St. Gallen where she started her friendship with Schlatters.",1813,1,"HeScM1797","Scene:  36#   The 6 of April 1813 the French and the Prussians meet at the Elbe. Three days later was the confirmation day of Meta Schweizer in Hirzel. In the following month she would travell to St. Gallen where she started her friendship with Schlatters.","Year:  1813  - - -  Character: HeScM1797"
1,1,37,"In May of the same year, the Peyers left Lauterburg and arrived at Basel. Back home in Luzern, Katharina Peyer visited her friends.",1813,2,"MoKaK1790","Scene:  37#   In May of the same year, the Peyers left Lauterburg and arrived at Basel. Back home in Luzern, Katharina Peyer visited her friends.","Year:  1813  - - -  Character: MoKaK1790"
1,1,38,"In July an alliance between England and Sweden was made, and the Peace Congress in Prag came closer. All the four armies of the four monarchies were advancing on German grounds and terrible war armament took place at all sides.",1813,1,"HeScM1797","Scene:  38#   In July an alliance between England and Sweden was made, and the Peace Congress in Prag came closer. All the four armies of the four monarchies were advancing on German grounds and terrible war armament took place at all sides.","Year:  1813  - - -  Character: HeScM1797"
1,1,39,"August 26, Meta Schweizer returned from one of her trips to the Rigi.",1813,1,"HeScM1797","Scene:  39#   August 26, Meta Schweizer returned from one of her trips to the Rigi.","Year:  1813  - - -  Character: HeScM1797"
1,1,40,"In September, Katharina Peyer reported there was war from the Adratic Sea to the Baltic Sea and Moscow in flames.",1813,1,"MoKaK1790; HeScM1797","Scene:  40#   In September, Katharina Peyer reported there was war from the Adratic Sea to the Baltic Sea and Moscow in flames.","Year:  1813  - - -  Character: MoKaK1790; HeScM1797"
1,1,41,"15 November 1813 extraordinary Diet of the Swiss Confederation in Zürich was held and armed neutrality was declared unilaterally, soon after the Ticino was cleaned up of Italian troops and the French withdraw from the German Rhine region.",1813,4,"SiMueC1800","Scene:  41#   15 November 1813 extraordinary Diet of the Swiss Confederation in Zürich was held and armed neutrality was declared unilaterally, soon after the Ticino was cleaned up of Italian troops and the French withdraw from the German Rhine region.","Year:  1813  - - -  Character: SiMueC1800"
1,1,42,"Meta Schweizer remembered the 18th of October as the day of the salvation battle in Leibzig.",1813,1,"HeScM1797","Scene:  42#   Meta Schweizer remembered the 18th of October as the day of the salvation battle in Leibzig.","Year:  1813  - - -  Character: HeScM1797"
1,1,43,"Heinrich Peyer had tried to retake his job as saddler again in Willisau, but due to the bad payment policies, he was not very succesful. Therefore, he decided to enter military service again and left after a short job in Graubünden to Maastrich in French service, on the 7th of December 1813 together with his wife Katharina.",1813,2,"MoKaK1790","Scene:  43#   Heinrich Peyer had tried to retake his job as saddler again in Willisau, but due to the bad payment policies, he was not very succesful. Therefore, he decided to enter military service again and left after a short job in Graubünden to Maastrich in French service, on the 7th of December 1813 together with his wife Katharina.","Year:  1813  - - -  Character: MoKaK1790"
1,1,44,"On the 17th Colon was occupied an the allies advanced to Holland. The Peyers arrived nine days later. Katharina Peyer would run a kind of Pension for high military officers in Maastrich.",1813,2,"MoKaK1790","Scene:  44#   On the 17th Colon was occupied an the allies advanced to Holland. The Peyers arrived nine days later. Katharina Peyer would run a kind of Pension for high military officers in Maastrich.","Year:  1813  - - -  Character: MoKaK1790"
1,1,45,"The same year, Bernhard Hirzel's grandfather died.",1814,3,"HiB1807","Scene:  45#   The same year, Bernhard Hirzel's grandfather died.","Year:  1814  - - -  Character: HiB1807"
1,1,46,"In 1814 most of the Swiss cantons were ruled by the former aristocratic powers. This threatened the territorial integrity of the new cantons formed under the Act of Mediation. The Russian Zar Alexander I. visited Zürich and influenced by de La Harpe, spoke in favor of the new cantons.",1814,1,"HeScM1797","Scene:  46#   In 1814 most of the Swiss cantons were ruled by the former aristocratic powers. This threatened the territorial integrity of the new cantons formed under the Act of Mediation. The Russian Zar Alexander I. visited Zürich and influenced by de La Harpe, spoke in favor of the new cantons.","Year:  1814  - - -  Character: HeScM1797"
1,1,47,"The year 1815 was memorized by Meta Schweizer as the ""victory by Waterloo"". This marked the end of the Mediation and the beginning of the Restauration period from which she hoped more religious liberty. For Meta Schweizer it was also the beginning of a lifelong aristocratic friendship with the Family Ab Yberg from the canton Schwyz.",1815,1,"HeScM1797","Scene:  47#   The year 1815 was memorized by Meta Schweizer as the ""victory by Waterloo"". This marked the end of the Mediation and the beginning of the Restauration period from which she hoped more religious liberty. For Meta Schweizer it was also the beginning of a lifelong aristocratic friendship with the Family Ab Yberg from the canton Schwyz.","Year:  1815  - - -  Character: HeScM1797"
1,1,48,"Constantin Siegwart rememberd the year for the Federal Treaty.",1815,4,"SiMueC1800","Scene:  48#   Constantin Siegwart rememberd the year for the Federal Treaty.","Year:  1815  - - -  Character: SiMueC1800"
1,1,49,"In the meantime, Katharina Peyer, hired a ship for the Swiss troops, in order to solve their logistic problems in their transfer to Gorum, but foremost, in her own interest, getting free freight for her household.",1815,2,"MoKaK1790","Scene:  49#   In the meantime, Katharina Peyer, hired a ship for the Swiss troops, in order to solve their logistic problems in their transfer to Gorum, but foremost, in her own interest, getting free freight for her household.","Year:  1815  - - -  Character: MoKaK1790"
1,1,50,"In 1817, in middst of the Swiss Restauration and two years after the Congress of Vienna, while Heinrich Weiss was a committed teacher, Katharina Peyer had shown succesfully arriving at Gorum, Meta Schweizer networked her oecomenic friendship networks, Constantin Siegwart studied with his home teacher and Bernhard Hirzel at the primary school, a new dream of liberty was born. In Berlin on May 10 was Emma Siegmund born and in Stuttgart on the 31st her future husband Georg Herwegh.",1817,1,"WeH1789; MoKaK1790; HeScM1797; HeSiE1817","Scene:  50#   In 1817, in middst of the Swiss Restauration and two years after the Congress of Vienna, while Heinrich Weiss was a committed teacher, Katharina Peyer had shown succesfully arriving at Gorum, Meta Schweizer networked her oecomenic friendship networks, Constantin Siegwart studied with his home teacher and Bernhard Hirzel at the primary school, a new dream of liberty was born. In Berlin on May 10 was Emma Siegmund born and in Stuttgart on the 31st her future husband Georg Herwegh.","Year:  1817  - - -  Character: WeH1789; MoKaK1790; HeScM1797; HeSiE1817"
1,1,51,"7 March 1818 was marked as an important day in Meta Schweizer-Heusser memoires. Her husband Jakob Heusser, so far distant from religious matters, had committed to the Christian faith. Soon after in June they engaged.",1818,1,"HeScM1797","Scene:  51#   7 March 1818 was marked as an important day in Meta Schweizer-Heusser memoires. Her husband Jakob Heusser, so far distant from religious matters, had committed to the Christian faith. Soon after in June they engaged.","Year:  1818  - - -  Character: HeScM1797"
1,1,52,"1818 Constantin Siegwart assisted the schools in Altorf, Luzern and Solothurn, where he started friendship with radical-liberals as Ludwig Keller, Eduard Kathry, Joseph Kölscher. They studied with Professor Weissenbach and founded the Rütliverein. He also entered the Freundschaftsbund with Melchior Tschümperlin.",1818,4,"SiMueC1800","Scene:  52#   1818 Constantin Siegwart assisted the schools in Altorf, Luzern and Solothurn, where he started friendship with radical-liberals as Ludwig Keller, Eduard Kathry, Joseph Kölscher. They studied with Professor Weissenbach and founded the Rütliverein. He also entered the Freundschaftsbund with Melchior Tschümperlin.","Year:  1818  - - -  Character: SiMueC1800"
1,1,53,"1819 Constantin Siegwart studied philosophy, political sciences and jurisprudence in Würzburg and Heidelberg.",1819,4,"SiMueC1800","Scene:  53#   1819 Constantin Siegwart studied philosophy, political sciences and jurisprudence in Würzburg and Heidelberg.","Year:  1819  - - -  Character: SiMueC1800"
1,1,54,"Bernhard Hirzel started his studies at the grammar school at the Schola Carolina at the Grossmünster in Zürich",1819,3,"HiB1807","Scene:  54#   Bernhard Hirzel started his studies at the grammar school at the Schola Carolina at the Grossmünster in Zürich","Year:  1819  - - -  Character: HiB1807"
1,1,55,"Meta Schweizer made several voyages among others to the Rigi and her life was marked by the birth and death of relatives and other beloved people.",1819,1,"HeScM1797","Scene:  55#   Meta Schweizer made several voyages among others to the Rigi and her life was marked by the birth and death of relatives and other beloved people.","Year:  1819  - - -  Character: HeScM1797"
1,1,56,"1820 Heinrich Weiss became teacher in Fehraltorf. At the same time, Constantin Siegwart returned to his former Catholic faith.",1820,4,"WeH1789; SiMueC1800","Scene:  56#   1820 Heinrich Weiss became teacher in Fehraltorf. At the same time, Constantin Siegwart returned to his former Catholic faith.","Year:  1820  - - -  Character: WeH1789; SiMueC1800"
1,1,57,"The following year in January 1821, Heinrich Peyer dismissed from military service and the Peyers return in a 21-days-travel to Switzerland in horse carrier through Aachen, Lüttich, Köln, Koblenz, Speyer, Salzbach, Freiburg, Basel, Zofingen, to Willisau.",1821,2,"MoKaK1790","Scene:  57#   The following year in January 1821, Heinrich Peyer dismissed from military service and the Peyers return in a 21-days-travel to Switzerland in horse carrier through Aachen, Lüttich, Köln, Koblenz, Speyer, Salzbach, Freiburg, Basel, Zofingen, to Willisau.","Year:  1821  - - -  Character: MoKaK1790"
1,1,58,"Three month later, on the 9th of April 1821, Meta Schweizer finally, after a three-years fiancee could marrie to Jakob Heusser. She continous to travel to the Rigi.",1821,1,"HeScM1797","Scene:  58#   Three month later, on the 9th of April 1821, Meta Schweizer finally, after a three-years fiancee could marrie to Jakob Heusser. She continous to travel to the Rigi.","Year:  1821  - - -  Character: HeScM1797"
1,1,59,"On 15 February 1822 Katharina and Heinrich Peyer move to Sursee and run the Inn ""Zum Rössli"".",1822,2,"MoKaK1790","Scene:  59#   On 15 February 1822 Katharina and Heinrich Peyer move to Sursee and run the Inn ""Zum Rössli"".","Year:  1822  - - -  Character: MoKaK1790"
1,1,60,"On 13 August 1822 Theodor Diethelm Heusser, Meta Heusser-Schweizer's first son was born.",1822,1,"HeScM1797","Scene:  60#   On 13 August 1822 Theodor Diethelm Heusser, Meta Heusser-Schweizer's first son was born.","Year:  1822  - - -  Character: HeScM1797"
1,1,61,"1823 Meta Heusser-Schweizer visited Luzern.",1823,1,"HeScM1797","Scene:  61#   1823 Meta Heusser-Schweizer visited Luzern.","Year:  1823  - - -  Character: HeScM1797"
1,1,62,"In the same year, Heinrich Peyer's sister died and left her young daughter to the care of Katharina Peyer.",1823,2,"MoKaK1790","Scene:  62#   In the same year, Heinrich Peyer's sister died and left her young daughter to the care of Katharina Peyer.","Year:  1823  - - -  Character: MoKaK1790"
1,1,63,"In December, Hirzel graduated from the 3rd class of the grammar school and enters the Collegium humanitatis at the Fraumünster (upper school)",1824,3,"HiB1807","Scene:  63#   In December, Hirzel graduated from the 3rd class of the grammar school and enters the Collegium humanitatis at the Fraumünster (upper school)","Year:  1824  - - -  Character: HiB1807"
1,1,64,"28 January 1825, Meta Schweizer-Heusser's first daugher Anna Elisabetha Dorothea was born.",1825,1,"HeScM1797","Scene:  64#   28 January 1825, Meta Schweizer-Heusser's first daugher Anna Elisabetha Dorothea was born.","Year:  1825  - - -  Character: HeScM1797"
1,1,65,"Katharina and Heinrich leave the ""Rössli"" and start the ""Bad Rothen"" in Littau during two years.",1825,2,"MoKaK1790","Scene:  65#   Katharina and Heinrich leave the ""Rössli"" and start the ""Bad Rothen"" in Littau during two years.","Year:  1825  - - -  Character: MoKaK1790"
1,1,66,"14 December 1825 Bernhard Hirzel graduated from upper school and enters the Collegium Carolinum at the Grossmünster, focus on Classis philologica (ancient languages, history), Classis philosphica.",1825,3,"HiB1807","Scene:  66#   14 December 1825 Bernhard Hirzel graduated from upper school and enters the Collegium Carolinum at the Grossmünster, focus on Classis philologica (ancient languages, history), Classis philosphica.","Year:  1825  - - -  Character: HiB1807"
1,1,67,"In the year to follow, Meta Heusser-Schweizer would often stay in Baden.",1826,1,"HeScM1797","Scene:  67#   In the year to follow, Meta Heusser-Schweizer would often stay in Baden.","Year:  1826  - - -  Character: HeScM1797"
1,1,68,"March 28th of the following year Jakob Christian Heusser, Meta Heusser-Schweizer’s second son. She would soon fear for his life, but he would recover happily.",1826,1,"HeScM1797","Scene:  68#   March 28th of the following year Jakob Christian Heusser, Meta Heusser-Schweizer’s second son. She would soon fear for his life, but he would recover happily.","Year:  1826  - - -  Character: HeScM1797"
1,1,69,"Bernhard Hirzel engaged with Maria Elisa (Elise) Tobler and soon after graduated from Classis philologica and philosophica and starts Classis theologica (theological studies).",1826,3,"HiB1807","Scene:  69#   Bernhard Hirzel engaged with Maria Elisa (Elise) Tobler and soon after graduated from Classis philologica and philosophica and starts Classis theologica (theological studies).","Year:  1826  - - -  Character: HiB1807"
1,1,70,"1826 Constantin Siegwart wrote his ""Tell der Urner"" and achieved citizenship in Uri.",1826,4,"SiMueC1800","Scene:  70#   1826 Constantin Siegwart wrote his ""Tell der Urner"" and achieved citizenship in Uri.","Year:  1826  - - -  Character: SiMueC1800"
1,1,71,"Heinrich Weiss became member of the tribunal of the district Kyburg and married Anna Barbara Tobler who would die soon after.",1826,5,"WeH1789","Scene:  71#   Heinrich Weiss became member of the tribunal of the district Kyburg and married Anna Barbara Tobler who would die soon after.","Year:  1826  - - -  Character: WeH1789"
1,1,72,"12 June 1827 Meta Heusser-Schweizer's gave birth to her second daugher Johanna Louise.",1827,1,"HeScM1797","Scene:  72#   12 June 1827 Meta Heusser-Schweizer's gave birth to her second daugher Johanna Louise.","Year:  1827  - - -  Character: HeScM1797"
1,1,73,"In the same year Constantin Siegwart became public prosecutor (Landesfürsprech) in Uri.",1827,4,"SiMueC1800","Scene:  73#   In the same year Constantin Siegwart became public prosecutor (Landesfürsprech) in Uri.","Year:  1827  - - -  Character: SiMueC1800"
1,1,74,"Also Heinrich Weiss married for the second time to Margaretha Zwicky.",1827,5,"WeH1789","Scene:  74#   Also Heinrich Weiss married for the second time to Margaretha Zwicky.","Year:  1827  - - -  Character: WeH1789"
1,1,75,"Katharina Peyer leased the Inn ""Engel"" in Luzern.",1827,2,"MoKaK1790","Scene:  75#   Katharina Peyer leased the Inn ""Engel"" in Luzern.","Year:  1827  - - -  Character: MoKaK1790"
