,,,,,"Free",,,,,"Goffman/ Burke",,,"Dramatica",,,,,,,,
231,136,4,20,"Aber auf dem Holzschlag wollte es nicht mehr gehen. ",3,,,,,,,,,,,,,,,,
231,136,4,21,"Der Bruder Eures Vaters tat ihm alles zu Leide und er wollte sich's nicht gefallen lassen - sie verstanden einander einmal+ gar nicht - und so kam es, daß der uns so liebe Gevatter seine schöne Heimat verließ und in den öden Berg an der Sihl hinübersiedelte.» ",3,,,,,,,,,,,,,,,,
231,136,4,22,"Also Bruderzwist war es, was für die eine Linie Heußer das schöne väterliche Erbe zur Fremde machte, und sie auf unsern - damals noch recht wilden - Berg verpflanzte. ",3,,,,,,,,,,,,,,,,
231,136,4,23,"Doch, es mußte so sein, denn in die Lebensgeschichte Eures Vaters - und die Eure - gehört der Hirzel hinein. ",3,,,,,,,,,,,,,,,,
231,136,4,24,"Der nunmehrige Besitzer der Weißerlen war ein eigentümlicher Mann. ",3,,,,,,,,,,,,,,,,
231,136,4,25,"Ich weiß nicht, durch welche Veranlassung er in den Besitz einiger alter medizinischer Schriften (Doktorbücher) gelangte. ",3,,,,,,,,,,,,,,,,
231,136,4,26,"Mehr zum Studieren und Grübeln als zur Landwirtschaft geneigt, vertiefte er sich mehr und mehr in solche Schriften, wandte die gewonnene Erkenntnis auch sofort praktisch an, und bald wurde der Name des «Houschligers» (oder Ouschligers, worin sich zuletzt sein Zuname von seiner Heimat her verkehrte), als der eines «Wunderdoktors» genannt. ",3,,,,,,,,,,,,,,,,
231,136,4,27,"Es gab damals noch keine Ärzte in dieser abgelegenen Gegend; vorzüglich die benachbarten Orte des Kantons Zug wandten sich dem «Nachbar Doktor» über der Sihl zu, und nicht nur dort drüben, auch hierzulande wurden viele außerordentliche Kuren von ihm gerühmt. ",3,,,"Sihl; Kanton Zug;",,,,,,,,,,,,,
231,136,4,28,"Noch weiß ich wohl, wie einst, als ich ein ganz kleines Mädchen war, mein [24] Onkel Schweizer, der uns besuchte, sich angelegentlich nach dem sogenannten «Ouschliger» erkundigte, ",3,,,,,,,,,,,,,,,,
231,136,4,29,"der einen seiner Freunde ganz eigentlich vom Tode gerettet habe, durch Heilung eines knochenkranken Schenkels, den die Ärzte in Zürich schon zur Amputation bestimmt hätten, mit weniger Hoffnung, dadurch sein Leben zu retten. ",3,,,"Zürich;",,,,,,,,,,,,,
231,136,4,30,"Wie wenig ahnte ich damals, wie nahe der Name Heußer - und seine ärztliche Begabung - mir treten sollte! ",3,,,,,,,,,,,,,,,,
231,136,4,31,"Der arme Mann! Seine Begabung wäre wirklich der ärztlichen Sphäre näher gelegen als der Bearbeitung eines unfruchtbaren Heimwesens im Berge. ",3,,,,,,,,,,,,,,,,
231,136,4,32,"Seine Praxis trug wenig ein - zumal es ihm selbst mehr um die Sache und die Ehre als um Gewinn zu tun war - und so ging es in seiner Wirtschaft zurück, ",3,,,,,,,,,,,,,,,,
231,136,4,33,"um so mehr da er die treue Gehülfin, die Mutter, von der Euer Vater immer mit der zärtlichsten Liebe und einem nie vernarbenden Schmerze über ihren frühen Verlust sprach, schon frühe (wenn ich nicht irre 1790) verloren hatte. ",3,,,,,,,,,,,,,,,,
231,136,4,34,"Sie muß, nach allen Erinnerungen, die ihr Sohn an sie aufbewahrte, eine treffliche Frau gewesen sein. ",3,,,,,,,,,,,,,,,,
231,136,4,35,"Noch auf dem Sterbebette - als sechsundsiebenzigjähriger Greis - wiederholte er mit tiefer Rührung ein Versehen, das er sie vor 70 und mehr Jahren oft singen gehört: ",3,,,,,,,,,,,,,,,,
231,136,4,36,"«Vater, laß dein Herze sprechen"", da das Herz im Leib mir bricht Und vor Angst nichts mehr kann sprechen Als was dort der Zöllner spricht: Sei mir armen Sünder gnädig! Mache mich von Sünden ledig!» ",3,,,,,,,,,,,,,,,,
231,136,4,37,"Diese Mutter unserer Familie war, wenn ich nicht irre, eine einzige Tochter, und von ihren Verwandten im Schönenberg waren mir einzig die Schwestern Hofmann bekannt, deren eine die alte Frau Treichler im Gumpi [*6] war und welche, da ihr Vater der Cousin Eurer Großmutter war, ebenfalls in der Weißerlen erzogen wurden und daher als Jugendgespielen lebenslang in Verbindung mit Eurem Vater blieben. ",3,,,,,,,,,,,,,,,,
231,136,4,38,"Die Großeltern Heußer hatten vier Kinder, deren jüngstes, Johann Jakob, gebed. 22. August 1783, Euer Vater wurde. [#3] [25]",4,,,,,,,,,,,,,,,,
231,136,4,39,"Sein viel älterer Bruder, der weder den Verstand noch die Energie seines Vaters und Bruders besaß und dennoch die Grille nährte, den Arzt zu spielen, verarmte auf dem Heimwesen der Weißerlen, das ihm der Vater früh abgetreten hatte; ",4,,,,,,,,,,,,,,,,
231,136,4,40,"er starb im J. 1849, 5 Kinder hinterlassend, jenen Hans Heußer in Hütten, der sich wieder zum wohlhabenden Manne heraufgearbeitet, einen zweiten, fast verstandlosen Sohn, und eine Tochter, verheiratete Aepli, im Schönenberg gestorben, ",4,1845,,,,,,,,,,,,,,,
231,136,4,41,"deren Tochter eine merkwürdige Ähnlichkeit mit unserm Heinrich Heußer in Richtersweil hat, die offenbar in den Zügen des gemeinsamen Ahnvaters, wie sie mir noch vorschweben, begründet ist. ",4,,,,,,,,,,,,,,,,
231,136,4,42,"Die ältere Schwester Eures Vaters war an einen Frick in Rothenbaltt [*7] - Schönenberg - verheiratet, die Mutter einer zahlreichen, zum Teil Euch bekannten Nachkommenschaft. ",4,,,,,,,,,,,,,,,,
231,136,4,43,"Die jüngere Schwester, Maria, wurde die Frau eines Hirzlers - Felix Baumann (Wächterfelix) auf der Höhe [*8]. ",4,,,,,,,,,,,,,,,,
231,136,4,44,"Sie stand mir innerlich am nächsten von allen diesen Verwandten, starb aber schon 1819 am Nervenfieber[*9], ",4,1819,,,,,,,,,,,,,,,
231,136,4,45,"nachdem sie noch den alten Vater, der seine letzten Jahre bei ihr verlebte, bis zu seinem Tode - 1818 - verpflegt hatte. ",4,1818,,,,,,,,,,,,,,,
231,136,4,46,"Ihre einzige Tochter Barbara, ein hochaufgewachsenes, schönes und begabtes Mädchen, mit prächtigen schwarzen Augen, die ich seit ihrer Kindheit geliebt hatte, ",4,,,,,,,,,,,,,,,,
231,136,4,47,"folgte der Mutter schon 1828 in ihrem zweiundzwanzigsten Jahre, nachdem sie bei einer Feuersbrunst in ihrem Nachbarhause, bei welcher sie in kalter Herbstnacht helfend eingriff, sich durch Verkältung eine tödliche Entzündungskrankheit zugezogen hatte. ",4,1828,,,,,,,,,,,,,,,
231,136,4,48,"Von mütterlicher Seite stammt Ihr, meine Kinder, aus dem Geschlechte der Züricherbürger Schweizer, welche, nachdem ihr Stammvater Hans Baumgartner von Arth, Kant. Schwyz, im 15. Jahrhundert [*10] das Bürgerrecht in Zürich geschenkt bekommen und seinen Geschlechtsnamen in Schweizer (ursprünglich Schwyzer) verwandelt hatte, ",5,,,"Schwyz; Zürich;",,,,,,,,,,,,,
231,136,4,49,"sich beinahe so schnell wie einst Israel vermehrt hatten. ",5,,,,,,,,,,,,,,,,
231,136,4,50,"Mein Großvater bekleidet eines der niedern bürgerlichen Ämter in Zürich, die nun längst eingegangen sind, er war «Stadtknecht», ",5,,,"Zürich;",,,,,,,,,,,,,
231,136,4,51,"vieleicht [26] in eben dem «Stadthause» zu irgend einem Dienste angestellt, wo seine Urenkel Spyri [*11]' jetzt in minder untergeordneten Verhältnissen wohnen. ",5,,,,,,,,,,,,,,,,
231,136,4,52,"Von diesem meinem Großvater, Hans Ulrich Schweizer, ist mir wenig bekannt, ",5,,,,,,,,,,,,,,,,
231,136,4,53,"nur das, daß er eine Perle als Gattin in sein Haus aufnehmen durfte. Das war Anna Margaretha Schulz, geb. den 5. April 1716, eine geborene Hamburgerin. ",5,,,,,,,,,,,,,,,,
231,136,4,54,"Ihr Vater, Schulz, ein frommer Mann, war in jenen allgemeinen geistigen «Erweckungen», die zu Anfang des vorigen Jahrhunderts ganz Deutschland durchzogen, ein mit ergriffenes und mit tätiges Mitglied gewesen. ",5,,,,,,,,,,,,,,,,
231,136,4,55,"Schon Spener [*12] wurde von den starr orthodoxen Tongebern in Hamburg verfolgt und weggewiesen; ",5,,,,,,,,,,,,,,,,
231,136,4,56,"ein Gleiches widerfuhr denen, die - in seinen Fußstapfen wandelnd - ein Christentum des Lebens der erstorbenen Kirchlichkeit entgegensetzen wollten. ",5,,,,,,,,,,,,,,,,
231,136,4,57,"So wurde auch Schulz ich weiß nicht, ob wirklich ausgewiesen oder freiwillig den Wanderstab ergreifend - ein «Exulant», wie sie damals hießen, und wandte sich der Schweiz, dem Kanton Zürich zu. ",5,,,"Zürich;",,,,,,,,,,,,,
231,136,4,58,"In der Familientradition hieß es: der Ahnvater sei um seines Glaubens willen von Hamburg vertrieben worden und er habe sich zunächst in Steinmaur, Kt. Zürich, niedergelassen. ",5,,,"Zürich;",,,,,,,,,,,,,
231,136,4,59,"Dort wurde ihm die Tochter Anna Margaretha geboren [*13], die sich in der Folge mit jenem Ulrich Schweizer in Zürich verheiratete. ",5,,,"Zürich;",,,,,,,,,,,,,
231,136,4,60,"Sie war die Erbin von ihres Vaters Frömmigkeit, und noch steht sie lebendig vor mir, wie sie - mehr als achtzig Jahre alt - mich auf ihrem Schoße hielt und das Enkelkind segnete. ",5,,,,,,,,,,,,,,,,
231,136,4,61,"Nur zwei Jahre und drei Monate lebte ich noch neben ihr, ",5,,,,,,,,,,,,,,,,
231,136,4,62,"aber es blieb mir das lange Leben hindurch unvergessen, wie es jeden Morgen mein Erstes war, das Großmütterchen in der «untern Stube» unsers Pfarrhauses zu suchen, zu grüßen und ihre Liebkosungen zu empfangen. ",5,,,,,,,,,,,,,,,,
231,136,4,63,"Sie war eine kleine Frau, mit rundem freundlichem Gesichte, blauen Augen und lächelndem Munde, ihre ganze Gestalt von jenen runden Formen, ",5,,,,,,,,,,,,,,,,
231,136,4,64,"die sich auf ihren Sohn Diethelm, durch ihn auf mich und meine jüngste Schwester, und dann weiter auf meinen ältesten Sohn und auf die Enkelin, Anna Ulrich, fortgeerbt haben, nur daß die Kinder der spätern Geschlechter [27] nicht klein geblieben sind wie die Eltern und Großeltern. ",5,,,,,,,,,,,,,,,,
231,136,4,65,"Große Zweige wurden da eingeimpft. ",5,,,,,,,,,,,,,,,,
231,136,4,66,"Sechzehn Kinder hatte die Großmutter Schweizer ihrem Manne geboren. ",5,,,,,,,,,,,,,,,,
231,136,4,67,"Drei Söhne und drei Töchter erlebten das reife Alter, ein Sohn als Schlosser, einer als Schneider, der jüngste als Pfarrer. ",5,,,,,,,,,,,,,,,,
231,136,4,68,"Die Töchter wurden in Zürich. verheiratet: die eine starb als Frau Michel-Mutter und Großmutter der Basen Michel, jetzt in St. Leonhard [*14]; ",5,,,"Zürich;",,,,,,,,,,,,,
231,136,4,69,"eine andere erst Frau Brunner, dann Frau Ammann, dann Frau Wolf; die jüngste, meines Vaters Lieblingsschwester, Cleophea, wurde ins Ansbachsche [*15] verheiratet und starb dort, als Witwe Grumbach, in hohem Alter. ",5,,,,,,,,,,,,,,,,
231,136,4,70,"Von all diesen Geschwistern des Vaters kannte ich einzig den oben berührten «Onkel Schweizer», ",5,,,,,,,,,,,,,,,,
231,136,4,71,"der uns öfters besuchte, so wie wir als Kinder ihn auf seiner Burg Regensberg, wo er nach niedergelegtem Schlosserberufe sein Alter zubrachte. ",5,,,,,,,,,,,,,,,,
231,136,4,72,"Eines der jüngsten Kinder der Eltern Schweizer - ich glaube, ein Zwillingskind - war ihr Sohn Diethelm, geboren am 17. August 1751, durch welchen der Mutter Herzenswunsch, ja ihr jahrelanges Gebet erhört werden sollte. ",5,,,,,,,,,,,,,,,,
231,136,4,73,"Eines nur hatte sie in dieser Welt begehrt: einen Sohn zur Verkündigung des Evangeliums erziehen, ihn, wie Hanna ihren Samuel, dem Dienste des Heiligtums weihen zu dürfen. ",5,,,,,,,,,,,,,,,,
231,136,4,74,"Diethelm war ihr wahrer Erbe. ",6,,,,,,,,,,,,,,,,
231,136,4,75,"Ein frühes Heimweh zog ihn aus den dunkeln Gassen des «Niederdorfes», wo seine Mutter einen kleinen Laden mit Faden, Schnüren, Bändern und dgl. wartete, hinaus in Gottes schöne Natur, in Wiese und Wald, wo er frei aufatmete und in Ahnungen vom Reiche Gottes sich versenkte, das ihm aus den Büchern seiner Mutter den Schriften Gottfried Arnolds [*16], Terstegens [*17] , Petersens [*18] u.s.w. frühe schon wunderbar nahe getreten. ",6,,,,,,,,,,,,,,,,
231,136,4,76,"Er studierte Theologie - nicht mit dem Kopfe nur, vielmehr mit dem Herzen - und schloß sich alsbald an jenen Kreis von Jünglingen an, der sich um Lavater [*19] als ihren Mittelpunkt, von dem die geistige Anregung in Zürich ausging, gesammelt hatte. ",6,,,"Zürich;",,,,,,,,,,,,,
231,136,4,77,"Damals war es nicht nur die Regierung - der «kleine Rat» von welchem die Wahl der Geistlichen ausging, ",6,,,,,,,,,,,,,,,,
231,136,4,78,"sondern es [28] hatte sich auch nach und nach die Sitte (oder Unsitte) ausgebildet, daß beim Tode oder der Versetzung eines Pfarrers sofort die Menge der Kandidaten - damals eine sehr zahlreiche - sowie der Angestellten, die eine bessere Stelle wünschten, sich aufmachten und durch Empfehlungen einflußreicher Leute, durch angelegenes Bitten und «Antichambrieren» bei den «gnädigen Herren» sich der leergewordenen Stelle zu versichern suchten. ",6,,,,,,,,,,,,,,,,
231,136,4,79,"Daß dabei manch unwürdiges Spiel mit unterlief, läßt sich leicht denken. ",6,,,,,,,,,,,,,,,,
231,136,4,80,"Mehrere junge Theologen - unter ihnen Schweizer - die lebhaft von dem Gedanken durchdrungen waren, wie ganz anders doch die ersten Zeugen Christi ihre Berufung zum Evangelisten-Amte empfangen hätten, beschlossen, ein offenes Zeugnis gegen solchen Mißbrauch abzulegen, indem sie sich mit einer Bittschrift an die Regierung wandten, sie möchte diesem Jagen und Betteln um jede erledigte Pfarrpfründe ein Ende machen und die Gewissen derer schonen, die solch ein Treiben nicht mit ihrer Anschauung von der göttlichen Berufung zum heil. Amte vereinen können. ",6,,,,,,,,,,,,,,,,
231,136,4,81,"Ob die Petitionierenden neben ihrem Ablehnen des eingerissenen Mißbrauches auch einen positiven Vorschlag zu besserer Wahlart machten - etwa die (viele Jahre später eingeführte) einfache Eingabe des Einzelnen, daß er sich den Wählenden zur Verfügung stelle - ist mir nicht bekannt, ",6,,,,,,,,,,,,,,,,
231,136,4,82,"aber genug: die «gnädigen Herren» nahmen solche Erklärung einiger weniger junger Theologen sehr ungnädig auf, mochten wohl auch etwas von revolutionärem Gebaren darin ahnen, ",6,,,,,,,,,,,,,,,,
231,136,4,83,"denn es wehte ja überhaupt schon der Hauch einer neuen Zeit, wie er sich unter anderem in Lavaters - des geistlichen Vaters dieser jungen Leute - kühnem Auftreten gegen den «ungerechten Landvogt» [*20] kundgetan hatte. ",6,,,,,,,,,,,,,,,,
231,136,4,84,"Bald hieß es in Zürich: die jungen Herren, die sich den Gesetzen des Landes nicht fügen wollen, möchten eben selbst für Amt und Brot sorgen, und in Folge dieser allgemeinen Annahme ",6,,,"Zürich;",,,,,,,,,,,,,
231,136,4,85,"(mir ist unbewußt, ob und wie weit sie sich auf die Erklärung der gnädigen Herren selbst gründete) ",6,,,,,,,,,,,,,,,,
231,136,4,86,"wandten sich die beiden begabten jungen Männer: Häfeli und Stolz dem Auslande zu, wo ihrer beider - zuletzt in Bremen – eine [29] ehrenvolle Laufbahn wartete. ",6,,,,,,,,,,,,,,,,
231,136,4,87,"Der dritte folgte ihnen bald nach, Schweizers genauer Freund, Tobler, welcher später, nach Zürich zurückgekehrt, zum tiefen Schmerze seines Jugendfreundes an Glaube und Sitte traurigen Schiffbruch erlitt. ",6,,,"Zürich;",,,,,,,,,,,,,
231,136,4,88,"Es ist mir unbewußt, ob noch mehrere als die genannten vier in jenem protestierenden Bunde waren. ",6,,,,,,,,,,,,,,,,
231,136,4,89,"Aber ob auch die andern auswanderten - Diethelm Schweizer konnte sich nicht von seinem Vaterlande trennen, wo ihn ein Band des Herzens festhielt, das ihn durch sein ganzes Leben als sein guter Engel begleiten sollte. ",6,,,,,,,,,,,,,,,,
231,136,4,90,"Denn schon hatte er das Pfarrhaus Dübendorf kennengelernt. ",6,,,,,,,,,,,,,,,,
231,136,4,91,"Ein einziger dort verlebter Tag im Frühjahr 1777 - er besuchte einen etwas ältern Freund - Bremi, der als Hauslehrer des jüngsten Sohnes dort lebte - entschied über seine Zukunft, denn die jüngste Tochter des Hauses, Eure Großmutter - Anna, geb. den 24. September 1757 - machte jenen ersten tiefen, wunderbaren Eindruck auf ihn, der so oft einem ganzen Leben sein eigentümliches Gepräge gibt. ",6,,,,,,,,,,,,,,,,
231,136,4,92,"Der Pfarrer von Dübendorf, Caspar Geßner, war ein ernster frommer Mann, dem angesehenen Bürgergeschlechte Zürichs angehörend, das den im sechzehnten Jahrhundert so berühmten Naturforscher, Conrad Geßner, zu den Seinen zählte. ",6,,,"Zürich;",,,,,,,,,,,,,
231,136,4,93,"Seine Familie stand nach damaliger noch festgehaltener Rangordnung weit über der Familie des «Stadtknechtes Schweizer», und mehr noch die Familie der Pfarrfrau - Elisabeth Keller dem vornehmen Geschlechte der Keller vom goldenen Kleinod angehörig; sie war eine edle, feine, weibliche Seele, die sich aus ihren vornehmen Umgebungen heraus ganz ins Landpfarrhaus eingelebt hatte. ",6,,,,,,,,,,,,,,,,
231,136,4,94,"So ungleich waren alle Eure Voreltern! ",7,,,,,,,,,,,,,,,,
231,136,4,95,"Ein Zug aus diesen Wegen unserer Ahnen ist mir oft aufgefallen als die verschiedenen Richtungen bezeichnend, die in einigen ihrer Nachkommen sich zusammen verschmelzen sollten: ",7,,,,,,,,,,,,,,,,
231,136,4,96,"Als in den Fünfzigerjahren des vorigen Jahrhunderts Klopstock seinen bekannten Besuch bei Bodmer in Zürich machte, da war auch der Pfarrer Geßner in Dübendorf zu einer Spazierfahrt mit dem berühmten Fremdling eingeladen, was oft unter den Familienerinnerungen erwähnt [30] wurde. ",7,,,"Zürich;",,,,,,,,,,,,,
231,136,4,97,"Ob es jene von Klopsrock unvergänglich gemachte Fahrt nach der Au war? ",7,,,,,,,,,,,,,,,,
231,136,4,98,"Mir ist es wahrscheinlich, da Mörikofer [*21] in seiner Beschreibung dieser Fahrt zwei Schwäger Geßners nennt: ",7,,,,,,,,,,,,,,,,
231,136,4,99,"den Pfarrer Keller von Birmenstorf ",7,,,,,,,,,,,,,,,,
231,136,4,100,"und seinen Bruder, den Besitzer des Landgutes Goldbach. ",7,,,,,,,,,,,,,,,,
231,136,4,101,"Ungefähr um dieselbe Zeit - es war auch in den Fünfzigerjahren - erschien der Graf Zinzendorfer [*22] auf einer seiner Reisen in Zürich. ",7,,,"Zürich;",,,,,,,,,,,,,
231,136,4,102,"Hier sammelte er vorzugsweise die Geringen und Armen um sich und bildete aus ihnen einen Zweig seiner Brüdergemeine. ",7,,,,,,,,,,,,,,,,
231,136,4,103,"Zu denen, die ihn mit Begeisterung sahen und hörten, gehörte denn auch die Großmutter Schweizer; der wunderbare Graf hatte tief in ihr Leben eingewirkt, ",7,,,,,,,,,,,,,,,,
231,136,4,104,"obschon sie - vielleicht aus Gründen, die in ihren Verhältnissen lagen - kein wirkliches Mitglied der Brüdergemeine geworden ist. ",7,,,,,,,,,,,,,,,,
231,136,4,105,"Dem Pfarrer Geßner-Keller in Dübendorf wurden eilf Kinder geschenkt, von denen sieben ins reifere Leben erwuchsen. ",8,,,,,,,,,,,,,,,,
231,136,4,106,"Damals, als Schweizer in dem Hause bekannt und heimisch wurde, lebte der älteste Sohn - Kaspar - als Tuchpresser in Zürich, in jenem wohlbekannten Hause am sogenannten Hirschengraben, das jetzt Spyris [*23] Eigentum ist; ",8,,,"Zürich;",,,,,,,,,,,,,
231,136,4,107,"der zweite - Jakob - in späteren Jahren als Oberrichter in Zürich gestorben - stand damals als junger Offizier in holländischen Diensten, wo seine Onkels Keller ihre Carriere gemacht und ihn nachgezogen hatten; der jüngste - Georg, der nachmalige Antistes [*24] - lebte noch als Knabe bei seinen Eltern und Schwestern. ",8,,,"Zürich;",,,,,,,,,,,,,
231,136,4,108,"Er besonders schloß sich lebhaft an den jungen Schweizer an, und bald wurde dieser - kraft des Geheimnisses der Sympathie, die alle Schranken durchbricht - der Hausfreund im Pfarrhause Dübendorf und später der Vikar des alternden Pfarrers. [<Anmerkung 1>] ",8,,,,,,,,,,,,,,,,
231,136,4,109,"Das war ein eigentümliches Leben des innigsten Einverständnisses aller untereinander, im Bewußtsein des gemeinsamen Adels der Gotteskindschaft, der alle irdischen Standesunterschiede überflog, und einer Gemeinschaft genährt von Kräften der unsichtbaren Welt, - ",8,,,,,,,,,,,,,,,,
231,136,4,110,"ein seltenes schönes Leben vielleicht nur bisweilen etwas getrübt durch den Blick in [31] Schweizers Zukunft. ",8,,,,,,,,,,,,,,,,
231,136,4,111,"Denn Jahre gingen so auf Jahre dahin und er war und blieb Vikar. ",8,,,,,,,,,,,,,,,,
231,136,4,112,"Da - es war im Jahre 1784 - begab es sich, daß die kirchliche Wahlbehörde in Zürich in einige Verlegenheit geriet. ",9,,,"Zürich;",,,,,,,,,,,,,
231,136,4,113,"Der Stand Zürich hatte das Recht für die damaligen Landvogteien des Rheintales, das jetzt dem Kanton St. Gallen angehört, die Pfarrer aus der Mitte seiner, damals so zahlreichen, Geistlichen zu wählen, und für viele Züricher-Pfarrer war eine Stelle im Rheintal die Vorstufe ihrer Wirksamkeit im Kanton Zürich, denn nach einigen Jahren des Dienstes in der Ferne hatten sie Anspruch auf eine Stelle in der Heimat. ",9,,,"Zürich;",,,,,,,,,,,,,
231,136,4,114,"Nun war die Pfarrstelle der Gemeine Dieboltsau [*25], an der äußersten Grenze des Landes - ein armer, oft von Rheinüberflutung heimgesuchter Ort - schon längere Zeit vakant, und kein Kandidat wollte sich dazu melden, denn die Besoldung des Pfarrers belief sich neben freier Wohnung und etwas Augelände auf kärgliche 300 Gulden. ",9,,,,,,,,,,,,,,,,
231,136,4,115,"Da erinnerten sich die «gnädigen Herren», die da wählen sollten, wo nichts zu wählen war, des Vikars Schweizer und seiner einstigen Erklärungen, und siehe da, er wurde unter der Hand angefragt, ob er sich entschließen könnte, das Pfarramt Dieboltsau anzunehmen. ",9,,,,,,,,,,,,,,,,
231,136,4,116,"Das war also eine Berufung, wie Schweizer sie als einzig statthaft für einen Diener des göttlichen Wortes erkannt hatte. ",9,,,,,,,,,,,,,,,,
231,136,4,117,"Ein freudiges Ja von seiner Seite kam der Frage entgegen, und seiner Ernennung zum Pfarrer von Dieboltsau folgte bald die Verlobung mit seiner längstgeliebten Anna, ",9,,,,,,,,,,,,,,,,
231,136,4,118,"und dann - am 22. Februar 1785 - die Trauung, welche der jüngere Bruder der Braut, Georg, zugleich mit seiner ersten Predigt als Traurede über den eigentümlichen Text Joh. 3,29 [*26] feierte, während der Vater Geßner die Hände seiner Kinder ineinander legte. ",9,,,,,,,,,,,,,,,,
231,136,4,119,"Schon am Tage nach der Hochzeit brach das junge Paar auf, um in furchtbarer Kälte, auf unwegsamen Straßen - denn Chausseen gab es damals in unserm Lande noch nicht - die entlegene neue Heimat aufzusuchen. ",9,,,,,,,,,,,,,,,,
231,136,4,120,"Die Reise ging über St. Gallen; dorthin hatte Lavater den Reisenden eine freundliche Empfehlung in das Haus Bernet, dem Vaterhause der nachmaligen Frauen Schlatter, Heß – [32] ",9,,,,,,,,,,,,,,,,
231,136,4,121,"von denen die Anna Schlatter” so bekannt und berühmt in weitern Kreisen wurde - mitgegeben. Das war ein Samenkorn für die Zukunft, ",9,,,,,,,,,,,,,,,,
231,136,4,122,"denn die Verbindung mit dieser Familie sollte einst tief in mein Leben eingreifen, und noch lebt die damals geschlossene Freundschaft in einigen der Enkel – nach bald einem Jahrhundert - fort.",9,,,,,,,,,,,,,,,,
