id,memberID,img,groupID,selection_class,agenttype1,agenttype2,gender,last_name,first_name,other_name,birthday,birth_location_map,deathday,death_location,workplace,knows,shortbio,data_evaluation,authority_record,authority_organization,birth_location
16,BaS1751,,,3,1,5,2,Bandemer,"Susanne, von",,1751-01-01 00:00:00,,1828-01-01 00:00:00,na,na,,"(French) revolution as self-preservation in Schreiben einer Mutter über die Revolution in Frankreich (von Bademer, 1791, 1821) in (Vahsen, 2000) (p.49)",2,na,0,
17,BaeH1814,,,1,1,2,1,Bär,Heinrich,,1814-01-01 00:00:00,,,,,,hilft Eltern auf dem Heimwesen,1,,,Weisslingen
18,BaC1812,,,2,1,2,1,Battaglini,Carlo,,1812-01-01 00:00:00,,,,,,,1,,,
19,BaGJ1797,,,2,1,2,1,Baumgartner,Gallus Jakob,,1797-01-01 00:00:00,,1869-01-01 00:00:00,St. Gallen,Altstätten,,Revolutionsführer in St. Gallen,1,,,Altstätten
20,BeH1783,,,2,1,2,2,Beauharnais,"Hortense, de",,1783-01-01 00:00:00,,1837-01-01 00:00:00,"Arenenberg, Thurgau, Switzerland","Paris, France",,"Politischer Flüchtling aus Frankreich in Aarburg, Schwägerin Napoleons",2,na,0,"Aarburg, Thurgau"
21,BeMxxxx,,,3,1,5,1,Beck,Marcel,,,,,,,,"“Entlarvung der Gründungsgeschichte der schweizerischen Eidgenossenschaft als Mythos des 19. Jahrhunderts” (Brändli, 2004)",1,,,
22,BeL1851§,,,2,1,2,1,Begos,L.,,,,,,,,Lieutenant-Colonel Louis Begos ancien capitaine-adjudant-major au deuxième régiment suisse au service de France,2,na,0,
23,BeKAA1807,,,2,1,2,1,Benary,Karl Albert Agathon,,1807-01-01 00:00:00,,1861-01-01 00:00:00,,,,Professor Sprache,1,,,
24,BeDFA1755,,,3,1,5,2,Berlepsch,"Dorothea Friderika Aemilia, von",,1755-01-01 00:00:00,,1830-01-01 00:00:00,na,na,,"actually Dorothea Friderika Aemilia von Berlepsch (1755-1830) -  (1799) – the revolution of Switzerland not “ewigen Gesetzen treu” in (Epple, 2003) (p. 196) writes about „ ‚ganz auf natürliche[n] Grundsätze ruhende [...] Verfassung‘ der Schweizer Gesellschaft“ (Berlepsch, 1799; Berlepsch & Pan, 1799) in (Epple, 2003) (p. 196)  - „von einzelnen Machthabern verführtes Volk“ in (Vahsen, 2000)",2,na,0,
25,BeEE1768,,,3,1,5,2,Bernhardi,Elisabeth Eleonore,Philogyn,1768-01-01 00:00:00,,1849-01-01 00:00:00,Freiberg,Freiberg,,,2,na,0,
26,Be833*,,,2,1,5,2,Berta,,,,,,"Zürich, Switzerland","Zürich, Switzerland",,Princess Abbess of the Imperial Abbey of Fraumünster (Zürich),4,81099071,0,
27,BeA1753,,,2,1,3,1,Berthier,Louis Alexandre,,1753-01-01 00:00:00,,1815-01-01 00:00:00,Bamberg,Versailles,,Napoleons Marchall in Neuenburg von 1806-1814,1,,,Neuchatel
28,BiAE1819,,,2,1,2,1,Biedermann,Alois Emanuel,,1819-01-01 00:00:00,,1885-01-01 00:00:00,,,,Sohn des Stadtrat Winterthur (1931),1,,,
29,BiE1779,,,2,1,3,1,Biedermann,Emanuel,,1779-01-01 00:00:00,,1836-01-01 00:00:00,,,,Stadrat Winterthur (1931),1,,,Winterthur
30,BlHWxxxx,,,3,1,5,1,Blanke,Horst Walter,,,,,,,,,1,,,
31,BlJ1799,,,1,1,2,1,Bleuler,Jakob,,1799-01-01 00:00:00,,1839-01-01 00:00:00,,,,Taglöhner in Zürich,1,,,Zollikon
32,BlS1829,,,2,1,2,1,Bleuler,Salomon,,1829-01-01 00:00:00,,1886-01-01 00:00:00,"Winterthur, Switzerland","Zürich, Switzerland",,,4,62765296,0,
33,BlWaH1869,,,2,1,2,2,Bleuler-Waser,Hedwig,,1869-01-01 00:00:00,,1940-01-01 00:00:00,Zollikon,Zürich,,,2,na,0,
34,BlMLB1886,,,4,1,4,1,Bloch,Marc Léopold Benjamin,,1886-01-01 00:00:00,,1944-01-01 00:00:00,,,,Historiker der Annales school,1,,,
35,BlBoR1880,,,2,1,3,2,Bloch-Bollarg,Rosa,,1880-01-01 00:00:00,,1922-01-01 00:00:00,Zürich,Zürich,,,2,na,0,
36,BlR1807,,,2,1,1,1,Blum,Robert   ,,1807-01-01 00:00:00,,1848-01-01 00:00:00,"Vienna, Austria","Cologne, Germany",,"German democratic politician, publicist, pot, publisher, revolutionist and member of the National Aseembly of 1848.",1,,,
37,BlHH1656,,,3,1,5,1,Bluntschli,Hans Heinrich,,1656-01-01 00:00:00,,1722-01-01 00:00:00,,,,in «Memorabilia Tigurina» (1704)  extendes origin of Zurich to times of Abraham (2000 b. Chr.) 1200 years before Rome and founded (refounded) by prominent figures like Cesar and Charlmagne,1,,,
38,BlJC1808,,,1,1,1,1,Bluntschli,Johan Caspar ,,1808-01-01 00:00:00,,1881-01-01 00:00:00,Karlsruhe,"Zürich, Switzerland",,Dr. jur. Rechtswissenschaftler und Politiker,4,14836641,0,Zürich/Karlsruhe
39,BoJJ1698,,,3,1,5,1,Bodmer,Johann Jakob,,1698-01-01 00:00:00,,1783-01-01 00:00:00,,,,"Sprachwissenschafter, gehörte zu den Patrioten",1,,,"Critische Betrachtungen (1741) – CH –current critic of Bodmers „chronicle tradition“ Gustav Tobler. JJ Bodmer als Geschichtsschreiber in (Zimmer, 2003) (p. 45)"
40,BoK1809,,,2,1,2,1,Bodmer,Karl,,1809-01-01 00:00:00,,1893-01-01 00:00:00,Paris,Zürich,,,1,,,
41,Bo0000,,,2,1,6,1,Bodrik,na,,,,,,,,Professor italienischer Literatur in Zürich,1,,,
42,BoeL1858,,,4,1,4,2,Bögli,Lina,,1858-01-01 00:00:00,,1941-01-01 00:00:00,,,,Biographer,1,,,
43,BoC1809,,,1,1,2,1,Boller,Conrad,,1809-01-01 00:00:00,,,,,,hilft Vater auf Heimwesen,1,,,Pfäffikon
44,BoNF1811,,,2,1,2,1,Bonaparte,Napoleon Franz,Napoleon Franz Bonaparte; König von Rom,1811-01-01 00:00:00,,1832-01-01 00:00:00,,,,,1,,,
45,BoSJ1732,,,4,1,4,2,Bondeli,(Suzanne) Julie,,1732-01-01 00:00:00,,1778-01-01 00:00:00,"Neuchâtel, Switzerland","Bern, Switzerland",,,4,67259373,0,
46,BoE1898,,,3,1,5,1,Bonjour,Edgar,,1898-01-01 00:00:00,,1991-01-01 00:00:00,,,,"definition and defens of the Swiss “Sonderposition”, Swiss neutrality, “minimizes the signification of the French revolution” – democratic values as already existing in the Confederation (Universität Basel, 2010) (Zur Herleitung des Monumentalwerkes der 1960er und 1970er Jahre aus den Anfängen von 1943 vgl. Georg Kreis: Die Geschichte des Bonjour-Berichts. Und ein Rückblick auf dreissig Jahre Geschichtsschreibung zur Schweiz im Zweiten Weltkrieg. In: NZ am Wochenende vom 5. Juni 1976.)",1,,,
47,BoKV1745,,,1,1,3,1,Bonstetten,"Karl Viktor, von",,1745-01-01 00:00:00,,1832-01-01 00:00:00,,,,Schriftsteller,1,,,Bern/Genf
48,BoF1791,,,2,1,2,1,Bopp,Franz,,1791-01-01 00:00:00,,1867-01-01 00:00:00,,,,Professor Sanskrit,1,,,
49,Borel0000,,,2,1,6,1,Borel,???,,,,,,,,"Pfarrer (Ministre) im Welschland, verheiratet mit einer Meuron",1,,,Neuchatel
50,BoE1835,,,2,1,2,1,Borel,Eugène,,1835-01-01 00:00:00,,1892-01-01 00:00:00,Bern,Neuchatel,,,1,,,
51,BoT1799,,,2,1,2,1,Bornhauser,Thomas,,1799-01-01 00:00:00,,1856-01-01 00:00:00,Müllheim,Weinfelden,,Revolutionsführer,1,,,Weinfelden
52,BoHJ1784,,,1,1,2,1,Bosshard,Hans Jakob,,1784-01-01 00:00:00,,1839-01-01 00:00:00,,,,arm,1,,,Hittnau/Zürich
53,BoJ1820,,,1,1,2,1,Bosshard,Johannes,,1820-01-01 00:00:00,,,,,,unbekannt,1,,,Wila
54,BoJB1627,,,2,1,5,1,Bossuet ,Jacques Bénigne ,,1627-01-01 00:00:00,,1704-01-01 00:00:00,France,France,,(1681) Discours sur l‘histoire universelle  – theological universal history,1,,,
55,Boyve1731,,,2,1,5,1,Boyve,Jérome-Emmanuel,,1731-01-01 00:00:00,,1810-01-01 00:00:00,Neuchatel,Neuchatel,,Chancilier in Neuchatel,1,,,Neuchatel
56,Brähm0000,,,2,1,6,1,Brähm,???,,,,,,,,Lehrer von Heinrich Escher,1,,,Meilen
57,BrEhM1755,,,3,1,5,2,Brentano-Ehrmann,Marianne,,1755-01-01 00:00:00,,1795-01-01 00:00:00,na,na,,"also Marianne Ehrmann (1755-1795) (CH) – actress – editor - Philosophie eines Weibes: Von einer Beobachterin im Jahre 1784 (Ehrmann, 1784) - Amalie. Eine wahre Geschichte in Briefen (Ehrmann, 1788) – overlapping between historiography and belletristic especially in the genre of epistolary novels – writes with her husband the Wochenschrift for the Beobachter",2,na,0,
58,BrFSC1765,,,3,1,5,2,Brun ,Friederike Sophie Christiane,,1765-01-01 00:00:00,,1835-01-01 00:00:00,Kopenhagen,Gräfentonna,,,2,na,0,
59,HaS1805,,,5,1,2,2,Hatzfeld,"Sophie, Gräfin von",,1805-01-01 00:00:00,,1881-01-01 00:00:00,Wiesbaden,Trachenberg,,German socialist and partner of Ferdinand Lasalle,4,54940048,0,
60,LaLxxxx,,,5,1,2,2,Lasalle,Lisbeth,,,,,,,,Daughter of Ferdinand Lasalle,1,,,
61,AsL1821,,,5,1,2,2,Assing,Rosa Ludmilla,"pseudonyms: Achim Lothar, Talora",1821-01-01 00:00:00,,1880-01-01 00:00:00,Florence,Hamburg,,Jewish-German writer,4,100384493,0,
62,Brunner0000,,,2,1,6,1,Brunner,???,,,,,,,,Oberstleutnant,1,,,
63,BueG1813,,,2,1,2,1,Büchner,Georg,,1813-01-01 00:00:00,,1837-01-01 00:00:00,"Zürich, Switzerland","Riedstadt, Grand Duchy of Hesse",,Ausländischer Revolutionär an der Uni Zürich,1,,,Hessen
64,BueG0000,,,2,1,3,1,Büchner,Georg,,,,,,,,1834 versuchter Selbstmord in Zürich,1,,,
65,Bu1746§,,,3,1,5,1,Buffon,,,,,,,,,wrote (1746) histoire naturelle (and others) include nature in universal history – mountains in Swiss identity!,1,,,
66,Bullinger1504,,,3,1,5,1,Bullinger,Heinrich,,1504-01-01 00:00:00,,1575-01-01 00:00:00,"Zürich, Switzerland","Bremgarten, Switzerland",,Theologieprofessorm später Pfarrer in Erlibach,1,,,
67,BuJC1818,,,1,1,5,1,Burckhardt ,Jakob Christoph,,1818-01-01 00:00:00,,1897-01-01 00:00:00,,,,Kultur- und Kunsthistoriker. ,1,,,Basel
68,BueMCE1760,,,3,1,5,2,Bürger,Marie Christiane Elisabeth,Elise Bürger,1760-01-01 00:00:00,,1833-01-01 00:00:00,Frankfurt am Main,Stuttgart,,,2,na,0,
69,Bürgi1801,,,2,1,2,1,Bürgi,David,,1801-01-01 00:00:00,,1874-01-01 00:00:00,Fluntern,Bäretschweil,,,4,103131442,0,
70,BuCJC1818,,,2,1,2,1,Burkhardt,Carl Jacob Christoph,,1818-01-01 00:00:00,,1897-01-01 00:00:00,"Basel, Switzerland","Basel, Switzerland",,liberal-konservativ,1,,,Basel
71,BueJG1793,,,1,1,2,1,Bürkli,Johann Georg,,1793-01-01 00:00:00,,1851-01-01 00:00:00,"Zürich, Switzerland*",Schinznach,,bis 1827 Seidenhandelskaufmann ,4,D32392,0,
72,BueFPD1818,,,5,1,3,1,Bürkli,Friedrich Paul David,,1818-01-01 00:00:00,,1896-01-01 00:00:00,,,,"Friedrich Paul David Bürkli arbeitete von 1837 an in der Redaktion des Wochenblattes Züricher Freitags-Zeitung, die bereits seit 1674 über mehrere Generationen im Besitz der Familie Bürkli war. Von 1852 bis 1877 war er selbständiger Redaktor dieser Zeitung. Ab den 1830er Jahren bis zu seinem Tod 1896 gab er den seit 1781 jährlich erscheinenden Züricher Kalender heraus. Ein weiterer Titel aus seinem Haus waren die Reisebegleiter für die Schweiz, die unter anderem Bahn- und Schiffsfahrpläne enthielten. Friedrich Bürklis Sammlung umfasst um die 1500 Titel. Bei etwa der Hälfte davon handelt es sich um orientalistische Fachliteratur des 19. Jahrhunderts, bei der anderen Hälfte um Drucke aus Europa, Ägypten und Indien in grösstenteils arabischer Sprache. Die Werke stammen von arabischen Autoren des 6. bis 16. Jahrhunderts und decken die Gebiete Grammatik, Lexikologie, islamisches Recht, islamische Theologie, Literatur und Geschichte ab (Wikipedia).",1,,,"Zürich, Switzerland"
73,BueHK1724§,,,5,1,3,1,Bürkli,Hans Kaspar,,,,,,,,owner of the Bürklische Drukerey,1,,,"Zürich, Switzerland*"
74,BueD1735,,,5,1,3,1,Bürkli,David,,1735-01-01 00:00:00,,1790-01-01 00:00:00,,,,owner of the Bürklische Drukerey,4,1061010279,0,"Zürich, Switzerland*"
75,BueK1823,,,1,1,1,1,Bürkli,Karl ,,1823-01-01 00:00:00,,1901-01-01 00:00:00,Mettmenstetten,Zürich,,,4,117667099,0,Zürich/Mettmenstetten
76,By1788,,,2,1,2,1,Byron,,,1788-01-01 00:00:00,,1824-01-01 00:00:00,,,,Lord Byron schwärmte für die Schweiz,1,,,
77,CaMA1775,,,2,1,4,2,Calame,Marie-Anne,,1775-01-01 00:00:00,,1834-01-01 00:00:00,Le Locle,Le Locle,,Pietist.,4,67273396,0,
78,vCaCJ1751,,,1,1,3,1,Campagne,"Carl Joseph, von",,1751-01-01 00:00:00,,1833-01-01 00:00:00,,,,Mystiker,1,,,Bussenhausen
79,CaEH1892,,,2,1,2,1,Carr,Edward Hallett,,1892-01-01 00:00:00,,1982-01-01 00:00:00,"London, England","London, England",,,4,24418,0,
80,CaExxxx,,,3,1,5,1,Cassirer,Ernst,,,,,,,,,1,,,
81,CaNAX1767,,,2,1,2,1,Castella de Berlens,Nicolas Antoine Xavier ,,1767-01-01 00:00:00,,1830-01-01 00:00:00,"Paris, France","Fribourg, Switzerland",,Swiss coronel during the Russian Campaign.,2,na,0,
82,CaC1801,,,2,1,2,1,Cattaneo,Carlo,,1801-01-01 00:00:00,,1860-01-01 00:00:00,"Milan, Italy","Milan, Italy",,,1,,,
83,ChP1850,,,2,1,2,2,Chaponniere-Chaix,Pauline,,1850-01-01 00:00:00,,1934-01-01 00:00:00,"Geneva, Switzerland","Geneva, Switzerland",,,2,na,0,
84,ChX1757,,,2,1,3,1,Charles X of France,,Karl X.,1757-01-01 00:00:00,,1836-01-01 00:00:00,"Görz, Austria (now in Italy)","Palace of Versailles, France",,"König von Frankreich, gestürzt, Bruder von Ludwig XVI.",2,na,0,
85,ChAL1773,,,2,1,3,1,Chézny,"Antoine Léonard, de",,1773-01-01 00:00:00,,1832-01-01 00:00:00,,,,Professor Sanskrit,1,,,
86,CiP1819,,,2,1,2,1,Cironi,Piero,,1819-01-01 00:00:00,,1862-01-01 00:00:00,"Prato, Italy","Prato, Italy",,Patriot and dear friend of Giuseppe Mazzini. 1853-1857 exiled to Zürich after he had planned the march to Savoy (Savoyerzug) in 1834 and failed.,4,49594102,0,
87,CoN1743,,,2,1,3,1,Condorcet,Nicolas,"Marie Jean Antoine Nicolas de Caritat, m",1743-01-01 00:00:00,,1794-01-01 00:00:00,"Bourg-la-Reine, France","Ribemont, France",,entwickelt Idee der Volksinitiative,1,,,
88,CoA0000,,,2,1,6,1,Conseil,Auguste,,,,,,,,"Spion, politischer Flüchtling, Conseil-Affaire 1835",1,,,
89,CoV1808,,,2,1,1,1,Considerant,Victor Proper,,1808-01-01 00:00:00,,1893-01-01 00:00:00,"Paris, France","Salins-les-Bains, France",,"Utopist, not directly involved in Swiss history",1,,,
90,CoB1767,,,2,1,2,1,Constant,Benjamin,Henri-Benjamin Constant de Rebecque,1767-01-01 00:00:00,,1830-01-01 00:00:00,"Paris, France","Lausanne, Switzerland",,gemässigte Mitte (zw. Aristokratischer Despotie und revolutionäre Gewalt der Massen) im Kreis von Madame de Staël,1,,,
91,CoKnV1861,,,2,1,2,2,Conzett-Knecht,Verena,,1861-01-01 00:00:00,,,na,na,,,2,na,0,
92,CrAW0000,,,3,1,5,1,Cramer,Andreas Wilhelm,,,,,,,,"Haus-Chronik: meinen Anverwandten und Freunden zum Andenken gewidmet (1822) (Cramer, 1822)",1,,,
93,CdGJP0000,,,2,1,6,1,Currat de Grandvillard,Jean-Pierre,,,,,,,,,2,na,0,
94,DaC0000,,,3,1,5,1,Dahlmann,Carl,,,,,,,,"Historiographer. „Modulations ins Volksnationale“ (Tuchtenhagen, 2011) (p. 44)",1,,,
95,DaeJ1822,,,2,1,2,1,Dändliker,Jakob,,1822-01-01 00:00:00,,1837-01-01 00:00:00,,,,"Lehrer, Rektor, Stadtrat, Prov. Sekundarschullehrer in Pfäffikon bei Austritt Kramers",1,,,
96,DeM1495,,,2,1,3,2,Dentière,Marie,Marie d’Ennetières,1495-01-01 00:00:00,,1561-01-01 00:00:00,"Geneva, Switzerland","Tournai, France",,,2,na,0,
97,DiB1812,,,1,1,2,1,Diem,Bartholomäus,,1812-01-01 00:00:00,,1839-01-01 00:00:00,,,,"religiöser Dienstbote, arm",1,,,Herisau (AR)/Zürich
98,DiJ1842,,,3,1,5,1,Dierauer,Johannes,,1842-01-01 00:00:00,,1920-01-01 00:00:00,,,,Schweizer Historiker,1,,,
99,DiJ0000,,,1,1,6,1,Dietliker,Jakob,,,,1839-01-01 00:00:00,Zürich,Wetzikon,,"Zimmermann, Mittelstand (nicht ganz arm)",1,,,Wetzikon/Zürich
101,DiJ1819,,,1,1,2,1,Diggelmann,Jakob,,1819-01-01 00:00:00,,1839-01-01 00:00:00,,,,"Schustergehilfe, sehr arm",1,,,Pfäffikon/Zürich
102,DiJFLD1807,,,3,1,5,2,Dittmar,Johanna Friederieke Louise,,1807-01-01 00:00:00,,1884-01-01 00:00:00,na,na,,"Named actually Johanna Friederieke Louise Dittmar(1807-1884) -  „Sie werden staunen, wie diese Dame unsre Philosophen und Theologen durch die Freiheit ihres Geistes beschämt.“ – (Feurbach) (Schuffenhauer, 1967) – a critical review (Dittmar, 1847a) – historiography (Dittmar, 1845b) – political commentaries (Dittmar, 1847b, 1849a, 1849b) – theological (social) identity building (Dittmar, 1845a, 1848)",2,na,0,
103,DoH1896,,,3,1,5,1,Domann,Hans,,1896-01-01 00:00:00,,1944-01-01 00:00:00,,,,"Das Gemeinschaftsbewusstsein der V Orte in der Alten Eidgenossenschaft (1943) – according Metzger in the national liberal historiography appears religion only as a negative factor (Metzger, 2011) (p. 175) this seems not correct (see BUND (SEK/FEPS/FCES, 1987))",1,,,
104,DoN0000,,,3,1,5,1,Domeisen,Norbert,,,,,,,,,2,na,0,
105,Dorer1807,,,2,1,2,1,Dorer-Egloff,Eduard,,1807-01-01 00:00:00,,1864-01-01 00:00:00,"Baden, Switzerland","Baden, Switzerland",,,1,,,
106,DrMG1812,,,2,1,2,1,Dreyfus,Markus Getsch,Markus Götsch Dreifus(s),1812-01-01 00:00:00,,1877-01-01 00:00:00,Zürich,"Endingen, Aargau, Switzerland",,"Dreyfuss-Affaire, first conseil de guerre",1,,,
107,DrDH1799,,,2,1,3,1,Druey,Daniel-Henri,,1799-01-01 00:00:00,,1855-01-01 00:00:00,"Bern, Switzerland","Faoug, Switzerland",,1845 radikaler Führer Waadt,4,57361171,0,
108,DF0000,,,2,1,6,1,Du Fresne,,,,,,,,,Swiss coronel during the Russian Campaign.,2,na,0,
109,DuGH1787,,,2,1,3,1,Dufour,Guillaume-Henri,,1787-01-01 00:00:00,,1875-01-01 00:00:00,"Les Eaux-Vives, Geneva",Konstanz,,"liberal-konservativ, protestant, Führer gegen Sonderbundtruppen, Generalstabsoffizier",4,2495837,0,Genf
110,DuOAJ1817,,,2,1,2,2,Dufour-Onofrio,Anna Joséphine,,1817-01-01 00:00:00,,,na,na,,,2,na,0,
111,DuA1802,,,2,1,3,1,Dumas,Alexandre,,1802-01-01 00:00:00,,1870-01-01 00:00:00,"Seine-Maritime, France","Villers-Cotterêts, France",,reports about his experiences during the July Revolution,4,51688902,0,
112,DuALA1804,,,2,1,3,2,Dupin,Amantine-Lucile-Aurore,George Sand,1804-01-01 00:00:00,,1876-01-01 00:00:00,"Nohant-Vic, France","Paris, France",,,4,46766944,0,
113,DuR1867,,,3,1,5,1,Durrer,Robert,,1867-01-01 00:00:00,,1934-01-01 00:00:00,,,,"Die Einheit Unterwaldens. Studien über die Anfänge der urschweizerischen Demokratie (1910) – idea of an „old“ democracy (Metzger, 2011) (p. 175)",1,,,
114,EvI1877,,,3,1,5,2,Eberhardt,Isabelle,,1877-01-01 00:00:00,,1904-01-01 00:00:00,"Aïn Séfra, Algeria","Geneva, Switzerland",,"North African explorere, converted to Islam. All works published in Switzerland posthume, during her life only in Algeria and France news papers. Travel reports and memories, fascination for Islam, travels dressed as a man, - Nouvelles algériennes, 1905; Dans l’ombre chaude de l’Islam, 1906 ; Mes journaliers, 1922",1,,,
