"id","img","author_name","author_id","type","genre","created","published","title","subtitle","publisher","location","citation","description","source","medium","language","format","subject","rights","rights_holder","data_evaluation","authority_record","authority_organization","pdf_book","ext_source"
"11",NULL,"0","0","2","8",NULL,"1711-01-01 00:00:00","Merkwürdigkeiten der Stadt Zürich und deren Landschaft",NULL,NULL,"Zürich",NULL,"author: Bluntschli, Johann Caspar subject: Bluntschli","Hauser, Albert: Vom Essen und Trinken im",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"12",NULL,"0","0","2","5",NULL,"1829-01-01 00:00:00","Entwicklung der Erbfolge gegen den letzten Willen nach Römischem Recht mit besonderer Rücksicht auf die Novelle 115",NULL,"Adolph Marcus","Bonn",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"13",NULL,"0","0","3","8",NULL,"1843-01-01 00:00:00","Kommunisten in der Schweiz",NULL,NULL,NULL,NULL,"author: subject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"14",NULL,"0","0","2","5",NULL,"1844-01-01 00:00:00","Psychologische Studien über Staat und Kirche - Bluntschli, Johann Caspar, 1808-1881",NULL,"Ch. Beyerl","Zürich und Frauenfeld",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"15",NULL,"0","0","2","5",NULL,"1849-01-01 00:00:00","Geschichte des schweizerischen Bundesrechtes : von den ersten ewigen Bünden bis auf die Gegenwart",NULL,"Verlag Meyer und Zeller","Zürich",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"16",NULL,"0","0","2","5",NULL,"1852-01-01 00:00:00","Allgemeines staatsrecht - Bluntschli, Johann Caspar, 1808-1881",NULL,"Verlag der literarischen Anstalt","München",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"17",NULL,"0","0","2","5",NULL,"1857-01-01 00:00:00","Der Kampf der Liberalen in Belgien",NULL,"[s.n.]","Zürich",NULL,"author: Bluntschli, Johann Caspar; Laurent, Françoissubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"18",NULL,"0","0","2","5",NULL,"1860-01-01 00:00:00","Rechtsgutachten betreffend Steuerpflicht der schweizerischen Centralbahn-Gesellschaft im Kanton Basel-Landschaft",NULL,"Gedruckt bei Lüdin & Walser",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"19",NULL,"0","0","2","5",NULL,"1863-01-01 00:00:00","Allgemeines staatsrecht (Volume 2)",NULL,"Gottasche Buchhandlung","Göttingen",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"20",NULL,"0","0","2","5",NULL,"1865-01-01 00:00:00","Deutsches Staats-Wörterbuch - Bluntschli, Johann Caspar, 1808-1881, ed",NULL,NULL,"Expedition des Staatswörterbuches",NULL,"author: Bluntschli, Johann Caspar; Brater, Karl Ludwig Theodor subject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"21",NULL,"0","0","2","5",NULL,"1866-01-01 00:00:00","Das moderne Kriegsrecht der civilisierten Staten, als Rechtsbuch dargestellt ",NULL,"C.H. Beck'schen Buchhandlung","Nördlingen",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"22",NULL,"0","0","2","5",NULL,"1868-01-01 00:00:00","Die Gründung der amerikanischen Union von 1787 ",NULL,"Lüderitz'sche Verlagsbuchhandlung","Berlin",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"23",NULL,"0","0","2","5",NULL,"1868-01-01 00:00:00","Das moderne Völkerrecht der civilisirten Staten als Rechtsbuch dargestellt",NULL,"C.H. Beck'schen Buchhandlung","Nördlingen",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"24",NULL,"0","0","1","18",NULL,"1870-01-01 00:00:00","Die nationale Staatenbildung und der moderne deutsche Staat ",NULL,"Lüderitz'sche Verlagsbuchhandlung","Berlin",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"25",NULL,"0","0","2","5",NULL,"1876-01-01 00:00:00","Lehre vom modernen Staat (Volume 1) ",NULL,"J.G. Cotta",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"26",NULL,"0","0","2","5",NULL,"1877-01-01 00:00:00","Droit de la guerre et coutume de guerre, à propos des attaques du Colonel von Rustow contre le droit des gens ",NULL,"unknown",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"27",NULL,"0","0","2","5",NULL,"1880-01-01 00:00:00","Deutsche Statslehre und die heutige Statenwelt; ein Grundriss mit vorzüglicher Rücksicht auf die Verfassung von Deutschland und Oesterreich-Ungarn. 2. umgearb. Aufl. der deutschen Statslehre für Gebildete",NULL,"Beck",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"28",NULL,"0","0","2","5",NULL,"1881-01-01 00:00:00","Le droit public général",NULL,"Guillaumin et cie.",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"29",NULL,"0","0","2","8",NULL,"1881-01-01 00:00:00","Geschichte der neueren statswissenschaft ",NULL,"R. Oldenbourg",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"30",NULL,"0","0","1","1",NULL,"1884-01-01 00:00:00","Denkwürdiges aus meinem leben",NULL,"C. H. Beckʾsche Buchhandlung","Nördlingen",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"31",NULL,"0","0","2","5",NULL,"1885-01-01 00:00:00","Lehre vom modernen Staat (Volume 2) ",NULL,"unknown",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"32",NULL,"0","0","2","5",NULL,"1895-01-01 00:00:00","The theory of the state ",NULL,"Clarendon Press",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"33",NULL,"0","0","1","9",NULL,"1915-01-01 00:00:00","Briefwechsel Johann Kaspar Bluntschlis mit Savigny, Niebuhr, Leopold Ranke, Jakob Grimm und Ferdinand Meyer","Hsg. Wilhelm Oesli",NULL,"Frauenfeld",NULL,"author: Bluntschli, Johann Caspar subject: Bluntschli","Aerne, Peter: Pfarrer Bernhard Hirzel, A",NULL,"1","Gedruckte Quellen",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"34",NULL,"0","0","3","8",NULL,"1958-01-01 00:00:00","Die Schweizerische Bedeutung von Johann Caspar Bluntschli","Bericht vom außerordentlichen Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 52","Bibliothek des Deutschen Freimaurermuseu",NULL,NULL,"author: unbekanntsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"35",NULL,"0","0","3","8",NULL,"1958-01-01 00:00:00","Johann Caspar Bluntschli – Der Mann des Rechtes – Der Diener des Staates – Der Bruder","Bericht vom außerordentlichen
Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 43, 47 f.","Bibliothek des Deutschen Freimaurermuseu",NULL,NULL,"author: Dehler, Thomassubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"36",NULL,"0","0","3","1",NULL,"1958-01-01 00:00:00","Johann Caspar Bluntschli – Bluntschli und die Einigung","Bericht vom außerordentlichen
Großlogentag 1958 und vom internationalen Freimaurerkongreß in Wiesbaden 16.-18. Mai 1958, S. 55 f.","Bibliothek des Deutschen Freimaurermuseu",NULL,NULL,"author: Falk, Gottholdsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"37",NULL,"0","0","3","8",NULL,"1980-01-01 00:00:00","Vortrag des Papstes im Kardinalskollegium über irgendeine wichtige religiöse oder auch politische Frage, der durch Anschlag veröffentlicht wird","Internationales Freimaurerlexikon,
unveränderter Nachdruck der Ausgabe 1932","Wien/München",NULL,NULL,"author: Lennhof, Eugen; Posner, Oskarsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"38",NULL,"0","0","3","1",NULL,"2003-01-01 00:00:00","Johann Caspar Bluntschli, Francis Lieber und das moderne Völkerrecht 1861-1881",NULL,"Nomos Verlag","Baden-Baden",NULL,"author: Röben, Bettsysubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"39",NULL,"0","0","3","18",NULL,"2004-01-01 00:00:00","Die Geschichte der Großloge ""Zur Sonne""","02/04/2004",NULL,NULL,NULL,"author: Heinold, Dietersubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"40",NULL,"0","0","3","8",NULL,"2010-01-01 00:00:00","Woodrow Wilson’s Administrative Thought and German Political Theory","01/07/2010","Public Administration Review",NULL,NULL,"author: Rosser, Christiansubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"41",NULL,"0","0","2","5",NULL,"1868-01-01 00:00:00","Das moderne Völkerrecht",NULL,"C.H. Beck'schen Buchhandlung","Nördlingen",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"42",NULL,"0","0","2","5",NULL,"1881-01-01 00:00:00","Die nationale Staatenbildung und der moderne Deutsche Staat",NULL,"Habel","Berlin",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"43",NULL,"0","0","3","8",NULL,"1993-01-01 00:00:00","Zürcher Wappenkunde","Das Wichtigste über Familienwappen.4. Auflage","Zürcher Kantonalbank","Zürich",NULL,"author: Schobinger, Viktorsubject: Bluntschli, Bodmer, Bosshart, Breitinger, Burkhart, Bürkli, Cramer, Escher vom Glas, Escher Luchs, Fäsi, Freitag, Füssli, Gessner, Hess, Hirzel, Keller Steinbock, Landolt, Lavater, Leu, Meiss, Meister, Meyer, Meyer von Knonau, von Orelli, Ott, Rahn, Schulthess, Spöndli, Steiner, Suter, Ulrich, Usteri, Werdmüller, Wyss",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"44",NULL,"0","0","3","8",NULL,"1994-01-01 00:00:00","Zürcher Landvögte von 1402-1798",NULL,"Chronos Verlag","Zürich",NULL,"author: Dütsch, Hans-Rudolfsubject: Bluntschli, Bodmer, Bosshart, Breitinger, Burkhart, Bürkli, Cramer, Escher vom Glas, Escher Luchs, Fäsi, Freitag, Füssli, Gessner, Hess, Hirzel, Keller Steinbock, Landolt, Lavater, Leu, Meiss, Meister, Meyer, Meyer von Knonau, von Orelli, Ott, Rahn, Schulthess, Spöndli, Steiner, Suter, Ulrich, Usteri, Werdmüller, Wyss",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"45",NULL,"0","0","2",NULL,NULL,"1849-01-01 00:00:00","Geschichte Des Schweizerischen Bundesrechtes : Von Den Ersten Ewigen Bünden Bis Auf Die Gegenwart",NULL,"Meyer und Zeller","Zürich",NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli, Escher, Reinhard, Ott",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"46",NULL,"0","0","2",NULL,NULL,"1895-01-01 00:00:00","Le Droit International Codifié",NULL,"Guillaumin et cie",NULL,NULL,"author: Bluntschli, Johann Casparsubject: Bluntschli, Escher, Reinhard, Ott",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"47",NULL,"0","0","3","8",NULL,"2007-01-01 00:00:00","Promoting justice, human rights and conflict resolution through International Law",NULL,NULL,NULL,NULL,"author: Marcelo G. Kohen,Lucius Caflischsubject: Bluntschli, Escher, Reinhard, Ott",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"48",NULL,"0","0","3","18",NULL,"2008-01-01 00:00:00","Der Ustertag - Über den Anstand in der Politik","Rede gehalten anlässlich der Ustertagsfeier vom 23. November 2008 in der Kirche Uster",NULL,"Uster",NULL,"author: Blocher, Christophsubject: Bluntschli, Escher, Reinhard, Ott",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"49",NULL,"0","0","3","1",NULL,"2006-01-01 00:00:00","Bodmer und Breitinger im Netzwerk der Europäischen Aufklärung. 09.2006","Internationaler Kongress in der Zentralbibliothek Zürich",NULL,"Zürich",NULL,"author: Mahlmann-Bauer, Barbara; Lütteken, Anettsubject: Bodmer; Breitinger",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"50",NULL,"0","0","1","1",NULL,"1804-01-01 00:00:00","Heinrich Bosshard, Eines Schweizer Mannes, Lebensgeschichte",NULL,"Steiner'sche Buchhandlung","Winterthur",NULL,"author: Bosshard, Heinrichsubject: Bosshard",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"51",NULL,"0","0","1","1",NULL,"1837-01-01 00:00:00","Bericht an das englische Parlament über den Handel, Fabriken und Gewerbe der Schweiz",NULL,"Orell Füssli und Compagnie",NULL,NULL,"author: Bowring, Johannsubject: Bowring",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"52",NULL,"0","0","2",NULL,NULL,"1866-01-01 00:00:00","Eine Kantonalbank, aber keine Herren-, sonder eine Volksbank…, Sturz der Geldaristokratie durch eine Staatsbank ohne Gold- Silbergeld",NULL,"Commissionsverlag C. Honegger-Schmid","Zürich",NULL,"author: Bürkli, Karlsubject: Bürkli",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"53",NULL,"0","0","1","1",NULL,"1848-01-01 00:00:00","Histoire de la Reévolution",NULL,NULL,NULL,NULL,"author: Stern, Danielsubject: d'Agoult","Ognois, Laure",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"54",NULL,"0","0","2","2",NULL,"1800-01-01 00:00:00","Zürcher Zentralbibliothek (ZBB), Handschriftabteilung","Däniker, Johann Caspar, V. [eniendi] D. [eligi] M. [inistri, L.O.] und Mitglied der ascetischen Gesellschaft: Paragraphen der ascetischen Gesellschaft gewidmet, vorgelesen den 4. Juli 1800",NULL,NULL,NULL,"author: Däniker, Johann Casparsubject: Däniker","Mörgeli, Christoph: Der ""Züriputsch"" aus",NULL,"1","Handschriftliche Quellen",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"55",NULL,"0","0","1","9",NULL,"1839-01-01 00:00:00","Staatsarchiv des Kanton Zürichs (StAZ)","M 1b 3: Briefe des Staatsrates des Kantons Waadt an den Regierungsrat des Kantons Zürich vom 12.9. und 17.9.1839 (Baumgartner Anm. 20.S.362)",NULL,NULL,NULL,"author: subject: Druey",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"56",NULL,"0","0","2",NULL,NULL,"1842-01-01 00:00:00","Lehrbuch der Taktik",NULL,"Orell Füssli","Zürich",NULL,"author: Dufour, Guillaume-Henrisubject: Dufour",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"57",NULL,"0","0","2",NULL,NULL,"1850-01-01 00:00:00","De la fortification permanent",NULL,NULL,"Paris",NULL,"author: Dufour, Guillaume-Henrisubject: Dufour","Hauser, Albert: Vom Essen und Trinken im",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"58",NULL,"0","0","3","8",NULL,"1905-01-01 00:00:00","Huldreich Zwinglis sämtliche Werke","hg. Von Egli, Finsler, Köhler, Blanke, von Muralt u.a. Corpus Reformatorum XC ss",NULL,NULL,NULL,"author: Egli, Finsler, Köhler, Blanke, von Muralt u.a. (Hsg.)subject: Egli, Finsler, von Muralt",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"59",NULL,"0","0","3","2",NULL,"2003-01-01 00:00:00","Biographische Daten aus dem Umfeld der Unternehmen: V.S.B., W.H.B, R.H.B.",NULL,NULL,NULL,NULL,"author: EYE Communications AGsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"60",NULL,"0","0","3","1",NULL,"2009-01-01 00:00:00","Alfred Escher. 1819-1882. Aufstieg, Macht, Tragik",NULL,"Verlag Neue Zürcher Zeitung",NULL,NULL,"author: Jung, Josefsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"61",NULL,"0","0","3","1",NULL,"1852-01-01 00:00:00","Hans Conrad Escher von der Linth","Charakterbild eines Republikaners","Orell Füssli und Comp.",NULL,NULL,"author: Hottinger, Johann Jakobsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"62",NULL,"0","0","2","8",NULL,"1832-01-01 00:00:00","Schweizerische Annalen oder die Geschichte unserer Tage seit dem Julius 1830 (Volume 1) ",NULL,"Orell Füssli","Zürich",NULL,"author: Müller von Friedberg, Carlsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"63",NULL,"0","0","2","8",NULL,"1861-01-01 00:00:00","Geschichte der schweizerischen Eidgenossenschaft",NULL,"F. Schulthess","Zürich",NULL,"author: Vögelin, Johann Konrad; Escher Heinrich subject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"64",NULL,"0","0","2",NULL,NULL,"1863-01-01 00:00:00","Handbuch der praktischen Politik","Erster Band","Verlag von Wilhelm Engelmann","Leibzig",NULL,"author: Escher, Heinrichsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"65",NULL,"129","129","1","17",NULL,"1866-01-01 00:00:00","Erinnerungen seit mehr als sechzig Jahren, Bd. 1 und 2",NULL,"Verlag der Schabelitz'schen Buchhandlung","Zürich",NULL,"author: Escher, Heinrich subject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"66",NULL,"0","0","1","1",NULL,"1867-01-01 00:00:00","Erinnerungen seit mehr als sechzig Jahren","Band II",NULL,NULL,NULL,"author: Escher, Heinrichsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"67",NULL,"0","0","2","2",NULL,"1996-01-01 00:00:00","Familien Haab, Scheitlin, Bodmer","Familienarchiv 1717 - 1996",NULL,"Zürich",NULL,"author: Stadtarchiv Zürich VII. 277.subject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"68",NULL,"0","0","2","2",NULL,"2014-01-01 00:00:00","Gemeindearchivführer Bezirk Uster",NULL,NULL,NULL,NULL,"author: Bezirk Ustersubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"69",NULL,"0","0","2","2",NULL,"2008-01-01 00:00:00","Eine Karte der Zehntbezirke um 1600. Wie sich Fürstbischof und Almosenamt vor 400 Jahren die Steuern teilten. 7/2008","Weiacher Geschichte(n) Streiflichter aus der Vergangenheit unseres Dorfes",NULL,"Weiach",NULL,"author: Brandenberger, Ulrichsubject: Escher",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"70",NULL,"0","0","3","8",NULL,"1999-01-01 00:00:00","Seide: Stoff für Zürcher Geschichte und Geschichten","Die ""Züri-Reihe"" der Zürcher Kantonalbank","Zürcher Kantonalbank","Zürich",NULL,"author: subject: Escher, Finsler, Pestalozzi, Muralt, Schwarzenbach",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"71",NULL,"0","0","1","18",NULL,"1839-01-01 00:00:00","Was frommt dem Vaterlande in diesen Tage","Drei Predigten gehalten im Herbst 1839","David Bürkli","Zürich",NULL,"author: Fäse, Karl Wilhelmsubject: Fäsi","Ognois, Laure",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"72",NULL,"0","0","2","8",NULL,"1842-01-01 00:00:00","Schweizerische Analen oder die Geschichte unserer Tage seit dem Julius 1830","Fünften Bandes erster Theil. Mit Rückblicken auf frühere Perioden",NULL,"Orell Füssli und Compagnie",NULL,"author: Friedbergsubject: Friedberg","Mörgeli, Christoph: Der ""Züriputsch"" aus",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"73",NULL,"0","0","3","1",NULL,"2002-01-01 00:00:00","Preussens Salomon. Herrschaftslegitimation und Herrscherpflichten in Predigten anlässlich der Krönung Friedrichs I","Kunisch, Johannes (Hg.): Dreihundert Jahre Preussische Königskrönung",NULL,"Berlin",NULL,"author: Eibach, Joachimsubject: Friedrich I",NULL,NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"74",NULL,"0","0","2","2",NULL,"1839-01-01 00:00:00","Staatsarchiv des Kanton Zürichs (StAZ)","7.9.1839",NULL,NULL,NULL,"author: subject: Furrer","Mörgeli, Christoph: Der ""Züriputsch"" aus",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"75",NULL,"0","0","3","1",NULL,"2009-01-01 00:00:00","Jonas Furre: Aufbruch in die Moderne","Ein fiktives
Interview über seine bewegte
Jugendzeit. 12.2009","WinterThur Scharfsteller",NULL,NULL,"author: Liebenberg, Marksubject: Furrer","Ognois, Laure",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
"76",NULL,"0","0","2","14",NULL,"1839-01-01 00:00:00","Motion betreffend die Wahl der Professoren der Theologie an der hiesigen Hochschule und die Berufung des Dr. Strauss","vorgetragen im Grossen Rate am 31. Januar 1839",NULL,"Zürich",NULL,"author: Füssli, J.subject: Füssli","Ognois, Laure",NULL,"1",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL
