Author,Biblio,Transcript,Unit,text,invivo,chronology,people,places,comments,footing (IM),encounter,PC,Dramatica,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,Scene No.,Scene Title
367,215,15,39,[... 17-22],,,,,,,,,,,,,,,,,,
367,215,15,40,"{Die Schweizerregimenter mit dem zweiten Armeecorps gingen nördlich von der Marschroute der grossen Armee nach Polozk, währen die letztere über Wilna und Smolensk nach Moskau, unter beständigem Zurückweichen der Russen lossteuerte.}",,,,,,,,,,,,,,,,,,
367,215,15,41,"Am linken Ufer der Düna bei „Disna,“ einer kleinen Stadt, war es, wo ich Zeuge einer beträchtlichen Schlacht gewesen. ",,,,,,,,,,,,,,,,,,
367,215,15,42,Vorher hatten immer kleinere Scharmützel stattgefunden. ,,,,,,,,,,,,,,,,,,
367,215,15,43,Am Abend des 1. August bekamen unsere Soldaten Branntwein und etwas Bisquit.,,,,,,,,,,,,,,,,,,
367,215,15,44,"Am Morgen um 4 Uhr fing der Donner der Kanonen an; alle unsere Leute waren in Schlachtordnung aufgestellt, immer heftiger wurde das Gefecht, wir avancierten so ziemlich und endlich machten die Kürassiere der Schlacht ein Ende, die bis 3 Uhr nachmittags gedauert hatte.",,,,,,,,,,,,,,,,,,
367,215,15,45,"Wie es mir beim Anblick der vielen Blessierten war, kann ich nicht beschreiben; ich hatte nichts zu essen, noch zu trinken, denn wir durften kein Feuer zum Kochen machen.",,,,,,,,,,,,,,,,,,
367,215,15,46,"Das Geschrei der vielen Blessierten machte mich wehmütig, ich wurde noch trauriger, als ich mich unter einen Baum setzte, um auszuruhen und mein Pferd weiden zu lassen,",,,,,,,,,,,,,,,,,,
367,215,15,47,"als ich einen Toten sah, der Briefe neben ihm zu liegen hatte. ",,,,,,,,,,,,,,,,,,
367,215,15,48,"Ich nahm seine Briefe und sah, dass es Briefe von seinen Eltern und seiner Geliebten waren, die in den zärtlichsten Ausdrücken an ihn geschrieben hatte und ihn bat, so bald als tunlich [23] nach Hause zu kommen und das Militär womöglich zu quittieren.",,,,,,,,,,,,,,,,,,
367,215,15,49,"Da dachte ich, oh ihr armen Eltern, wenn ihr jetzt so euern Sohn sehen könntet, wie ich ihn sehe, was würdet ihr sagen?",,,,,,,,,,,,,,,,,,
367,215,15,50,Ich konnte mich des Weinens nicht enthalten.,,,,,,,,,,,,,,,,,,
367,215,15,51,"Am selben Abend ritt ich noch neben vielen Toten vorüber, was konnte ich ihnen helfen! ",,,,,,,,,,,,,,,,,,
367,215,15,52,Ich war in einer traurigen Stimmung!,,,,,,,,,,,,,,,,,,
367,215,15,53,Hier hatte ich zum ersten Mal den Anblick aller Schauer des Kriegs.,,,,,,,,,,,,,,,,,,
367,215,15,54,"Von Schrecken erstarrt, fuhr ich zeitweise auf der entsetzlichen Strasse dahin, die man mühsam durch Schutt und Trümmer gebrochen hatte; zur Seite lagen halb verbrannte Leichname und menschliches Gebein aufgehäuft.",,,,,,,,,,,,,,,,,,
367,215,15,55,Von nun an erneuerten sich die Kämpfe täglich.,,,,,,,,,,,,,,,,,,
367,215,15,56,In dieser Wüstenei voller Elend und Entsetzen trieb mich mein Schicksal immer vorwärts auf dem verwüsteten Wege.,,,,,,,,,,,,,,,,,,
367,215,15,57,"Statt der Dörfer und Städte fanden wir nur Aschenhaufen, die ihre ehemalige Lage bezeichneten.",,,,,,,,,,,,,,,,,,
367,215,15,58,"Die Russen hatte auf eine fürchterliche Weise die ganze Ebene zerstört,",,,,,,,,,,,,,,,,,,
367,215,15,59,auf welcher die Franzosen lagern wollten.,,,,,,,,,,,,,,,,,,
367,215,15,60,"Das Korn war abgemäht, die Wälder niergehauen, die Dörfer abgebrannt.",,,,,,,,,,,,,,,,,,
367,215,15,61,"Nichts, wovon Ross und Mann sich ernähren konnte.",,,,,,,,,,,,,,,,,,
367,215,15,62,[... 24...],,,,,,,,,,,,,,,,,,
367,215,15,63,"Unsere Schweizer, waren bis hier glücklich gewesen, sie kamen nicht zum Schlagen.",,,,,,,,,,,,,,,,,,
367,215,15,64,"Nachdem wir ohne Fährde den Niemen, die Düna und die Drissa passiert hatten, kamen wir nach mehreren Gefechten am 27. Juli in Polzk an, zogen durch die Stadt, kampierten vier Tage auf der andern Seite derselben, dann ging’s wieder vorwärts gegen das prächtige Schloss Wolna; ",,,,,,,,,,,,,,,,,,
367,215,15,65,"Schiffbrücken mussten geschlagen werden,",,,,,,,,,,,,,,,,,,
367,215,15,66,"wir rückten bis 8 Stunden vor, bivouakierten, griffen an, wurden geschlagen, verloren viel Kavallerie, zogen in der Nacht ganz im stillen zurück nach Polozk, ",,,,,,,,,,,,,,,,,,
367,215,15,67,"wo wir am 15. August, dem Namenstage des Kaisers, eintrafen und das VI. Corps vorfanden.",,,,,,,,,,,,,,,,,,
367,215,15,68,Am 17. und 18. August kam es zu einer blutigen Schlacht zwischen den Russen und den bairischen Truppen unter General Wreda.,,,,,,,,,,,,,,,,,,
367,215,15,69,"Hernach hatten wir Ruhe, denn diese Schlacht half Napoleon viel zum Avancieren nach Moskau.",,,,,,,,,,,,,,,,,,
367,215,15,70,Nichts hinderte seinen Plan!,,,,,,,,,,,,,,,,,,
367,215,15,71,Unsere Leute kampierten alle vor der Stadt auf allen Seiten.,,,,,,,,,,,,,,,,,,
367,215,15,72,"Täglich verloren wir drei- bis vierhundert Personen, die krank zurückgeführt werden mussten.",,,,,,,,,,,,,,,,,,
367,215,15,73,[25] Alle Kirche wurden in Spitäler umgewandelt.,,,,,,,,,,,,,,,,,,
367,215,15,74,"Sechs Monate lang bekamen die Truppen keinen Sold, die Lebensmittel fehlten; 3 bis 4 Tagreisen bedurfte es, bis man nur eine Kartoffel fand.",,,,,,,,,,,,,,,,,,
367,215,15,75,"Man stelle sich diesen Jammer vor und zuletzt kam dann der russische Winter und die kranken Soldaten, die in den Spitälern lagen, wurden eine Beute von Hunger und Kälte und gingen elend zu Grunde.",,,,,,,,,,,,,,,,,,
367,215,15,76,"Polozk, die Stadt, die wir für das Ziel aller Leiden gehalten, nach der wir mit den besten Hoffnungen gezogen, sie war nur ein Zeuge mehr von den schweren Unfällen, die das II. Corps heimsuchten.",,,,,,,,,,,,,,,,,,
367,215,15,77,"Die Soldaten blieben ohne Quartier auf den Strassen, sie starben am Feuer, so sie angezündet hatten",,,,,,,,,,,,,,,,,,
367,215,15,78,"Kirchen, Hospitäler und andere öffentliche Gebäude reichten nicht hin, die Kranken zu fassen, welche zu Hunderten gebracht wurden.",,,,,,,,,,,,,,,,,,
367,215,15,79,"Da bemächtigte sich von jetzt an die Verzweiflung aller Herzen und jeder dachte nur daran, wie er sich persönlich retten könnte und vergass Ehre und Pflicht.",,,,,,,,,,,,,,,,,,
367,215,15,80,"Ungeachtet ich mich vor der grimmigen Kälte so gut als möglich zu schützen suchte, die Füsse einwickelte, die Hände in einen Muff steckte, den Kopf mit Kissen umhüllte, so konnte ich mich nur mit Müh‘ und Not vor den Folgen des schrecklichen Frostes bewahren. [26]",,,,,,,,,,,,,,,,,,
367,215,15,81,"In Polozk kam noch ein älterer Bruder von meinem Mann an, der im I. Regiment Unteroffizier war, krank und elend, entblösst von allem;",,,,,,,,,,,,,,,,,,
367,215,15,82,"wir behielten ihn einige Tage bei uns, aber Mangel an Platz nötigte uns, denselben nebst einem Freund von Peyer, Namens Singer, aus Luzern, in den Spital zu bringen.",,,,,,,,,,,,,,,,,,
367,215,15,83,"Nach einigen Tagen wollten wir beide besuchen, fanden aber niemand an der Stell, wo sie hingelegt wurden;",,,,,,,,,,,,,,,,,,
367,215,15,84,"sie waren gestorben und wie üblich und wie es täglich geschah, aug die Wagen geworfen und zusammen in die Gräber getan worden.",,,,,,,,,,,,,,,,,,
367,215,15,85,Ich und mein Mann waren glücklich im Verhältnis zu unsern Leuten.,,,,,,,,,,,,,,,,,,
367,215,15,86,Ich hatte mir in Polozk die Wohnung eines Juden ausfindig gemacht ,,,,,,,,,,,,,,,,,,
367,215,15,87,"und verkaufte Branntwein, buk Brot, das ich wieder verkaufte oder kaufte es im geheimen den Juden ab,",,,,,,,,,,,,,,,,,,
367,215,15,88,"denn da die Stadt erobert wurde und folglich auch geplündert, so waren keine Lebensmittel zu kaufen.",,,,,,,,,,,,,,,,,,
367,215,15,89,"Die Juden versteckten dieselbe in der Meinung, dass man ihnen alles ohne Bezahlung wegnehme.",,,,,,,,,,,,,,,,,,
367,215,15,90,"Ich ging in die Häuser der Juden, kaufte ihnen Brot, Butter und Branntwein ab und verkaufte die Nahrungsmittel den Offizieren in unseres Wohnung.",,,,,,,,,,,,,,,,,,
367,215,15,91,"Da die Juden sahen, dass ihnen alles bezahlt wurde, gingen die verschlossenen Läden wieder auf und in Zeit von 14 Tagen fand man zu kaufen, was man nötig hatte, ",,,,,,,,,,,,,,,,,,
367,215,15,92,"aber teuer genug, da anfänglich ein Commisbrot mit 5Fr. bezahlt wurde, [27] [Bild] [28] was man noch gerne bezahlte, wenn es nur zu bekommen war. Das Pfund Kaffee mit Zucker kostete 5 Thaler, die halbe Mass Milch 8 Batzen, ein Glässchen Branntwein 5 Batzen.",,,,,,,,,,,,,,,,,,
367,215,15,93,"In dieser Zeit machte ich eine Entdeckung, die mir später grossen Ruhm und Freude brachte:",,,,,,,,,,,,,,,,,,
367,215,15,94,"Ich sah nämlich öfters einen Juden um das grosse Magazin herumschleichen, das gerade unserer Wohnung gegenüber stand. ",,,,,,,,,,,,,,,,,,
367,215,15,95,"Ich passte ihm ab, da sah ich denn, wie er eine verstohlene Oeffnung lüftete und verschwand.",,,,,,,,,,,,,,,,,,
367,215,15,96,"Ich ging ihm nach und fand das Magazin mit Salz gefüllt; ich nahm davon, so viel ich in meiner Schürze tragen konnte, denn es herrschte grosser Salzmange im Lager und man musste sich mit Pulver behelfen;",,,,,,,,,,,,,,,,,,
367,215,15,97,ich schickte sofort Salz an unser Regiment.,,,,,,,,,,,,,,,,,,
367,215,15,98,Mein Mann fing an auf seiner Profession zu arbeite. (Er war Sattler.) ,,,,,,,,,,,,,,,,,,
367,215,15,99,Er bekam zuerst von den Gendarmen Arbeit.,,,,,,,,,,,,,,,,,,
367,215,15,100,"Ich gab meine Wirtschaft auf, da nichts dabei zu verdienen war und gab mein Geld hin zum Ankauf von Leder.",,,,,,,,,,,,,,,,,,
367,215,15,101,"Wir fanden noch einen gütigen Herrn, der uns Geld avancierte, und so war mein Mann im stand, mit drei Gesellen, dabei nur Schustergesellen, zu arbeiten.",,,,,,,,,,,,,,,,,,
367,215,15,102,"Er bekam Arbeit in Hülle und Fülle; er arbeitete für die Generäle, Obersten und Offiziere des ganzen Armeecorps.",,,,,,,,,,,,,,,,,,
367,215,15,103,"Ein Jude wurde ausfindig gemacht, der Sattlerleder hatte, er wurde bar bezahlt und so gab so gab er uns so viel man brauchte; ",,,,,,,,,,,,,,,,,,
367,215,15,104,"allein noch hatte man die liebe Not, Ringe und Schnallen, [29] nebst mehreren Eisenarten für die Arbeit zu bekommen.",,,,,,,,,,,,,,,,,,
367,215,15,105,"Endlich fingen die Musikanten, die grossen Hunger hatten, den toten Baiern an, ihre Habersäcke aufzusuchen, in den Spitälern fanden sie deren genug;",,,,,,,,,,,,,,,,,,
367,215,15,106,sie schnitten die Schnallen ab und brachten sie uns und wir bezahlten für jedes Stück einen halben Batzen,,,,,,,,,,,,,,,,,,
367,215,15,107,sie retteten sich so vor dem Hunger und uns war auch geholfen.,,,,,,,,,,,,,,,,,,
367,215,15,108,"Keine Nation litt so wie die Baiern, täglich starben bis 20 von ihnen; auf jeder Strasse, in jeder Scheune fand man tot Baiern.",,,,,,,,,,,,,,,,,,
367,215,15,109,"36,000 Mann hatten wir bei uns als wir nach Russland zogen und ich wette darauf, es sind keine tausend Mann davongekommen, sie fielen wie die „Muggen“!",,,,,,,,,,,,,,,,,,
367,215,15,110,"{Am 2. September schreibt Frau Peyer einen Brief nach Hause an ihre Schwester, dem ich [Bucher-Heller] folgendes entnehme:}",,,,,,,,,,,,,,,,,,
367,215,15,111,"Endlich finde ich wieder Gelegenheit, Dir [Anna-Marie] ein paar Zeilen zu schreiben.",,,,,,,,,,,,,,,,,,
367,215,15,112,"Jetzt sind es fünf Monate, dass wir immer ohne Ruhe auf dem Marsche sind; wohin wir noch kommen? Der liebe Gott weiss es!",,,,,,,,,,,,,,,,,,
367,215,15,113,"Wohl würden wir gerne nach Petersburg gehen, wenn uns die Russen nicht daran verhinderten.",,,,,,,,,,,,,,,,,,
367,215,15,114,"Hier sind wir seit 14 Tagen in einer noch ziemlich schönen, russischen Stadt, die aber ganz ausgeplündert ist, weil die Franzosen sie erobert haben.",,,,,,,,,,,,,,,,,,
367,215,15,115,"Es wundert mich, dass ich, Gott sei Dank, immer noch gesund war, da doch fast alle Leute in diesem schlechten Lande zu Grunde gehen. [30]",,,,,,,,,,,,,,,,,,
367,215,15,116,"Denn unser Regiment, das in Paris etwa 2300 Mann zählte, besteh noch aus 800 Mann.",,,,,,,,,,,,,,,,,,
367,215,15,117,"Aber es ist kein Wunder! Seit fünf Monaten immer kampieren in Wind und Regen, auf dem kalten blossen Boden schlafen. Die Soldaten bekommen seit drei Monaten nichts wie ½ Pfund Fleisch im Tag, ohne Mehl, ohne Brot. Bier kann man gar keines finden. Wasser haben wir aus Löchern trinken müssen, das ganz dick war und stank wie die Pest.",,,,,,,,,,,,,,,,,,
367,215,15,118,"Für ein Stück Brot, das hart und grau ist und nicht grösser wie ein „Herrenbrödli“, bezahlt man gern sechs Batzen, kurz, meine Schwester, es ist ein Elend!",,,,,,,,,,,,,,,,,,
367,215,15,119,"Brot habe ich gerne gegessen, das von gröberm Mehl, wie Krösch ist und schwarz dazu, wie ein Kamin! Die Erdäpfel hat man aus der Erde gegraben, da sie nicht grösser wie ein „Kriesi“ (Kirsche) waren und zu all dem noch zehn Stunden marschieren und auf der Erde schlafen.",,,,,,,,,,,,,,,,,,
367,215,15,120,"Ja, jetzt weiss ich was der Krieg ist!",,,,,,,,,,,,,,,,,,
367,215,15,121,"Am 22. Juli hat unser Armeecorps sich zum ersten Mal geschlagen, da war ich eine Stunde von der Schlacht entfernt. ",,,,,,,,,,,,,,,,,,
367,215,15,122,Am 1. August sodann gab es eine fürchterliche Schlacht!,,,,,,,,,,,,,,,,,,
367,215,15,123,"Da war ich so nahe, dass ich alles sehen konnte; es war ein erbärmlicher Anblick, wie die Toten da lagen und es war schrecklich, die grosse Menge der Blessierten zu hören, die auf weitem Felde schrien und klagten.",,,,,,,,,,,,,,,,,,
367,215,15,124,An diesem Tage haben die Franzosen den Russen 18 Kanonen abgenommen und 400 Mann zu Gefangenen gemacht.,,,,,,,,,,,,,,,,,,
367,215,15,125,"Seither haben sich die Baiern [31] noch einmal hier vor den Toren der Stadt geschlagen, ",,,,,,,,,,,,,,,,,,
367,215,15,126,wir waren aber schon 20 Stunden vorgerückt.,,,,,,,,,,,,,,,,,,
367,215,15,127,"Die Russen glaubten die Stadt zu bekommen, aber es wird nichts daraus geben.",,,,,,,,,,,,,,,,,,
367,215,15,128,"Zum Glück musste unser Regiment sich noch nicht schlagen, die Reihe ist noch nicht an die vier Schweizerregimenter gekommen.",,,,,,,,,,,,,,,,,,
367,215,15,129,"Unsere Musik ist ganz zerstreut, sie können keine Musik mehr machen; die halben sind krank im Spital.",,,,,,,,,,,,,,,,,,
367,215,15,130,Hauptmann Mohr ist gestorben.,,,,,,,,,,,,,,,,,,
367,215,15,131,"Der Singer ist auch krank, der jüngere ist desertiert und wird jetzt in Luzern sein,",,,,,,,,,,,,,,,,,,
367,215,15,132,der zur Gilgen ist auch fort, ,,,,,,,,,,,,,,,,,
367,215,15,133,"der Kommandant de Flue ist krank, kurz alles ist krank!",,,,,,,,,,,,,,,,,,
367,215,15,134,"Ich bin das ewige Hin- und Herreisen müde, und kann Dir melden, dass ich mager und schwarz geworden; in diesem Lande ist es keine Kunst, da ich fast alles zu Fuss gemacht.",,,,,,,,,,,,,,,,,,
367,215,15,135,Vom 15. August bis 17. Oktober waren wir in Polozk und glaubten auch den Winter hier verbleiben zu können.,,,,,,,,,,,,,,,,,,
367,215,15,136,Polozk ist die Hauptstadt des Herzogtums Lithauen.,,,,,,,,,,,,,,,,,,
367,215,15,137,"In ihr befinden sich zwei Schlösser, welche zu ihrer Verteidigung dienen.",,,,,,,,,,,,,,,,,,
367,215,15,138,Die Stadt liegt an der Düna und der Polota in einer wüsten und waldigen Landschaft.,,,,,,,,,,,,,,,,,,
367,215,15,139,"Am Hauptplatz liegt ein schönes Kloster, in diesem wohnten der Marschall St. Cyr und General Wreda.",,,,,,,,,,,,,,,,,,
367,215,15,140,"Allein unsere Hoffnung, den Winter hindurch in Polozk bleiben zu können, verschwand plötzlich, als am 17. Oktober die Russen unerwartet einen Angriff [32] auf uns machten.",,,,,,,,,,,,,,,,,,
367,215,15,141,Kleiner Gefechte gingen am 14. Oktober allerdings schon voran.,,,,,,,,,,,,,,,,,,
367,215,15,142,"Am 17. Oktober wurde Polozk von allen Seiten bedroht, um 3 Uhr nachmittags griff der russische General Wittgenstein die Stadt an und das Gefühl einer überlegenen Macht gab ihm den Entschluss, das II. un VI. Armeecorps von allen Seiten einzuschliessen.",,,,,,,,,,,,,,,,,,
367,215,15,143,"Die I. französische Division hatte die Avantgarde und das I. Bataillon des I. Schweizerregementes erhielt die Ordre, noch am nämlichen Abend vorzurücken unter dem Kommando ihres Kommandanten, Kapitän Gilly, von Luzern.",,,,,,,,,,,,,,,,,,
367,215,15,144,"Allein der brave Militär sass bloss eine Viertelstunde auf seinem Pferde, als eine Kugel seinem Leben ein Ende machte.",,,,,,,,,,,,,,,,,,
367,215,15,145,"Er war der erste Schweizer Offizier, der sein Leben in einem Treffen in Russland verlor.",,,,,,,,,,,,,,,,,,
367,215,15,146,Er wurde betrauert von ganzen Corps und allen die ihn kannten.,,,,,,,,,,,,,,,,,,
367,215,15,147,Die Nacht kam und machte dem Kampf ein Ende.,,,,,,,,,,,,,,,,,,
367,215,15,148,Am 18. bildete das erste und zweite Schweizerregiment die Avantgarde.,,,,,,,,,,,,,,,,,,
367,215,15,149,Früh begann der Donner der Kanonen auf der andern Seite der Stadt.,,,,,,,,,,,,,,,,,,
367,215,15,150,Unsere Truppen blieben bis drei Uhr nachmittags ruhig.,,,,,,,,,,,,,,,,,,
367,215,15,151,"Allein da strömte auf einmal die feindliche Kavallerie auf sie zu, als wenn sie vom Himmel gefallen wäre.",,,,,,,,,,,,,,,,,,
367,215,15,152,"Der General Merle rief: „Voilà la Cavalerie, Grénadiers Suisse faîtes voir que vous avez des moustaches!“ [33]",,,,,,,,,,,,,,,,,,
367,215,15,153,"Nun begann ein mörderisches Gefecht, so sagten es jene, die schon 4-5- Campagnen mitgemacht hatten ; ",,,,,,,,,,,,,,,,,,
367,215,15,154,unsere Leute hatten keine Kavallerie , die Russen drangen mehrmals in ihr Carré ein.,,,,,,,,,,,,,,,,,
367,215,15,155,"Die erste Kartätschenkugel, die geflogen kam, tötete 3 Grenadiere und verwundete 7.",,,,,,,,,,,,,,,,,,
367,215,15,156,"Bald avancierten die Unsrigen, bald wichen sie zurück.",,,,,,,,,,,,,,,,,,
367,215,15,157,"Der Grenadierhauptmann Müller von Frauenfeld nahm dem verwundeten Fähnrich die Fahne ab und wollte vorwärts; allein eine Kugel flog nach seinem Kopf, da nahm sein Lieutenant, Herr Money, im die Fahne ab, rief seinen Grenadieren und sagte: „Ihr seht das Feldzeichen, vorwärts, folgt ihm!“",,,,,,,,,,,,,,,,,,
367,215,15,158,"25 Mann avancierten mit ihm, alle verloren ihr Leben bis an 2.",,,,,,,,,,,,,,,,,,
367,215,15,159,"Die Russen drangen auf Money ein, der sich zu weit vorgewagt hatte. Er brach die Fahnenstange ab, steckte den Adler in seine Tasche und sprang ins Wasser nebst seinem Furrier August Borel und sie retteten so sich und die Fahne und brachten dem Resten unseres Regiments den Adler glücklich zurück.",,,,,,,,,,,,,,,,,,
367,215,15,160,Das Regiment war schon auf die andere Seite der Stadt zurück returier. ,,,,,,,,,,,,,,,,,,
367,215,15,161,"Der tapfere Money erhielt für die vielen Proben seiner Tapferkeit, die er abgelegt hier und bei andern Gelegenheiten, das Kreuz.",,,,,,,,,,,,,,,,,,
367,215,15,162,"Er zählte vierzehn Blessuren an seinem Leib, die aber nur leichter Natur waren. ",,,,,,,,,,,,,,,,,,
367,215,15,163,"Auch bei Borissow war er später so glücklich, ohne Verwundung davongekommen. [34]",,,,,,,,,,,,,,,,,,
367,215,15,164,Dem Obersten Castella wurde sein Pferd unter dem Leib weggeschossen, auch er erhielt eine leichte Wunde.,,,,,,,,,,,,,,,,,
367,215,15,165,"In Zeit von zwei Stunden hatten wir 22 blessierte und 10 tote Offiziere, und zwar unser Regiment allein; die Zahl der toten Soldaten weiss ich nicht genau.",,,,,,,,,,,,,,,,,,
367,215,15,166,Auch der brave Kommandant Dulliker von Luzern verlor an diesem Tag sein Leben.,,,,,,,,,,,,,,,,,,
367,215,15,167,"Am 19. Oktober, morgens 10 Uhr, wurde der Angriff von seiten der Russen erneuert.",,,,,,,,,,,,,,,,,,
367,215,15,168,Die Stadt fing auf allen Seiten an zu brennen ,,,,,,,,,,,,,,,,,,
