Author ID,Biblio ID,Transcript ID,Sequence,Text,Page,Line,Code
224,106,5,30,"„[...] schien ich [Emma] ihm [Georg] der geeignetste Emissair, und so reiste ich nach Mannheim ab.“ (21:37-38)",21,37-38,"Führer, leadership"
224,106,5,31,"„Aber wen schicken wir nun? [...] Mich, meine Herren[...]. Mich lässt man überall passieren.“ (29:11-17)",29,11-17,"Führer, leadership"
224,106,5,32,"„daβ er es seine Pflicht hielt, ihrem einstimmigen Wunsche nachzugeben“ (13:30)",13,30,Pflicht
224,106,5,33,"„Herwegh [...] keine Illusionen, er war sich der Verantwortlichkeit, welche er übernahm, sehr wohl bewuβt.“ (13:43; 14:1)",13,43ff,Pflicht
224,106,5,34,"„[...] und durfete die Liebe, die man ihm zollte, als ein freies Geschenk hinnehmen, das dem Geber eben so zur Ehre gereicht, als dem, der es empfing.“ (35:39-41)",35,39-41,Pflicht
224,106,5,35,"„[...] das Opfer, [...] indem er statt den eigenen Weg [...], sich dem Willen so Vieler anschloβ und theilweis unterordnete, kein geringes.“ (14:3-5)",14,3-5,Opfer
224,106,5,36,"„[...] auf den Barrikaden [...] gesehen, gefühlt was ein Volk vermag und zweifelten keinen Augenblick“ (13:10-13)",13,10-13,"Erlebnis, Gefühl, Erfahrung"
224,106,5,37,„Erfahrung einer Revolution“ (citing Herwegh 18:18) ,18,18,"Erlebnis, Gefühl, Erfahrung"
224,106,5,38,the revolution as „ein groβes Fest“ (22:34) „Freiheitsbaum“ (22:34),22,34,"Erlebnis, Gefühl, Erfahrung"
224,106,5,39,Revolution as an adventure (32),32,,"Erlebnis, Gefühl, Erfahrung"
224,106,5,40,"„äussere politische Verhältnisse [...] tägliche Nachrichten aus der Heimath,[...]“ (13:3-4)",13,3-4,"Umstände, Verhältnisse"
224,106,5,41,Hecker cannot call for Herwegh’s legion (32:36-40),32,36-40,"Umstände, Verhältnisse"
224,106,5,42,"„[...] die politisch soziale Reform auch im Vaterland möglichst schnell fördern zu helfen“ in the context of the news about German revoltuions in Vienna, Berlin and Baden (14:26-27)",14,26-27,"Dringlichkeit, Eile"
224,106,5,43,„ob mit ob ohne Zustimmung des Comités“ (14:33) „Wir wollen uns unser Recht mit erkämpfen helfen.“ (14:35-36),14,33ff,"Dringlichkeit, Eile"
224,106,5,44,„so schnell asl öglich“ (14:40),14,40,"Dringlichkeit, Eile"
224,106,5,45,"„Dies Avantgarde zurückzuhalten, ja nur so lange bis Herwegh ihr die nöthigen Feuilles de route beim gouvernement provisoire ausgewirkt, - stand in der Macht keines Einzigen.“ (14:43-15:2)",14,43ff,"Dringlichkeit, Eile"
224,106,5,46,"„[...] der jugendliche Theil natürlich besonders ungeduldig war,“ (16:4-5)",16,4-5,"Dringlichkeit, Eile"
224,106,5,47,"„Die Zeit drängt, und der Krieg ist vor der Thüre. [...] der deutschen Republik gegen den Russischen Absolutismus“ (citing Herwegh 18:18-22)",18,18-22,"Dringlichkeit, Eile"
224,106,5,48,"„aber während ihrer [erste Colonne] langen Reise hatte sich die Physiognomie von Deutschland ganz und auf eine Weise geändert, die wohl auβerhalb der Berechnung Aller, selbst der Scharfsichtigsten lag.“ (21:8-11)",21,8-11,"Dringlichkeit, Eile"
224,106,5,49,"effect: „Windstille“ (21:12) „[...] ,die ein augenblickliches Einschreiten in Deutschland unmöglich zu machen schienen“ (21:15-17)",21,12ff,"Dringlichkeit, Eile"
224,106,5,50,"„Alle brennen vor Ungeduld, die Grenze zu überschreiten und sich ihren Brüdern anzuschlieβen“ (23:8) „[..] daβ Herwegh die gröβste Mühe hat, sie von einem coup de main zurückzuhalten [...] jeder improvisirte und isolierte Streich ein Verrat an der Freiheit wäre.“ (23:11-15)",23,11-15,"Dringlichkeit, Eile"
224,106,5,51,"Ungeduld wir bewusst geschürt, von Feinden aus taktischen Überlegungen (26:35-36)",26,35-36,"Dringlichkeit, Eile"
224,106,5,52,"„Murren“ „Herwegh[...] sich nicht hatte irre machen lassen,“(27:40-43)",27,40-43,"Dringlichkeit, Eile"
224,106,5,53,"„H. v. L. [...] des Hochverrats und später noch des Landesverrats beschuldigt wurde, weil er mit der Landesverräterin Herwegh nach Kandern gefahren war.“ (30:9-11)",30,9-11,die Hochverräterin
224,106,5,54,"“die Sache in ihrem rechten Lichte hinzustellen [...] aber nur der vermag, der wie ich [...] dem ganzen Unternehmen  [...] mit Sympathie und thätiger Theilnahme gefolgt ist“ (III, 6-8)",III,6-8,audience
224,106,5,55,"She doesn’t write for ambition or as an entertainment, a “bas bleus” (IV, 7)",IV,7,audience
224,106,5,56,"She believes that “ein gutes, liebendes Geschickt” protects from the temptation to fall into the “litterarische Pest” (IV, 13-14)",IV,13-14,audience
224,106,5,57,"the Germans who love literature more than the “living [Lebendiges]” (IV, 20)",IV,20,audience
224,106,5,58,"the Germans stand usually behind (V, 22)",V,22,audience
224,106,5,59,Herweg as traitor „Verrat“ (53:21) and as „Feigheit“ (53:38) “weil er unbewaffnet war” (54:3) “Spritzleder” story (54:33ff.),53,21ff,guilt
224,106,5,60,"“die Feder [...] als [...] Waffe im interesse der Wahrheit” and in defense of her friend(s)... (IV, 15-18)",IV,15-18,"justification, defense"
224,106,5,61,„Der Leser mag enschuldigen“ that it was such extenisve (52:6),52,6,"justification, defense"
224,106,5,62,„Qui s’excuse s’accuse“ (55:13) and Herweg prefers the „absolute Schweigen” (55:17),55,17,"justification, defense"
224,106,5,63,"not having fulfilled his sacrifice completly by being  “weder getödtet, noch gefangen” (55:27) --> “lebendig begraben” (55:33) --> Gedichte eines Lebendigen",55,27ff,"justification, defense"
224,106,5,64,weil universal (V: 13) und aus dem „Volkes hervorgegange“ (V: 10),V,10ff,"redemption, meaning"
224,106,5,65,"[Venedy to Hergewgh: “komme ich Dir [...] den Vorschlag zu machen, [...] die deutschen Arbeiter von dem bewaffneten Einfall in Deutschland abzuhalten, und verheiβe dafür Allen, [...] Vergebung aller ihrer politischer Sünden.“ (25:9-16)",25,9-16,"redemption, meaning"
224,106,5,66,"„[...] es auch keine Macht giebt, ein Bekehrungswerk durchzusetzen, als die freiwillige Zustimmung jedes Einzelnen“ (25:36-37) this is valid insight the movement but counts apparently not for the German as a people.",25,36-37,"redemption, meaning"
224,106,5,67,„die alte morsche Welt“ (V: 1-2),V,1-2,"a new world, die neue Welt"
224,106,5,68,„Weltkampf“ (democracy vs. nationalism) (8: 34) and (9:27-28),8,34ff,"a new world, die neue Welt"
224,106,5,69,the true republicans “ächten Republicaner” (11:5),11,5,"a new world, die neue Welt"
224,106,5,70,“[...] mit denen und mit den Unsern läβt sich die Welt erobern.“ (29:42-43),29,42-43,"a new world, die neue Welt"
224,106,5,71,„wo die einzelnen Individuen immer mehr [...] in den Hintergrund treten [...]“ (8:26),8,26,collectivism
224,106,5,72,personal conflict of interest leads to social conflict (?) (10:40-42),10,40-42,collectivism
224,106,5,73,„Vereinigung [...] zur gemeinsamen That. In dieser Machtlosigkeit des Einzelnen zu Gunsten Aller [...]“ (25:40-42),25,40-42,collectivism
224,106,5,74,"temprary, pragmatic union for the higher goal of liberty „[...] und ein Fall eintreten könne, wo der Legion Nichts übrig bleibe – als sich aufzulösen.” (Citing Herwegh 28:7-10)",28,7-10,collectivism
224,106,5,75,„[...] an ein gemeinsames Wirken im Moment war nicht zu denken [...]“ (51:42-52:1),51,42ff,collectivism
224,106,5,76,„Vereint auf einem Schlachtfeld“ (6: 29-30),6,29-30,"covenant, religious-spiritual"
224,106,5,77,„glorreiche Revolution de weihe der That ertheilt“ (6: 35-36),6,35-36,"covenant, religious-spiritual"
224,106,5,78,religiosity of the Germans (10: 6-7) and too individualistic „jeder seine eigen Republik“ (10: 11),10,11,"covenant, religious-spiritual"
224,106,5,79,"die actraction to participate in a impossible mission (34-42): “”Die Republik will ihre Opfer” (15:39) “Wer nicht bereit ist, Alles auf die Karte zu setzen, [...] der bleibe getrost zu Hause,[...]“ (15:43-16:2)",15,39ff.,"covenant, religious-spiritual"
224,106,5,80,"„daβ ein [...] nicht einmal freiwilliger Aufenthalt in Frankreich hinreichend gewesen war, uns Allen das Heimatsrecht streitig zu machen.“ (16:23-26)",16,23-26,"covenant, religious-spiritual"
224,106,5,81,„Eure Freunde und Bundesgenossen“ (citing Herwegh 20:3),20,3,"covenant, religious-spiritual"
224,106,5,82,„Wahlfahrt zu Hecker“ (22:8),22,8,"covenant, religious-spiritual"
224,106,5,83,"„Haben zwölf Apostel die ganze Welt revolutionirt, was werden da nicht erst vierzig thun [...]“ (22:17-18)",22,17-18,"covenant, religious-spiritual"
224,106,5,84,„[venedey] der neue Heilige“ (25:7-8),25,7-8,"covenant, religious-spiritual"
224,106,5,85,„Höllenthal“ (29:12) is this a real location?,29,12,"covenant, religious-spiritual"
224,106,5,86,“Gang seiner geistigen Entwicklung “ (7:5-6),7,5-6,"evolutionary, historical school"
224,106,5,87,„Band aller Völker (V: 13)“,V,13,universale demokratie
224,106,5,88,„gemeinsamen Gruβ“ (V: 25),V,25,universale demokratie
224,106,5,89,„gemeinsame Manifestation“ (V: 34),V,34,universale demokratie
224,106,5,90,Herwegh the man with a „unbefleckten Namens“ (V: 5),V,5,universale demokratie
224,106,5,91,"prais to the universal (6:24) , popular „fight for rights (6: 32)",6,32,universale demokratie
224,106,5,92,"“Stimme des Volkes” (6: 28), “Allmacht des Volkes” (6:39) ",6,39,universale demokratie
224,106,5,93,"1st reason for universality Entitlment for the victory belongs to the people, all the people „weil alle Völker ihren lebendigen Theil daran gehabt” (8: 21-22)",8,21-22,universale demokratie
224,106,5,94,“Vive la républic universelle” (in the call of the people) (12:38),12,38,universale demokratie
224,106,5,95,“[...] was hier erobert [...]binnen Kurzem das Eigenthum aller Nationen werden müsse.” (13:13-15),13,13-15,universale demokratie
224,106,5,96,"„Daβ zu einer neuen Welt vor Allem neuer Stoff gehört, neue, breite Weltanschauungen, Urmenschen, [...] – daran denken die Wenigsten, geschweige daβ sie fähig oder Willens wären, sich selbst mit umzuschaffen – [...]“ (14:15-21)",14,15-21,universale demokratie
224,106,5,97,"„Wollt Ihr aber die Republik für ganz Deutschland, wo möglich für ganz Europa, und betrachte wie wir dies stets von Hecker vorausgesetzt die badische nur als einen Anfang derselben, mit welchem Recht zügert Ihr da [...]? (33:3-7)",33,3-7,universale demokratie
224,106,5,98,"„bis ganz Europa frei“ (55:43) „[...] der letzte Kerker geöffnet, die letzte Kette gesprengt“ (56:1)",55,43ff,universale demokratie
224,106,5,99,"„Wir glauben, daβ ohne vorhergegangenen Volkssturm die neue Zeit für Deutschland nicht herauf geführt werden wird, [...]“ (citing Herwegh 18: 3-5) {covenant}",18,3-5,"violence, order; covenant"
224,106,5,100,"„wir sind keine Freischaaren“ (citing Herwegh 19:7,21)",19,"7, 21","violence, order"
224,106,5,101,„Ordnung und Manneszucht“ (citing Herwegh 20:11-12),20,11-12,"violence, order"
224,106,5,102,„[...] nur die propagandistische Gewalt unserer Grundsätze“ (citing Herwegh 20:26-27),20,26-27,"violence, order"
224,106,5,103,"„[...] so bleibt uns keine Wahl, und wir müβen uns [...] auf revolutionairem Wege zu verschaffen suchen, was wir haben wollen, [...]. Das ist ohnehin immer das Sicherste.“ (23:34-37)",23,34-37,"violence, order"
224,106,5,104,"„Kindern von Paris“ (V, 1, 4)",V,"1, 4","people, Volk, participation"
224,106,5,105,"„ohne Führer“ and „verlassen“ (V, 5)",V,5,"people, Volk, participation"
224,106,5,106,"„[...] la république! aber eine solche, wie sie groβ und keusch aus den Händen des armen Volkes hervorgegangen, [...] (V, 9-10)“",V,9-10,"people, Volk, participation"
224,106,5,107,"Emma cites a “brichtigenden Artikel” written by Georg Herwegh and published in the Mannheimer Volkszeigung that resumes all the topics of universalism, unity, sacrifice and duty and concludes with “Wir kenne keine andere Macht auf Erden als das Volk selbst und den Willen des ganzen Volkes;[...]” (17:41-42) there is no reference to any other higher or transcendent power than the one of the abstract concept of liberty! {covenant}",17,41-42,"people, Volk, participation; covenant"
224,106,5,108,“Alles für das deutsche Voll[sic]! mit dem deutschen Volke! – gegen dessen Feinde und Unterdrücker.“ (20:41-42),20,41-42,"people, Volk, participation"
224,106,5,109,people includes not necessarily the farmers (22:35),22,35,"people, Volk, participation"
224,106,5,110,"“zwei schwarzwälder Bauern, die ebenfalls zu Hecker wollten” (31:12) some farmer apparently support the movement...",31,12,"people, Volk, participation"
224,106,5,111,"“Währen bei hemen [Freicorps vs. Corps Soldaten ] der Anführer nur so lange eine unbeschränkte exekutive Gewalt hat, als die Majorität in ihm ihre wirklichen Vertreter erkennt [...]“ (26:1-4)",26,1-4,"people, Volk, participation"
224,106,5,112,not all masses of people are the people „Rotten von Bürgern“ (31:27),31,27,"people, Volk, participation"
224,106,5,113,"“jede gute, freie Nature [...] ist im Stande, seine wahren Kinder von seinen Stiefkindern zu unterscheiden” (56:3-4)",56,3-4,"people, Volk, participation"
224,106,5,114,"„Diesem Deutschland [... das] weiβ, daβ es später oder früher siegen muss, [...]“ (56:1-2, 9-10){audience}",56,1ff,"people, Volk, participation; audience"
224,106,5,115,"Hecker wants to “Wenn meine Boten, [...] die guten Nachrichten bestätigen, die Sie mir mündlich und schriftlich von ihm gebracht, so werde ich Montag abmarschiren.“ (24:27-30)",24,27-30,role as women
224,106,5,116,„[M.] den der Eifer des  weiblichen Emissairs [...] amüsiert“ (32:15-20),32,15-20,role as women
224,106,5,117," „im Interesse der Wahrheit“ (III, 4)",III,4,"emancipation, liberty "
224,106,5,118,"„Freiheit“ is not a question of professionality or gender (III, 15) but of empathy, interest in others. ",III,15,"emancipation, liberty "
224,106,5,119,"a characteristic of those who “sich [...] zu Menschen emanzipirt haben” (III, 22; IV, 1-2) not emancipation of a social class or a gender!",III,22ff,"emancipation, liberty "
224,106,5,120,“des von deutschen Händen eroberten Deutschlands” (7:18-19),7,18-19,"emancipation, liberty "
224,106,5,121,„Volksbewegung [...] thätig beteiligen“ (13:6-7),13,6-7,"emancipation, liberty "
224,106,5,122,„Herwegh wollte [...] mit zu reden“ (13:27-26),13,27-26,"emancipation, liberty "
