Comm ID,bio_author_id,author_id,agent_id,id,MemberID,selection_class,Agent type1,Agent type2,type2description,img,gender,code,last_name,first_name,other_name,,born,formula1,birthday,birth_location,,died,formula1,deathday,death_location,workplace,knows,shortbio,link,data_evaluation,authority_organization,authority_record,CrossReference,Medien,Schulwesen,Kirche,Glaubenskommittee,Jurisprudenz,Finanz,Verwaltungsdienst,Berufliches Gewicht,Militärischer Rang,Militärisches Gewicht,Ausl. Dienste,Tagsatzungsgesander,Int. Beziehungen,Bundesrat,Nationalrat,Regierungsrat,Ständerat,Kantonsparlament,Bürgermeister,Stadthalter,Zürcher Stadtrat,Kleiner Rat,Grosser Rat,Constaffel,Landammann,Landvogt,Pol. Gewicht,GESAMT SOZ. EINFLUSS,friends,born,died,age 1839,education,wealth (poor 1-rich 5), religion,ethnicity,special,comments,,political party,personality,mood/emotions, intelligence,values/stereotypes, general attitude,experience,knowledge,communication,intervention,literature,,
1,11,11,11,11,AnMF1817,3,1,5,historiographer,,2,AnMF,Anneke,(Mathilde) Franziska,,,1817,-01-01 00:00:00,1817-01-01 00:00:00,,,1884,-01-01 00:00:00,1884-01-01 00:00:00,Milwaukee,Hiddinghausen,,"DE-USA – Catholic, Bürgerstochter – for the abolition of slavery and women’s rights – historiography Mutterland: Memoiren einer Frau aus dem badisch-pfälzischen Feldzuge (Anneke, 1982) – Politikverbot in Germany until 1908 (Gélieu, 2008)- Der politische Tendenz-Prozeß gegen Gottschalk, Anneke und Esser (Anneke, 1848) – first German women’s News Paper (Frauenzeitung), only 2 exemplary published (Henkel & Taubert, 1976)",,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,12,12,ArFM1694,2,1,5,historiographer,,1,ArFM,Arouet ,François Marie ,Voltaire,,1694,-01-01 00:00:00,1694-01-01 00:00:00,,,1778,-01-01 00:00:00,1778-01-01 00:00:00,France,France,,known as Voltaire Essai sur les mœurs(1756)  – French universal history - Essai sur les mœurs et l‘ésprit des nations – critical historiography,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,13,13,AsL1814,3,1,5,historiographer,,2,AsL,Aston,Louise,,,1814,-01-01 00:00:00,1814-01-01 00:00:00,,,1871,-01-01 00:00:00,1871-01-01 00:00:00,na,na,,"DE – “She served in the Freikorps in Schleswig during the war.” (Wikipedia) – a justification in the style of the Zurich men (Luise Aston, 1846) – historiography of the revolution (novel) (Luise Aston, 1849) – history in literary genre (Louise Aston, 1847, 1850)",,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,14,14,BaNF1740,2,1,2,contemporary,,1,BaNF,Bachmann,"Niklaus Franz, von",,,1740,-01-01 00:00:00,1740-01-01 00:00:00,,,1831,-01-01 00:00:00,1831-01-01 00:00:00,,,,"General, Eidgenössischer Oberbefehlshaber im Feldzug von 1815",,4,VIAF,10671131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,15,15,BaFU1689,4,1,4,biographer,,1,BaFU,Balthasar,"Franz Urs, von",,,1689,-01-01 00:00:00,1689-01-01 00:00:00,Luzern,,1763,-01-01 00:00:00,1763-01-01 00:00:00,,,,"Historiker (für Objektivität), für Bildung des Volkes,",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,16,16,BaS1751,3,1,5,historiographer,,2,BaS,Bandemer,"Susanne, von",,,1751,-01-01 00:00:00,1751-01-01 00:00:00,,,1828,-01-01 00:00:00,1828-01-01 00:00:00,na,na,,"(French) revolution as self-preservation in Schreiben einer Mutter über die Revolution in Frankreich (von Bademer, 1791, 1821) in (Vahsen, 2000) (p.49)",,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,17,17,BaeH1814,1,1,2,contemporary,,1,BaeH,Bär,Heinrich,,,1814,-01-01 00:00:00,1814-01-01 00:00:00,Weisslingen,,0,-01-01 00:00:00,,,,,hilft Eltern auf dem Heimwesen,,1,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,0,0,,25,,1,protestant,,Verwundet im Züriputsch,,,,,,,,,,,,,,,
1,18,18,18,18,BaC1812,2,1,2,contemporary,,1,BaC,Battaglini,Carlo,,,1812,-01-01 00:00:00,1812-01-01 00:00:00,,,0,-01-01 00:00:00,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,19,19,BaGJ1797,2,1,2,contemporary,,1,BaGJ,Baumgartner,Gallus Jakob,,,1797,-01-01 00:00:00,1797-01-01 00:00:00,Altstätten,,1869,-01-01 00:00:00,1869-01-01 00:00:00,St. Gallen,Altstätten,,Revolutionsführer in St. Gallen,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,20,20,BeH1783,2,1,2,contemporary,,2,BeH,Beauharnais,"Hortense, de",,,1783,-01-01 00:00:00,1783-01-01 00:00:00,"Aarburg, Thurgau",,1837,-01-01 00:00:00,1837-01-01 00:00:00,"Arenenberg, Thurgau, Switzerland","Paris, France",,"Politischer Flüchtling aus Frankreich in Aarburg, Schwägerin Napoleons",,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,21,21,BeMxxxx,3,1,5,historiographer,,1,BeM,Beck,Marcel,,,0,-01-01 00:00:00,,,,0,-01-01 00:00:00,,,,,"“Entlarvung der Gründungsgeschichte der schweizerischen Eidgenossenschaft als Mythos des 19. Jahrhunderts” (Brändli, 2004)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,22,22,BeL1851§,2,1,2,contemporary,,1,BeL,Begos,L.,,,0,-01-01 00:00:00,,,,0,-01-01 00:00:00,,,,,Lieutenant-Colonel Louis Begos ancien capitaine-adjudant-major au deuxième régiment suisse au service de France,,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,23,23,BeKAA1807,2,1,2,contemporary,,1,BeKAA,Benary,Karl Albert Agathon,,,1807,-01-01 00:00:00,1807-01-01 00:00:00,,,1861,-01-01 00:00:00,1861-01-01 00:00:00,,,,Professor Sprache,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,
1,24,24,24,24,BeDFA1755,3,1,5,historiographer,,2,BeDFA,Berlepsch,"Dorothea Friderika Aemilia, von",,,1755,-01-01 00:00:00,1755-01-01 00:00:00,,,1830,-01-01 00:00:00,1830-01-01 00:00:00,na,na,,"actually Dorothea Friderika Aemilia von Berlepsch (1755-1830) -  (1799) – the revolution of Switzerland not “ewigen Gesetzen treu” in (Epple, 2003) (p. 196) writes about „ ‚ganz auf natürliche[n] Grundsätze ruhende [...] Verfassung‘ der Schweizer Gesellschaft“ (Berlepsch, 1799; Berlepsch & Pan, 1799) in (Epple, 2003) (p. 196)  - „von einzelnen Machthabern verführtes Volk“ in (Vahsen, 2000)",,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,25,25,25,BeEE1768,3,1,5,historiographer,,2,BeEE,Bernhardi,Elisabeth Eleonore,Philogyn,,1768,-01-01 00:00:00,1768-01-01 00:00:00,,,1849,-01-01 00:00:00,1849-01-01 00:00:00,Freiberg,Freiberg,,,,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,26,26,26,Be833*,2,1,5,historiographer,,2,Be,Berta,,,,0,-01-01 00:00:00,,,,0,-01-01 00:00:00,,"Zürich, Switzerland","Zürich, Switzerland",,Princess Abbess of the Imperial Abbey of Fraumünster (Zürich),,4,VIAF,81099071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,27,27,27,BeA1753,2,1,3,historical,,1,BeA,Berthier,Louis Alexandre,,,1753,-01-01 00:00:00,1753-01-01 00:00:00,Neuchatel,,1815,-01-01 00:00:00,1815-01-01 00:00:00,Bamberg,Versailles,,Napoleons Marchall in Neuenburg von 1806-1814,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,28,28,28,BiAE1819,2,1,2,contemporary,,1,BiAE,Biedermann,Alois Emanuel,,,1819,-01-01 00:00:00,1819-01-01 00:00:00,,,1885,-01-01 00:00:00,1885-01-01 00:00:00,,,,Sohn des Stadtrat Winterthur (1931),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
1,29,29,29,29,BiE1779,2,1,3,historical,,1,BiE,Biedermann,Emanuel,,,1779,-01-01 00:00:00,1779-01-01 00:00:00,Winterthur,,1836,-01-01 00:00:00,1836-01-01 00:00:00,,,,Stadrat Winterthur (1931),,1,,,,,,,,,,,,Stadrat Winterthur (1931),,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,
1,30,30,30,30,BlHWxxxx,3,1,5,historiographer,,1,BlHW,Blanke,Horst Walter,,,0,-01-01 00:00:00,,,,0,-01-01 00:00:00,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,31,31,31,BlJ1799,1,1,2,contemporary,,1,BlJ,Bleuler,Jakob,,,1799,-01-01 00:00:00,1799-01-01 00:00:00,Zollikon,,1839,-01-01 00:00:00,1839-01-01 00:00:00,,,,Taglöhner in Zürich,,1,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,0,0,,40,,1,protestant,,Gefallen im Züriputsch,,,,,,,,,,,,,,,
1,32,32,32,32,BlS1829,2,1,2,contemporary,,1,BlS,Bleuler,Salomon,,,1829,-01-01 00:00:00,1829-01-01 00:00:00,,,1886,-01-01 00:00:00,1886-01-01 00:00:00,"Winterthur, Switzerland","Zürich, Switzerland",,,,4,VIAF,62765296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,33,33,33,BlWaH1869,2,1,2,contemporary,,2,BlWaH,Bleuler-Waser,Hedwig,,,1869,-01-01 00:00:00,1869-01-01 00:00:00,,,1940,-01-01 00:00:00,1940-01-01 00:00:00,Zollikon,Zürich,,,,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,34,34,34,BlMLB1886,4,1,4,biographer,,1,BlMLB,Bloch,Marc Léopold Benjamin,,,1886,-01-01 00:00:00,1886-01-01 00:00:00,,,1944,-01-01 00:00:00,1944-01-01 00:00:00,,,,Historiker der Annales school,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,35,35,35,BlBoR1880,2,1,3,historical,,2,BlBoR,Bloch-Bollarg,Rosa,,,1880,-01-01 00:00:00,1880-01-01 00:00:00,,,1922,-01-01 00:00:00,1922-01-01 00:00:00,Zürich,Zürich,,,,2,VIAF,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,36,36,36,BlR1807,2,1,1,sample,,1,BlR,Blum,Robert   ,,,1807,-01-01 00:00:00,1807-01-01 00:00:00,,,1848,-01-01 00:00:00,1848-01-01 00:00:00,"Vienna, Austria","Cologne, Germany",,"German democratic politician, publicist, pot, publisher, revolutionist and member of the National Aseembly of 1848.",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,37,37,37,BlHH1656,3,1,5,historiographer,,1,BlHH,Bluntschli,Hans Heinrich,,,1656,-01-01 00:00:00,1656-01-01 00:00:00,,,1722,-01-01 00:00:00,1722-01-01 00:00:00,,,,in «Memorabilia Tigurina» (1704)  extendes origin of Zurich to times of Abraham (2000 b. Chr.) 1200 years before Rome and founded (refounded) by prominent figures like Cesar and Charlmagne,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,38,38,38,BlJC1808,1,1,1,sample,,1,BlJC,Bluntschli,Johan Caspar ,,,1808,-01-01 00:00:00,1808-01-01 00:00:00,Zürich/Karlsruhe,,1881,-01-01 00:00:00,1881-01-01 00:00:00,Karlsruhe,"Zürich, Switzerland",,Dr. jur. Rechtswissenschaftler und Politiker,,4,VIAF,14836641,,,,,"Prof. Uni Zürich, München, Heidelberg, Gent",Präsident Deutscher Protestantenverein,,Präsident Deutscher 2. u. 8. Juristentag,Abgeordneter deut. Zollparlament 1868,,4,,0,,,0,,,,,,,,,,,"Zofingia, Freimaurer 1864 (Modestia cum Libertate, Alpina, Ruprecht)",,,1,5,"Friedrich Ludwig Keller, Savigny, Niebuhr, Leopold Ranke, Jakob Grimm und Ferdinand Meyer",31,"law, jurisprudence, history, philosophy, Berlin, Bonn, Paris, Zürich",4,protestant,,"verfasste 1832 Programm für liberal-conservative Partei, Bluntschlis Erklärung des Rechtscharakters des Völkerrechts unterschied sich von den meisten seiner Zeitgenossen, da er in Abkehr von Friedrich Carl von Savignys Theorien den Gegensatz «Naturrecht – positives Recht» zu überwinden suchte. Schöpfer des Zürcher Zivilgesetzbuches. Mitbegründer des ""Institut de droit international""",,,liberal-conservative,,,,,,,,,,,,
1,39,39,39,39,BoJJ1698,3,1,5,historiographer,,1,BoJJ,Bodmer,Johann Jakob,,,1698,-01-01 00:00:00,1698-01-01 00:00:00,"Critische Betrachtungen (1741) – CH –current critic of Bodmers „chronicle tradition“ Gustav Tobler. JJ Bodmer als Geschichtsschreiber in (Zimmer, 2003) (p. 45)",,1783,-01-01 00:00:00,1783-01-01 00:00:00,,,,"Sprachwissenschafter, gehörte zu den Patrioten",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,Fam. Aus dem Seidenhandel,,,,,,,,,,,,,,,
1,40,40,40,40,BoK1809,2,1,2,contemporary,,1,BoK,Bodmer,Karl,,,1809,-01-01 00:00:00,1809-01-01 00:00:00,,,1893,-01-01 00:00:00,1893-01-01 00:00:00,Paris,Zürich,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,41,41,41,Bo0000,2,1,6,undefined,,1,Bo,Bodrik,na,,,0,-01-01 00:00:00,,,,0,-01-01 00:00:00,,,,,Professor italienischer Literatur in Zürich,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,42,42,42,BoeL1858,4,1,4,biographer,,2,BoeL,Bögli,Lina,,,1858,-01-01 00:00:00,1858-01-01 00:00:00,,,1941,-01-01 00:00:00,1941-01-01 00:00:00,,,,Biographer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,43,43,43,BoC1809,1,1,2,contemporary,,1,BoC,Boller,Conrad,,,1809,-01-01 00:00:00,1809-01-01 00:00:00,Pfäffikon,,0,-01-01 00:00:00,,,,,hilft Vater auf Heimwesen,,1,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,0,0,,30,,1,protestant,,Verwundet im Züriputsch,,,,,,,,,,,,,,,
1,44,44,44,44,BoNF1811,2,1,2,contemporary,,1,BoNF,Bonaparte,Napoleon Franz,Napoleon Franz Bonaparte, König von Rom,,1811,-01-01 00:00:00,1811-01-01 00:00:00,,,1832,-01-01 00:00:00,1832-01-01 00:00:00,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,45,45,45,BoSJ1732,4,1,4,biographer,,2,BoSJ,Bondeli,(Suzanne) Julie,,,1732,-01-01 00:00:00,1732-01-01 00:00:00,,,1778,-01-01 00:00:00,1778-01-01 00:00:00,"Neuchâtel, Switzerland","Bern, Switzerland",,,,4,VIAF,67259373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,46,46,46,BoE1898,3,1,5,historiographer,,1,BoE,Bonjour,Edgar,,,1898,-01-01 00:00:00,1898-01-01 00:00:00,,,1991,-01-01 00:00:00,1991-01-01 00:00:00,,,,"definition and defens of the Swiss “Sonderposition”, Swiss neutrality, “minimizes the signification of the French revolution” – democratic values as already existing in the Confederation (Universität Basel, 2010) (Zur Herleitung des Monumentalwerkes der 1960er und 1970er Jahre aus den Anfängen von 1943 vgl. Georg Kreis: Die Geschichte des Bonjour-Berichts. Und ein Rückblick auf dreissig Jahre Geschichtsschreibung zur Schweiz im Zweiten Weltkrieg. In: NZ am Wochenende vom 5. Juni 1976.)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,47,47,47,BoKV1745,1,1,3,historical,,1,BoKV,Bonstetten,"Karl Viktor, von",,,1745,-01-01 00:00:00,1745-01-01 00:00:00,Bern/Genf,,1832,-01-01 00:00:00,1832-01-01 00:00:00,,,,Schriftsteller,,1,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,0,0,,not aplicable,,4,protestant,,,,,,,,,,,,,,,,,
1,48,48,48,48,BoF1791,2,1,2,contemporary,,1,BoF,Bopp,Franz,,,1791,-01-01 00:00:00,1791-01-01 00:00:00,,,1867,-01-01 00:00:00,1867-01-01 00:00:00,,,,Professor Sanskrit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,
1,49,49,49,49,Borel0000,2,1,6,undefined,,1,Borel,Borel,???,,,0,-01-01 00:00:00,,Neuchatel,,0,-01-01 00:00:00,,,,,"Pfarrer (Ministre) im Welschland, verheiratet mit einer Meuron",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,50,50,50,BoE1835,2,1,2,contemporary,,1,BoE,Borel,Eugène,,,1835,-01-01 00:00:00,1835-01-01 00:00:00,,,1892,-01-01 00:00:00,1892-01-01 00:00:00,Bern,Neuchatel,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,51,51,51,BoT1799,2,1,2,contemporary,,1,BoT,Bornhauser,Thomas,,,1799,-01-01 00:00:00,1799-01-01 00:00:00,Weinfelden,,1856,-01-01 00:00:00,1856-01-01 00:00:00,Müllheim,Weinfelden,,Revolutionsführer,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
