Author,Biblio,Transcript,Sequence,Text,invivo,chronology,people,places,comments,footing (IM),footing (IM),encounter (Goffman),PC,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,Scene No.
645,532,14,37,"auch den Behörden selbst Gefahr drohe, brachte uns bald und [-9-] ohne ",,,,,,,,,,,,,,,,,
645,532,14,38,"viele Worte zu machen, zu dem Schlusse, die Regierung dürfe diesem ",regierung; wort;,,,,,,,,,,,,,,,,
645,532,14,39,"erneuerten Treiben nicht stillschweigend zusehen; es sei evident, daß die ",,,,,,,,,,,,,,,,,
645,532,14,40,"ganze Tendenz derer, die an der Spitze stehen, eine politische und nichts ",,,,,,,,,,,,,,,,,
645,532,14,41,weniger als eine religiöse sei. ,,,,,,,,,,,,,,,,,
645,532,14,42,"Der Verfassung, den Freiheiten und Rechten des Volkes, das, leider, nicht ",volk;,,,,,,,,,,,,,,,,
645,532,14,43,"einsehe, was man mit ihm vorhabe, dem politischen Systeme überhaupt, das ",,,,,,,,,,,,,,,,,
645,532,14,44,wir dem Kantone Zürich errungen und das ihm eine Auszeichnung unter allen ,zürich;,,,zürich;,,,,,,,,,,,,,
645,532,14,45,"übrigen Ständen verschafft habe, insbesondere aber den Bürgern des ",bürger;,,,,,,,,,,,,,,,,
645,532,14,46,"Landes, denen Ruhe und Ordnung lieb wären und die sich auf's Neue nach ",ordnung; ruhe;,,,,,,,,,,,,,,,,
645,532,14,47,dem Schutze der Regierung gegen leidenschaftliche Verfolgung in dem Maße ,regierung;,,,,,,,,,,,,,,,,
645,532,14,48,"sehnten, daß sie sich mit Verachtung von der schwachen, ohnmächtigen zu ",,,,,,,,,,,,,,,,,
645,532,14,49,"wenden drohten, sei man schuldig, zur Wiederherstellung eines geregelten ",,,,,,,,,,,,,,,,,
645,532,14,50,Zustandes das Mögliche zu thun. Hierüber war nur Eine Stimme. ,,,,,,,,,,,,,,,,,
645,532,14,51,"Dies der unlautere Quell, aus welchem die nachherigen Schritte der ",,,,,,,,,,,,,,,,,
645,532,14,52,Regierung hervorgingen!,regierung;,,,,,,,,,,,,,,,,
645,532,14,53,"Eine andere Frage war es, ob alle Mitglieder derselben diese Ansicht ",mitglied;,,,,,,,,,,,,,,,,
645,532,14,54,"theilen, sie unterstützen würden. Man hoffte es; hoffte es um so mehr, da ",,,,,,,,,,,,,,,,,
645,532,14,55,"die Bestrebungen des Comité jedem einleuchten, diese heftige Opposition, ",comité;,,,,,,,,,,,,,,,,
645,532,14,56,die Lage und die Verlegenheiten einer so beaufsichteten und in ihrer ,,,,,,,,,,,,,,,,,
645,532,14,57,"Wirksamkeit gehemmten Regierung jedem, der fest an dem Bisherigen halten ",regierung;,,,,,,,,,,,,,,,,
645,532,14,58,"wollte, unerträglich sein mußten. Es schien nur darauf anzukommen , auf ",,,,,,,,,,,,,,,,,
645,532,14,59,welche Art die Regierung zu Ergreifung einer Maßregel veranlaßt würde. Da ,regierung;,,,,,,,,,,,,,,,,
645,532,14,60,"ward der Gedanke auf die Bahn gebracht, sowohl die nicht hier anwesenden ",,,,,,,,,,,,,,,,,
645,532,14,61,Mitglieder als auch das Publikum würden [-10—]sich schon der Form wegen ,mitglied;,,,,,,,,,,,,,,,,
645,532,14,62,"weniger daran stoßen, wenn vom Polizeirathe aus ein Antrag an den ",,,,,,,,,,,,,,,,,
645,532,14,63,Regierungsrath gelangte. ,regierungsrath;,,,,,,,,,,,,,,,,
645,532,14,64,"Ich verberge nicht, daß auch die Hoffnung dabei zum Grunde lag, wenn ",,,,,,,,,,,,,,,,,
645,532,14,65,dieses vom Polizeirathe aus und nicht von einzelnen radikalen Mitgliedern ,radikale; mitglied;,,,,,,,,,,,,,,,,
645,532,14,66,"der Regierung geschehen könnte, so wären weniger entschiedene Mitglieder, ",regierung; mitglied;,,,,,,,,,,,,,,,,
645,532,14,67,"wie die Herren Heß, Hegetschweiler, M. Sulzer dafür leichter zu gewinnen. ",,,sulzer; hegetschweiger;,,,,,,,,,,,,,,
645,532,14,68,"Herr Fierz übernahm es, die Sache bei Herrn Heß in Anregung zu bringen ",,,,,,,,,,,,,,,,,
645,532,14,69,"und auch Herr Dr. Keller versprach, mit demselben bei der ersten ",,,keller;,,,,,,,,,,,,,,
645,532,14,70,"Gelegenheit, da die Tagsatzung Sitzung halten würde , davon zu sprechen, ",,,,,,,,,,,,,,,,,
645,532,14,71,Fierz und Bürgi wollten Tags darauf auch M. Sulzer im Straßendepartement ,,,bürgi; sulzer;,,,,,,,,,,,,,,
645,532,14,72,davon präveniren. ,,,,,,,,,,,,,,,,,
645,532,14,73,"Es geschah also. Am 22. ließ Herr Heß mich ersuchen, eine Stunde vor ",,,,,,,,,,,,,,,,,
645,532,14,74,"Eröffnung der Tagsatzung zu ihm zu kommen. Er theilte mir mit, Herr Dr. ",,,,,,,,,,,,,,,,,
645,532,14,75,Keller habe so vernünftig und klar mit ihm über unsere gegenwärtige Lage ,,,keller;,,,,,,,,,,,,,,
645,532,14,76,"gesprochen, daß er nun ebenfalls finde, die Regierung müsse einschreiten. ",regierung;,,,,,,,,,,,,,,,,
645,532,14,77,"Er sei dazu auch fest entschlossen und werde das Seinige thun, damit die ",,,,,,,,,,,,,,,,,
645,532,14,78,"Umtriebe einmal aufhören; er hoffe, man werde den Zweck desto sicherer ",hoffen;,,,,,,,,,,,,,,,,
645,532,14,79,"erreichen, da bereits einzelne Mitglieder des Comité der Sache müde ",comité; mitglied;,,,,,,,,,,,,,,,,
645,532,14,80,"seien ,sich zurückzögen und bei dessen Bestrebungen nicht mehr die ",,,,,,,,,,,,,,,,,
645,532,14,81,früheren Motive vorwalteten. ,,,,,,,,,,,,,,,,,
645,532,14,82,Er überreichte mir nun das Schema zu einem regierungsräthlichen ,regierung;,,,,,,,,,,,,,,,,
645,532,14,83,"Publikandum und ersuchte mich, dasselbe während der Sitzung der ",,,,,,,,,,,,,,,,,
645,532,14,84,Tagsatzung mit Herrn Keller vollends zu redigiren.,,,keller;,,,,,,,,,,,,,,
645,532,14,85,Auf den 23. Morgens 7 Uhr ließ Herr Heß den Regierungsrath zu ,regierungsrath;,,,,,,,,,,,,,,,,
645,532,14,86,außerordentlicher Sitzung einberufen. ,,,,,,,,,,,,,,,,,
645,532,14,87,"[-11—]Anwesend waren die Herren Heß, Hegetschweiler, Meier v. Knonau, ",,,meier; hegetschweiger;,,,,,,,,,,,,,,
645,532,14,88,"Zehnder, Weiß, Keller, Huber, Escher, Bürgi, Krauer, Fierz, Schäppi und ",,,keller; bürgi;,,,,,,,,,,,,,,
645,532,14,89,"Hotz (abwesend die Herren Bürgermeister Hirzel, Ed. Sulzer, Hüni, C. ",bürger;,,hirzel M.; sulzer;,,,,,,,,,,,,,,
645,532,14,90,"Hirzel, Hauser und M. Sulzer, der von der Sache wußte). ",,,hirzel M.; sulzer;,,,,,,,,,,,,,,
645,532,14,91,"Herr Heß eröffnete kurz, daß ihm bei der sich erneuernden Thätigkeit des ",,,,,,,,,,,,,,,,,
645,532,14,92,"Central-Comité nothwendig scheine, auch von Seite der Regierung Schritte ",regierung; comité; noth;,,,,,,,,,,,,,,,,
645,532,14,93,"zu thun, indem jenes Treiben die Schranken der Gesetzlichkeit ",,,,,,,,,,,,,,,,,
645,532,14,94,"überschreite, immer frecher und arroganter werde und das Ansehen der ",,,,,,,,,,,,,,,,,
645,532,14,95,Behörden und ihre Wirksamkeit total untergrabe. ,,,,,,,,,,,,,,,,,
645,532,14,96,"Herr Weiß, sagte er, habe übrigens eine Motion angekündigt, worauf er mir ",,,,,,,,,,,,,,,,,
645,532,14,97,das Wort gab. ,wort;,,,,,,,,,,,,,,,,
645,532,14,98,"Ich setzte auf ernste Weise und in einer Stimmung, welche wenigstens ",,,,,,,,,,,,,,,,,
645,532,14,99,"keine bösen Absichten verrathen konnte, aus einander, was eben angedeutet ",,,,,,,,,,,,,,,,,
645,532,14,100,"worden war und suchte, nachdem ich versichert, die ruhigen Bürger des ",bürger;,,,,,,,,,,,,,,,,
645,532,14,101,"Landes erwarten sehnlichst, daß die Regierung einmal Friede schaffe, und ",regierung; friede;,,,,,,,,,,,,,,,,
645,532,14,102,"wenn sie nichts thue, stehe ihr bevor, auch von den Bessern verachtet zu ",,,,,,,,,,,,,,,,,
645,532,14,103,"werden, namentlich den Mißbrauch hervorzuheben, der vom Central-Comité ",comité;,,,,,,,,,,,,,,,,
645,532,14,104,"mit dem verfassungsmäßigen Organismus des Staates, mit Bezirken, ",,,,,,,,,,,,,,,,,
645,532,14,105,"Gemeinden und Gemeindebehörden getrieben werde und zwar in dem Maße, daß ",,,,,,,,,,,,,,,,,
645,532,14,106,"die Wünsche und Aufträge desselben mit allem Eifer, die der Regierung ",regierung;,,,,,,,,,,,,,,,,
645,532,14,107,"aber entweder gar nicht, oder nur nachlässig, mit Widerstreben und ",,,,,,,,,,,,,,,,,
645,532,14,108,Widerwillen vollzogen und denselben mancherlei Hindernisse in den Weg ,,,,,,,,,,,,,,,,,
645,532,14,109,gelegt werden. 3)[ ] ,,,,,,,,,,,,,,,,,
645,532,14,110,"Ich [-12—]glaubte, daß unter solchen Umständen und einem so unermüdlich ",,,,,,,,,,,,,,,,,
645,532,14,111,"thätigen Feinde gegenüber, dessen Wort Alles [-13—]galt, es Pflicht der ",feind; wort;,,,,,,,,,,,,,,,,
645,532,14,112,"Regierung sei, nochmals wenigstens den Versuch zumachen, die Zügel zu ",regierung;,,,,,,,,,,,,,,,,
645,532,14,113,"erfassen, und sich [-14-]einer Existenz, wo sie in allen ihren ",,,,,,,,,,,,,,,,,
645,532,14,114,"Verrichtugen gehemmt und kontrecarrirt würde, zu entwinden. ",,,,,,,,,,,,,,,,,
645,532,14,115,"Schließlich[-15—] empfahl ich die Eintracht, die allein uns zu retten ",,,,,,,,,,,,,,,,,
645,532,14,116,vermöchte. ,,,,,,,,,,,,,,,,,
645,532,14,117,"Alle Mitglieder hörten mir beifällig zu, was ich sprach, lag auch in ",mitglied;,,,,,,,,,,,,,,,,
645,532,14,118,ihrer aller Ueberzeugung. ,,,,,,,,,,,,,,,,,
645,532,14,119,"Nur Hegetschweiler schüttelte anfänglich den Kopf und bemerkte dann, ",,,hegetschweiger;,,,,,,,,,,,,,,
645,532,14,120,"der Zeitpunkt, von unserer Seite einzuschreiten, sei noch nicht da; bis ",,,,,,,,,,,,,,,,,
645,532,14,121,"jetzt sei vom Comité aus nichts Ungesetzliches geschehen, und wenn man ",comité;,,,,,,,,,,,,,,,,
645,532,14,122,"nicht reize, werde auch nichts geschehen. Solche Maßnahmen schaden mehr ",,,,,,,,,,,,,,,,,
645,532,14,123,als sie nützen; sie verdächtigen die Sache der Regierung und bringen das ,regierung;,,,,,,,,,,,,,,,,
645,532,14,124,"Volk in Harnisch. Ueberhaupt sei durch die Radikalen, von denen aus er ",volk; radikale;,,,,,,,,,,,,,,,,
645,532,14,125,"auch diesen Vorschlag kommen zu sehen glaube, und ihre Organe 4)[ ] ",glaube;,,,,,,,,,,,,,,,,
645,532,14,126,Vieles verdorben und auf die Spitze getrieben worden. Finde die Regierung ,regierung;,,,,,,,,,,,,,,,,
645,532,14,127,"sich stark genug, bei den Vereinen und Gemeinem zu imponiren und mit ",,,,,,,,,,,,,,,,,
645,532,14,128,"Erfolg gegen sie zu agiren, wohl, so möge sie es thun; dann aber müsse ",,,,,,,,,,,,,,,,,
645,532,14,129,"sie nicht bloß bei diesem Erlasse stehen bleiben, sondern weiter gehen, ",,,,,,,,,,,,,,,,,
645,532,14,130,"dem Comité befehlen, sich aufzulösen, und die Widerspenstigen bestrafen ",comité;,,,,,,,,,,,,,,,,
645,532,14,131,"lassen. Wäre man des Erfolges sicher, so würde auch er dabei sein, allein ",,,,,,,,,,,,,,,,,
645,532,14,132,er bezweifle dieses. 5)[ ] ,,,,,,,,,,,,,,,,,
645,532,14,133,"Während und nachdem Hegetschweiler [-16—]sich so geäußert hatte, gab ",,,hegetschweiger;,,,,,,,,,,,,,,
645,532,14,134,Bürgermeister Heß mehrere Zeichen des Unwillens und der Unzufriedenheit ,friede; bürger;,,,,,,,,,,,,,,,,
645,532,14,135,"von sich, widerlegte ihn dann mit kurzen und ziemlich bittern Worten und ",wort;,,,,,,,,,,,,,,,,
645,532,14,136,verlangte Entscheidung. ,,,,,,,,,,,,,,,,,
645,532,14,137,Noch äußerte auch Escher sich fast in gleichen Sinne wie Hegetschweiler. ,,,escher; hegetschweiger;,,,,,,,,,,,,,,
645,532,14,138,"Als dann aber die Hauptfrage zur Abstimmung kam, ob ein Dekret zu ",,,,,,,,,,,,,,,,,
645,532,14,139,"erlassen sei, war man einstimmig; dagegen wollten die beiden benannten ",,,,,,,,,,,,,,,,,
645,532,14,140,Mitglieder die „Betrachtung” nicht aufgenommen wissen. ,mitglied;,,,,,,,,,,,,,,,,
645,532,14,141,"Eben als die Hauptfrage zur Abstimmung vorlag, trat M. Sulzer (9 Uhr) ",,,sulzer;,,,,,,,,,,,,,,
645,532,14,142,"herein, erkundigte sich pro forma nach dem, was verhandelt worden, ",,,,,,,,,,,,,,,,,
645,532,14,143,"erklärte aber sogleich, er enthalte sich der Abstimmung. Der Entwurf ",,,,,,,,,,,,,,,,,
645,532,14,144,wurde genehmigt und unverzüglich versendet. 6)[ ] [-17—],,,,,,,,,,,,,,,,,
645,532,14,145,Die Nachricht von diesem Beschlusse verbreitete sich mit ungemeiner ,,,,,,,,,,,,,,,,,
645,532,14,146,Schnelligkeit in der Stadt. Schon um 11 Uhr ward derselbe auf einem ,,,,,,,,,,,,,,,,,
645,532,14,147,"Caffeehause als Verfassungsbruch erklärt und laut angekündigt, es werde ",,,,,,,,,,,,,,,,,
645,532,14,148,der Erlaß auf der Stelle mit einem Commentar vom Central-Comité ,comité;,,,,,,,,,,,,,,,,
645,532,14,149,abgedruckt und der Welt das [-18—]Vergehen bekannt gemacht werden. ,,,,,,,,,,,,,,,,,
645,532,14,150,Der Beobachter vom folgenden Tage betrachtete den Erlaß als ,,,,,,,,,,,,,,,,,
645,532,14,151,"Fehdehandschuh, den man aufnehmen werde. ",,,,,,,,,,,,,,,,,
645,532,14,152,"Von den Liberalen hingegen, selbst von gemüßigten Antistraußianern ward ",,,strauss;,,,,,,,,,,,,,,
645,532,14,153,derselbe freudig empfangen; man beglückwunschte die Regierung zu der von ,regierung;,,,,,,,,,,,,,,,,
645,532,14,154,ihr eingenommenen Stellung.,,,,,,,,,,,,,,,,,
645,532,14,155,Noch war der angekündigte Commentar nicht erschienen. Man erklärte sich ,,,,,,,,,,,,,,,,,
645,532,14,156,"das Ausbleiben desselben damit, die Bürkli'sche Offizin habe, Gefahr ",,,bürkli;,,,,,,,,,,,,,,
645,532,14,157,"dabei witternd,7)[ ] dessen Druck verweigert.",,,,,,,,,,,,,,,,,
645,532,14,158, — Sonntags den 25. Morgens rief mich Herr Heß zu sich und wies mir das ,,,,,,,,,,,,,,,,,
645,532,14,159,Angekündigte vor. 8)[ ] ,,,,,,,,,,,,,,,,,
645,532,14,160,"Er war ob der Anmaßung [-19-] empört, sprach jedoch von keiner ",,,,,,,,,,,,,,,,,
645,532,14,161,"bestimmten, dagegen zu ergreifenden Maßregel, billigte und mißbilligte ",,,,,,,,,,,,,,,,,
645,532,14,162,"auch nicht mein Vorhaben, den Staatsanwalt aufzusuchen, fand hingegen ",,,,,,,,,,,,,,,,,
645,532,14,163,"gut, daß ich mit Herrn Zehnder darüber spreche. ",,,,,,,,,,,,,,,,,
645,532,14,164,"Wie ich mich dahin begeben wollte, begegnete mir Herr Benz, der Substitut ",,,,,,,,,,,,,,,,,
645,532,14,165,"des Staatsanwaltes, der eben im Begriffe war, in der Druckerei von ",,,,,,,,,,,,,,,,,
645,532,14,166,Zürcher und Furrer das Pamphlet mit Beschlag zu belegen. ,,,,,,,,,,,,,,,,,
645,532,14,167,"Er fand eine Auflage von circa 5000 Exempl. vor, die er abfaßte und ",,,,,,,,,,,,,,,,,
645,532,14,168,"vernahm, daß 100 bis 120 Stücke an Herrn Aktuar Spöndli abgegeben worden ",,,,,,,,,,,,,,,,,
645,532,14,169,seien.,,,,,,,,,,,,,,,,,
645,532,14,170,Der Regierungs-Erlaß war unterdessen von den Statthalterämtern den ,regierung;,,,,,,,,,,,,,,,,
645,532,14,171,Gemeindebeamten zugesandt und [-20—]die Sendungen noch mit mehr oder ,,,,,,,,,,,,,,,,,
645,532,14,172,weniger genauen und verschärften Befehlen und Aufträgen begleitet worden. ,,,,,,,,,,,,,,,,,
645,532,14,173,"Die einen faßten die Sache von dem Gesichtspunkte auf, nicht nur ",,,,,,,,,,,,,,,,,
645,532,14,174,"Gemeindebehörden, sondern auch Gemeindeversammlungen, als ",,,,,,,,,,,,,,,,,
645,532,14,175,"verfassungsmäßige, organische Institute, dürfen nicht dazu gebraucht ",,,,,,,,,,,,,,,,,
645,532,14,176,"werden, Berathungen zu pflegen, die gegen verfassungsmäßige Behörden und ",,,,,,,,,,,,,,,,,
645,532,14,177,Beschlüsse gerichtet wären; ,,,,,,,,,,,,,,,,,
645,532,14,178,"es dürfe dieses allerdings geschehen, aber nur in und durch Vereine; ",,,,,,,,,,,,,,,,,
645,532,14,179,"jene Art enthalte eine Anomalie, diese liege in der Natur der Sache und ",,,,,,,,,,,,,,,,,
645,532,14,180,sei im Vereinsrecht begründet. ,,,,,,,,,,,,,,,,,
645,532,14,181,"Andere schärften blos ein, dem Befehle oder Verbot der Regierung genau ",regierung;,,,,,,,,,,,,,,,,
645,532,14,182,nachzukommen ,,,,,,,,,,,,,,,,,
645,532,14,183,und die Flauen behandelten auch diesen Gegenstand nach alter Gewohnheit. ,,,,,,,,,,,,,,,,,
645,532,14,184,9)[ ] ,,,,,,,,,,,,,,,,,
645,532,14,185,"Mit derselben Verschiedenheit, wie der Regierungs-Erlaß von den ",regierung;,,,,,,,,,,,,,,,,
645,532,14,186,"Statthaltern aufgenommen und behandelt wurde, fanden er und die ",,,,,,,,,,,,,,,,,
645,532,14,187,statthalteramtlichen Aufträge auch Aufnahme bei den Gemeindsbeamtungen. ,,,,,,,,,,,,,,,,,
645,532,14,188,"In ruhigen Gegenden und Gemeinden, wo des Gährungsstoffes von Anfang an ",,,,,,,,,,,,,,,,,
645,532,14,189,"weniger gewesen, war der Erfolg der gewünschte: die ",,,,,,,,,,,,,,,,,
645,532,14,190,Gemeindsvorsteherschaften freuten sich der Erscheinung und ohne die ,,,,,,,,,,,,,,,,,
645,532,14,191,"Einflüsse von außen wäre dort die Ruhe, die Ordnung vollkommen wieder ",ordnung; ruhe;,,,,,,,,,,,,,,,,
645,532,14,192,hergestellt gewesen. ,,,,,,,,,,,,,,,,,
645,532,14,193,"Anderwärts hingegen, wo überhaupt mehr Neigung zu Widerspruch und ",,,,,,,,,,,,,,,,,
645,532,14,194,Opposition [-21—]vorwaltete und wo der Zündstoff und die Zündmänner ,,,,,,,,,,,,,,,,,
645,532,14,195,"hausiger waren, erholte man sich bald von dem ersten Stoß und sah in der ",,,,,,,,,,,,,,,,,
645,532,14,196,"Verordnung der Regierung nur zu gern einen Mißgriff, ein Ueberschreiten ",regierung; ordnung;,,,,,,,,,,,,,,,,
645,532,14,197,"der Befugniß, eine Verletzung und Beschränkung der bürgerlichen und der ",bürger;,,,,,,,,,,,,,,,,
645,532,14,198,"Redefreiheit. Mehrere Vorsteherschaften, in deren Mitte oder Nähe sich ",,,,,,,,,,,,,,,,,
645,532,14,199,"einflußreiche Oppositions-Männer befanden, ermangelten daher nicht, sich ",,,,,,,,,,,,,,,,,
645,532,14,200,"theils fragend, wie es gemeint sei, theils trotzend gegen ",,,,,,,,,,,,,,,,,
645,532,14,201,Regierungsbeschlüsse an die Regierung selbst zu wenden. So der Stadtrath ,regierung;,,,,,,,,,,,,,,,,
645,532,14,202,"von Zürich, der in dem, was früher geschehen war, nichts Ungesetzliches ",zürich;,,,zürich;,,,,,,,,,,,,,
645,532,14,203,"erblicken wollte, der der Gemeindsversammlung auch das Recht vindicirte, ",,,,,,,,,,,,,,,,,
645,532,14,204,"beliebige Gegenstände, ob sie von einzelnen Bürgern oder von Vereinen ",bürger;,,,,,,,,,,,,,,,,
645,532,14,205,"derselben vorgelegt würden, zu berathen und sich vorbehielt, auch künftig ",,,,,,,,,,,,,,,,,
645,532,14,206,zu handeln wie bis jetzt. ,,,,,,,,,,,,,,,,,
645,532,14,207,"Milder drückten sich die Gemeindräthe und Stillstände von Richterschweil, ",,,,,,,,,,,,,,,,,
645,532,14,208,"Wädenschweil und Küßnacht aus, die bloß voraussetzten, die Regierung habe ",regierung;,,,,,,,,,,,,,,,,
645,532,14,209,es in ihrem Sinne gemeint und sich auf diesen Fall hin für mit derselben ,,,,,,,,,,,,,,,,,
645,532,14,210,einverstanden erklärten. ,,,,,,,,,,,,,,,,,
645,532,14,211,"Erlenbach trotzte auf sein Recht, ",,,,,,,,,,,,,,,,,
645,532,14,212,"Pfäffikon und Illnau widersprachen des Bestimmtesten, daß je Aufträge vom ",,,,pfäffikon;,,,,,,,,,,,,,
645,532,14,213,Comité an Vorsteher gelangt oder in Folge von Aufträgen Gemeinds-,comité;,,,,,,,,,,,,,,,,
645,532,14,214,Versammlungen abgehalten worden seien ,,,,,,,,,,,,,,,,,
645,532,14,215,"und Kyburg, (Stillstand und Gemeinderath) endete mit dem Satze: selbst ",,,,kyburg;,,,,,,,,,,,,,
645,532,14,216,"der Regierung seien sie nur dann Gehorsam schuldig, wenn ihre Befehle mit ",regierung;,,,,,,,,,,,,,,,,
645,532,14,217,der Verfassung und ihrer Ueberzeugung übereinstimmen. — Diese Zuschriften ,,,,,,,,,,,,,,,,,
645,532,14,218,wurden am 31. August im Regierungsrathe mitgetheilt und ich werde darauf ,regierungsrath;,,,,,,,,,,,,,,,,
645,532,14,219,zurückkommen.,,,,,,,,,,,,,,,,,
645,532,14,220,"[-22—]Man vernahm inzwischen, daß das Central-Comité mit Mitgliedern aus ",comité; mitglied;,,,,,,,,,,,,,,,,
645,532,14,221,"den Bezirks-Comités, die am zahlreichsten aus den Bezirken Pfäffikon und ",comité;,,,pfäffikon;,,,,,,,,,,,,,
645,532,14,222,"Hinweil erschienen, sich in Kloten versammelt und daß sie eine größere ",,,,,,,,,,,,,,,,,
645,532,14,223,Versammlung aller Bezirks- und Gemeinds-Comités und „wer sonst noch Platz ,comité;,,,,,,,,,,,,,,,,
645,532,14,224,in der Kirche hätte” beschlossen hatten. ,kirche;,,,,,,,,,,,,,,,,
645,532,14,225,"Die Aufforderungen, am 2. recht zahlreich in Kloten zu erscheinen, gingen ",,,,,,,,,,,,,,,,,
645,532,14,226,schnell und vielfach durch's Land; ,land;,,,,,,,,,,,,,,,,
645,532,14,227,"viele Pfarrer luden auch ihrerseits dazu als zu einem Tage ein, dem an ",pfarrer;,,,,,,,,,,,,,,,,
645,532,14,228,Resultaten der Tag von Uster nicht gleichkommen werde.,,,,uster;,,,,,,,,,,,,,
645,532,14,229," — Es war mir bekannt, daß Eduard Sulzer, der von Baden zurückgekommen, ",,,sulzer;,,,,,,,,,,,,,,
645,532,14,230,auf den Erlaß vom 23. nicht gut zu sprechen war. ,,,,,,,,,,,,,,,,,
645,532,14,231,"Ich bedauerte dieses, allein befremden konnte es mich nicht, da er ",fremde;,,,,,,,,,,,,,,,,
