Author,Biblio,Transcript,Sequence,Text
532,278,11,27,"  Unter diesem Volke und auf diesem Berge wuchs ich auf. Ich machte die üblichen Spiele mit, welche in Laufen, Springen, Schlittenfahren u.s.w. bestunden, worin ich mich ruhmvoll hervorthat. "
532,278,11,28,"Zu Hause hatte ich Freude am Blumenmachen (der Herr Pfarrer lieferte in gar viele Kirchen Blumen), am Verfertigen von Krippen u. dgl., womit die Wintertage verkürzt und angenehm zugebracht wurden. "
532,278,11,29,"An Sonn- und Festtagen und an den langen Winterabenden wurde mit eingeladenen Nachbarn, mit welchen der Pfarrer im freundlichsten Verhältnisse stand, gespielt — und zwar meistens „Tarok"" oder „Kaisern."""
532,278,11,30,"Das letzte Spiel, welches sehr lebhaft und mit vielem Scharfsinne gespielt wurde, beginnt mehr und mehr zu verschwinden — damals war es ein ächtes Nationalspiel. "
532,278,11,31,"Wie ich im Freien beim Rennen und Springen ein wilder Bube war, so war ich im Gegensatze zu Hause ein sehr weicher. Nur eine ernste Miene meines Erziehers lockte meine Thränen hervor. "
532,278,11,32,"Die Erziehung des Pfarrers war übrigens sehr mild, er hatte mich gar zu lieb; ein einzig Mal erinnere ich mich, in der Schule von ihm ein paar Ruthenstreiche auf die Finger bekommen zu haben, sonst lief es immer mit Worten oder etwa mit Niederknieen und etwas Beten ab. "
532,278,11,33,"Im Ganzen war ich aber auch folgsam, ohne Hartnäckigkeit oder Widerspruch. Ein einzig Mal hätte ich dem Herrn Pfarrer Abbitte leisten sollen; es wurde mir als Bedingung, zur ersten heiligen Communion zugelassen zu werden, gesetzt; drei Tage lang konnte ich, wie ich glaube, vorzüglich aus Scheue, mich nicht dazu verstehen; am dritten Tage wurde durch die Köchin Agatha Gisler, welche mich wie eine Mutter besorgte und liebte, die Sache dahin vermittelt, daß ich die Abbitte schriftlich leisten konnte. Hernach war Alles wieder gut. "
532,278,11,34,Ich empfing im eilften Altersjahre die erste heilige Communion und wurde in die Rosenkranzbruderschaft aufgenommen.
532,278,11,35,"[4] Der Herr Pfarrer verehrte mir zum Andenken einen Rosenkranz von Silberdraht, den ich jetzt noch besitze. Alle Monate, später alle vierzehn Tage, empfing ich die heiligen Sakramente. "
532,278,11,36,"Der Herr Pfarrer war stets mein Beichtvater. Täglich mußte ich die heilige Messe anhören und an Sonn- und Festtagen dem vor- und nachmittägigen Gottesdienste beiwohnen. Alle Abende wurde laut der Rosenkranz mit vielen Zuthaten, zur Sommerszeit im Freien, gebetet. In der Kirche leistete ich mehrfach Chor- und Altardienst. "
532,278,11,37,"Fast alle Tage las ich nach dem Essen das Leben der Heiligen vor. Die Beispiele derselben eiferten mich oft zu außerordentlichen Uebungen an, welche ich aber bald wieder aufgab. Weder in noch außer dem Hause sah ich böse Beispiele oder Aergernisse. "
532,278,11,38,"Der Herr Pfarrer, obwohl von sehr hitzigem Temperamente, lebhaft und witzig, vergaß nicht seine Würde als Seelsorger. So darf ich sagen, daß meine Erziehung eine religiöse und meine Aufführung eine sittliche war."
532,278,11,39,"Zu meiner geistigen Ausbildung hatte ich die Gemeindeschule, welche ein jeweiliger Pfarrhelfer mit mehr oder weniger Geschick halten mußte. Lesen, Schreiben und Rechnen waren die Unterrichtsgegenstände. Im Rechnen brachte ich es, wie meine Mitschüler, nicht über die Division hinaus, war überhaupt nie ein Mathematiker, "
532,278,11,40,obwohl ich jetzt zwei Söhne als Ingenieurs habe. 
532,278,11,41,"Zu Hause war Abraham à Sta. Clara, Odilo Schröger (studiosus Jovialis), Doungs Nachtgedanken, Loders Auslegung der gesammten Bibel und zuletzt Langs Kirchengeschichte der Schweiz meine Lesung. Aus der letztern machte ich Auszüge, die ich noch besitze. "
532,278,11,42,"Erst im letzten Jahre meines Aufenthaltes auf Seelisberg begann ich ernstlich die Erlernung der lateinischen Sprache, nachdem ich sie früher einmal unter Pfarrhelfer Muheims Leitung begonnen, aber gleich wieder aufgegeben hatte. Da übersetzte ich alle Pensen der Einsiedler Grammatik, der Pfarrer corrigirte am Abende, so gut es gehen wollte, meine Uebersetzungen. Dadurch gewann ich mir eine Menge von Lateinworten und Redensarten. Tag und Nacht studirte ich theils im Freien, theils im Zimmer. "
532,278,11,43,"Zwei Jahre nach einander hatte ich im Monat März heftige Lungenentzündungen — einmal kam ich nahe an den Rand des Grabes — ausgehalten, welche mich sehr abgeschwächt hatten und mir das Studium ungemein erschwerten. Die Folgen davon gehen bis in mein jetziges Alter fort. "
532,278,11,44,"So mußte der Herr Pfarrer mich eher zurückhalten, als zum Studium anspornen. "
532,278,11,45,"Joseph Maria Regli war ein sehr eifriger Seelsorger. Ungeachtet seines hohen Alters ging er an Monatssonntagen und an hohen Festen schon Morgens 4 Uhr in den Beichtstuhl und gar nicht selten aus dem Beichtstuhl auf die Kanzel, um die Predigt zu halten und nach der Predigt das Hochamt zu feiern; Nachmittags hielt er alle Sonntage um ein Uhr Kinder- und Christenlehre. "
532,278,11,46,"Seine Vorträge waren einfach, doch schrieb er alle [5] Predigten; er bediente sich des Predigtmerkes des Paters Hunolt und zu den Christenlehren benützte er den Gossine. "
532,278,11,47,Gegen herrschende Mißbräuche und sittliche Gebrechen gerieth er in seinen Vorträgen in einen wahren Feuereifer. Er donnerte von der Kanzel herab oder bei Christenlehren vor dem Pulte stehend. 
532,278,11,48,"Am hitzigsten sprach er sich gegen die Vorsteher aus, wenn sie Mißbräuche entweder förderten oder hinnahmen, ohne zu thun, was ihres Amtes war. Er berief sie dann in das Pfarrhaus, gab ihnen derbe Verweise und schlug oft vor ihnen auf den Tisch, daß er erschütterte. "
532,278,11,49,"Er hatte unter Andern einen ränkevollen und störrischen Kopf in der Gemeinde, welcher ihm vielen Aerger und Verdruß verursachte. "
532,278,11,50,"Als der Pfarrer einmal durch mich das angekleidete Muttergottesbild in der Kapelle Maria Sonnenberg herabnehmen ließ, um das Kunstgemälde der Krönung Mariens nicht mehr durch jenes Bild verderben und ruiniren zu lassen, klagte jener Intriguant den Pfarrer bei den gnädigen Herren und Oberen in Uri an, er habe die Mutter Gottes gestohlen. "
532,278,11,51,"Es gab einen solchen Lärmen in der Gemeinde, daß der Pfarrer für gut fand, das Bild wieder an seinen Ort zu stellen, so daß auf einem und demselben Altar oben das alte Gnadenbild, unten das angekleidete Marienbild und hinter diesem und von ihm verdeckt ein ausgezeichnetes Kunstbild, Maria Krönung, standen. Erst der dritte Nachfolger meines Pfarrers wagte es, das angekleidete Bild wegzuschaffen und der Kunst also ihr Recht zu sichern."
532,278,11,52,"  Nicht nur als Beichtvater, Prediger und Wächter der Sittlichkeit und Ordnung in der Gemeinde war der Pfarrer Regli eifrig, sondern auch als Tröster der Leidenden und Kranken. Bei Tage und bei Nacht eilte er auf jeden Ruf und auch aus freiem Antriebe zu den Kranken. "
532,278,11,53,"Er ahnte oft zum Voraus, durch ein Geräusch, welches sich in jenem Schranke kund gab, worin er das Benediktionale, die Stola und das Chorhemd hatte, dazu veranlaßt, daß er in der Nacht fort zu einem Kranken gehen müßte. Nicht selten sagte er es uns zum Voraus und rüstete Alles auf diesen Gang vor. Er hatte eine ganze Menge von Hausmitteln, welche er bei vielen Anlässen mit gutem Erfolge anwendete. Das war für die Kranken ein Trost, da man damals den nächsten Arzt über den See in einer Entfernung von zwei Stunden, nämlich in Schwyz, berichten oder holen mußte. "
532,278,11,54,"Im Jahre 1817, wo das Nervenfieber grassirte, theilte er den Genesenden manche Flasche Wein, und zwar den ärmern unentgeldlich aus und beförderte dadurch ihre Wiederherstellung."
532,278,11,55,"  Eine edle Gastfreundschaft war ein hervorstechender Zug in dem Leben des Herrn Pfarrers. Wer bei ihm einkehrte, war gut empfangen und bewirthet. "
532,278,11,56,"Seine Küche war weit umher berühmt. Von Luzern, von Uri, von Tchwnz und Unterwalden, auch von Zürich kamen Einzelne und ganze [6] Gesellschaften, um der freien Luft und der vielfach herrlichen Aussichten zu genießen und ihre Eßlust an dem Tische des gastfreundlichen, heitern Pfarrers zu stillen. "
532,278,11,57,"Alljährlich veranstalteten der Herr Zeugherr Jauch und Herr Landammann Karl Beßler von Wattingen aus Altdorf Jagdparthieen auf den Seelisberg und hielten sich einige Tage beim Herrn Pfarrer auf, wo sie Wohnung, Tafel und freundliche Behandlung fanden. "
532,278,11,58,"Solchen Gästen, Gesellschaften und Jagdparthieen wurde dann gebührende Rechnung gestellt. "
532,278,11,59,"Hingegen wurde gegen Priester und Weltliche, welche etwa wegen Geschäften oder sonst einen Besuch beim Herrn Pfarrer machten, offene und freie Tafel gehalten. Es kam eine Menge solcher Gäste, zumal an den Kirchweihen. "
532,278,11,60,"Mehrere Jahre nach einander machten, von Herrn Professor, nachmals Chorherrn Karl Gisler von Luzern, Bruder der Haushälterin des Pfarrers, geleitet, die Herren Professoren Joseph Anton Salzmann, nachmals Bischof von Basel, und Wiedmer, Höckerli-Wiedmer genannt, ein Männchen voll jovialen Witzes und Geistes, eine Luftänderung auf dem Berge. "
532,278,11,61,"Bei solchen Anlässen war ich thätiger und emsiger Gehilfe; mir war der Keller anvertraut, welches Amt ich mit ziemlicher Gewissenhaftigkeit verwaltete, obwohl ich den Italiener nicht verschmähte; ich hatte auch die Tafel zurecht zu machen. "
532,278,11,62,"Aber meine Scheue war so groß, daß ich mit Niemanden reden durfte und mich, sowie die Gäste eintraten, zu entfernen suchte. Nur in Gesellschaft von Priestern fand ich mich heimelig. Herr Professor Salzmann nahm mich ganz ein, weil er mich auf Spaziergängen mitführte, mir allerlei erzählte und Räthsel zu lösen aufgab. "
532,278,11,63,"Die Väter Capuziner waren dem Herrn Pfarrer von den liebsten Gästen. Wenn er nach Altdorf oder Schwyz ging, wohin ich fast jedes Mal mitgenommen wurde, nahm er seine Einkehr in den Capuzinerklöstern und war da immer sehr gut aufgehoben. "
532,278,11,64,"Mir waren die zwei Patres Gandenz und Constantin meine Augäpfel, sie waren einander so gleich, daß sie oft verwechselt, der Eine für den Andern angesehen wurden. Auch Pater Zingg, Baarfüßer von Luzern, ein trefflicher Prediger, besuchte den Herrn Pfarrer oft. "
532,278,11,65,"Mochte kommen, wer da wollte, er fand in dem Pfarrhofe auf Seelisberg freundliche Bewirthung."
532,278,11,66,"  Der Herr Pfarrer war auch ein Vater der Armen. Die Gemeinde Seelisberg zeichnete sich damals sowohl durch Sittlichkeit (in zehn Jahren gab es kein uneheliches Kind, keine gezwungene Ehe), als auch durch Wohlstand aus. In der ganzen Gemeinde war nur eine einzige arme Familie. Diese hatte von den Jahrzeitstiftungen hinlängliches Brod, welches jeweilen nach dem Gottesdienste von dem Sigrist, unter dem Rosenkranzgebete der Armen, ausgetheilt wurde. "
532,278,11,67,"Der Seelisberg war aber der Zufluchtsort aller Armen und zumal Heimathlosen aus der Umgegend. Es wurde da keine [7] Polizei geübt und die Seelisberger beherbergten die fremden Armen Tage und Wochen lang. Es kamen Tag für Tag wohl zwanzig bis dreißig Bettler vor den Pfarrhof. Mir war das Geschäft des Almosenspendens übertragen. Der Pfarrer verwendete alles Opfer, welches die Seelisberger auf den Altar legten, und das nicht unbeträchtlich war, zu Almosen; er legte aber noch Vieles darauf."
532,278,11,68,"  In politischer Beziehung war der Herr Pfarrer ein Verehrer des Herkommens, des Alten. "
532,278,11,69,"Er wurde darum zur Zeit der helvetischen Revolution von den Franzosenfreunden, welche mit den Anhängern der Helvetia Eins waren, verfolgt. "
532,278,11,70,"Er erzählte oft, wie der damalige Districtsstatthalter Anton Müller und der Agent Fürsprech Regli in der Nacht eine Abtheilung Truppen nach Seelisberg gesendet habe, um ihn und den Herrn Fürsprech Huser festzunehmen und fortzuführen. "
532,278,11,71,"Er habe der Truppe, welche unter dem Commando von Ambras Z'graggen stand, zu essen und zu trinken geben lassen und habe mittlerweile die Pfarrbücher und andere Schriften versorgt. Dann habe man ihn nach Brunnen geführt, wo Pfarrer Betschart aus dem Muotathal, nebst den Gleichgesinnten von Uri und Schwyz, sich befanden und die Offiziere mit blanken Säbeln sie bewachten. "
532,278,11,72,"In Luzern habe man dann die Urner, Schwyzer und Unterwaldner auf drei Wagen gepackt und sei unter Militärbegleitung mit ihnen davongefahren. "
532,278,11,73,"Vom Basler Thor herab haben die Stadthuren von Luzern ihnen nachgeschrieen: „An den Galgen mit ihnen!"" Sie aber haben auf ihren Karren den Rosenkranz gebetet. "
532,278,11,74,"Anders sei die Begrüßung in dem protestantischen Basel gewesen. Als sie durch die Stadt gefahren, waren alle Fenster gedrängt voll Zuschauer, die Töchter von Basel wischten mit ihren weißen Nastüchern die Thränen von den Augen. Die Gefangenen erhielten alltägliche Besuche, man brachte ihnen Speise, Trank, Wäsche, linderte ihre Lage auf jede christliche Weise. "
532,278,11,75,"Herr Pfarrer Regli schloß da mit dem Herrn Antistes Falkeisen eine Freundschaft, welche bis zum Tode dauerte. Auf jedes Neujahr sandte ihm der Herr Antistes ein Kistchen, mit Zucker, Kaffee und Basler Leckerchen gefüllt, und der Herr Pfarrer erwiederte das Geschenk mit Schneehühnern und anderm Gewild. Die gegenseitigen Briefe athmeten die reinste Freundschaft. "
532,278,11,76,"Sehr oft kam eine originelle Frau, Namens Dorothea, von Emmetten herüber, welche ebenfalls wegen anti-helvetischer Gesinnung in Gefangenschaft war gesetzt worden. Diese dichtete und melodirte Gesänge auf die Revolutionszustände, welche voll grobkörnigen Salzes waren. "
532,278,11,77,Wie der Herr Pfarrer waren auch die Seelisberger gesinnt und darum bei den damaligen Helvetiafreunden in Uri nicht gut angeschrieben. 
532,278,11,78,"Als es sich nach der Auflösung der Mediationsverfassung um den Abschluß eines neuen Bundesvertrages handelte, war Herr Pfarrer Regli ganz entschieden gegen den [8] sogenannten „Züribund"", wie man den Bundesvertrag vom 7. Augstmonat 1815 nannte. Er stand in freundschaftlichen Beziehungen mit den Unzufriedenen in Schwyz und Unterwalden, und auch mit denjenigen in Uri, ohne jedoch eine hervorragende Rolle zu spielen. "
532,278,11,79,"Ich erinnere mich noch, daß er an dem Bundesvertrag vorzüglich zwei Bestimmungen rügte, nämlich die Centralisirung des Militärwesens und die Steuerpflicht der Klöster an den Staat. In der erstern Bestimmung erblickte er den Tod der Freiheit, in der Steuerpflicht der Klöster an zumal paritätische und protestantische Stände eine Ungerechtigkeit, durch welche das Eigenthum der Klöster ihrem Stiftungszwecke entwendet werde."
532,278,11,80,"Er war so eifrig in seinem Widerwillen gegen den „Züribund"", daß er zwei Zuger Herren, welche vor der über die Annahme des neuen Bundesvertrags abzuhaltenden Landsgemeinde von Uri zu ihm gekommen und ihn zu bereden gesucht hatten, von seinem Widerstande abzulassen, mit donnernder Stimme entgegnete: „Die Herren in Uri, welche den Züribund anrathen und dafür stimmen, sind Spitzbuben und Vaterlandsverräther."" "
532,278,11,81,"Die Zuger Herren müssen dieses nach Altdorf überbracht haben, denn es war im Rathe die Rede davon, den Pfarrer darüber zur Verantwortung zu ziehen, was jedoch Herr Landammann und Pannerherr Karl Beßler von Wattingen verhinderte. "
532,278,11,82,"Als nun der Tag der Entscheidung durch die Landsgemeinde in Altdorf gekommen war, fuhren sehr viele Seelisberger an dieselbe, und unter ihnen auch der Sigrist. "
532,278,11,83,"Nachmittags mußte ich öfter auf eine Stelle, von welcher man sowohl auf den See, als auf die Straße sehen konnte, um zu erspähen, wie der Entscheid möchte ausgefallen sein. Der Erste, welcher zurückkehrte, war der Sigrist; ich fragte ihn behend, wie es gegangen sei. "
532,278,11,84,"„Ja, wie ist's gangen?"" antwortete er; „Alles der Schissä na hinterä ist's gangen."" Die Landsgemeinde hatte nämlich mit Hilfe der Ursener und Silener den Bundesvertrag angenommen. Die Regierung schickte dann eine Compagnie Truppen unter dem Commando von Hauptmann Anton Müller, dem Neffen des gewesenen helvetischen Districtsstatthalters, auf Seelisberg, um die Gränze gegen Unterwalden zu verwachen, wie die Seelisberger aber dafür hielten, um sie wegen ihrer ausgesprochenen Abneigung gegen den „Züribund"" zu züchtigen. Nach weniger Zeit zog die Compagnie wieder ab."
532,278,11,85,"  Unter diesen Verhältnissen und unter dieser Leitung brachte ich meine Jugend zu bis zum 18. Weinmonat 1818, also bis in mein achtzehntes Jahr. An diesem Tage schied ich wehmüthig und weinend von dem schönen Seelisberg, von dem guten Völkchen und von meinem innig geliebten Pfarrer, meinem Erzieher und zweiten Vater. Auch er war beim Abschiede von seinem Constantin gerührt. Den Pfarrhof hatte ich gleichsam für mein Haus gehalten, und es thut mir heute noch wehe, daß ich in demselben[9] nicht mehr daheim bin, wenn ich den Seelisberg besteige; ja es ist dieser Umstand die Ursache, daß ich seltener nach Seelisberg gehe."
532,278,11,86,"  In dem Pfarrhofe zu Seelisberg hatte ich den Herrn Johann Joseph Visier von Spiringen, welcher damals Professor in Altdorf war, kennen gelernt. Er war zur Wiederherstellung seiner sehr geschwächten Gesundheit mehrere Wochen da. Täglich machte ich mit ihm Spaziergänge auf das sogenannte Thor, wo man einer herrlichen Aussicht nach Schwyz genießt, zu dem Kreuze, von wo man auf das Rütli, die Wiege der Schweizerfreiheit, auf die Tellenplatte und in das Reußthal mit seinen himmelhohen Bergcoulissen schaut; zu der Kapelle im Walde, jetzt Sonnenberg geheißen, wo eine von der Frömmigkeit der Seelisberger gestiftete, mit ein paar ausgezeichneten Kunstgemälden gezierte Kapelle die Wanderer zur stillen Andacht einladet."
532,278,11,87,"Wenn Herr Gisler besser aufgelegt und durch die Kur gestärkter war, so dehnten wir unfern Spaziergang durch den Tannenwald bis nach dem Stammsitze der Edeln von Beroldingen aus, von welchen noch zwei Stämme in Würtemberg und im Kanton Tessin sind, während in Uri der Stamm von Beroldingen erloschen ist. "
532,278,11,88,"Seltener besuchten wir den See, von welchem die Gemeinde den Namen hat, nicht aus Furcht vor dem Ungeheuer, welches die überspannte Phantasie der Neuzeit in denselben gezaubert hat, sondern mehr aus Scheu vor der Hitze. Sehr oft spazierten wir auch in die Frachiggüter, wo eine wohlthuende Aussicht auf die ehemalige Republik Gersau, in das freundliche Unterwaldner Ländchen, auf Weggis und den Luzernersee und auf den ernst-düstern Pilatus lohnte, und wo eine vortreffliche Quelle — das beste Wasser des Seelisberges — labte. "
532,278,11,89,"Zu diesem Herrn Professor Gisler kam ich nun in Wohnung und Kost in Altdorf, um meine Studien fortzusetzen. Von meinem Privatstudium auf Seelisberg kam ich gleich in die Syntar, welche man jetzt die dritte Klasse nennen würde. "
532,278,11,90,"In Herrn Sebastian Schrankenmüller von Augsburg, aus dem aufgehobenen Orden der Gesellschaft Jesu, hatte ich einen ausgezeichneten Professor und Gewissensrath. "
532,278,11,91,"Unter seiner Leitung machte ich bedeutende Fortschritte in Kenntniß und Fertigkeit der lateinischen Sprache. Und doch war es einzig Cornelius Nepos, den wir unter den Prosaikern Roms übersetzen mußten. Den mußten wir aber ganz durchnehmen, übersetzen, erklären, auswendig lernen und nachahmen. Auch mußten die Schüler meistens lateinisch sprechen. Als Poet übersetzten wir Ovidius' Elegieen und brachten es selbst im Versemachen zu einiger Fertigkeit. "
532,278,11,92,"Ich behaupte, daß wir es im Latein mit allen Schülern der heutigen Gymnasien aufgenommen hätten; ja ich habe in Luzern theologische Probeübungen im Latein gesehen, welche mit unsern Uebungen nicht Stich gehalten hätten. "
532,278,11,93,"Dabei vernachlässigten wir auch die sogenannten Nebenfächer nicht, mathematische Geographie, [10] allgemeine Geschichte, Mathematik. "
532,278,11,94,"Sehr gründlich wurden wir in der Religionslehre unterrichtet, Herr Schrankenmüller diktirte uns dieselbe in lateinischer Sprache, ich besitze sie heute noch. Er leitete seine Schüler praktisch zur Religionsübung an: war Freund und Vater der Schüler. "
532,278,11,95,"Meine Mitschüler waren Karl Leonhard Müller, schon damals ein Muster inniger Frömmigkeit; Franz Müller, beide traute Freunde von mir, jetzt meine Schwäger; Karl Emanuel Müller, ein mathematisches Talent; Joseph Maria Epp, nachmals Pfarrer von Attinghausen, und Thaddäus Walker aus dem Isenthal, ein Armer, aber reich an Talenten; er starb in Altinghausen als Pfarrhelfer, wo auch Pfarrer Epp, welcher wegen Krankheit resignirt hatte, begraben liegt. "
532,278,11,96,"Alle diese waren unverdorbene, sittliche, religiöse und fleißige Jünglinge, mit welchen ich in bester Harmonie lebte. "
532,278,11,97,"Auch mein Kostherr, Professor Gisler, ein durchdringend scharfer Verstand und unbezwinglicher Wille, ein heiterer Gesellschafter und würdevoller Priester, liebte mich und suchte meine Ehre zu fördern. "
532,278,11,98,"Da ich in fünf Fächern den ersten Preis errungen halte, drang er darauf, daß nur nebst den üblichen Wucherpreisen eine silberne Medaille mit dem Bilde Wilhelm Tells einerseits und dem unentbehrlichen Uristier anderseits am schwarz-gelben Bande auf dem Theater umgehängt wurde. "
532,278,11,99,Denn Herr Professor Schrankenmüller ließ seine Studenten jedes Jahr ein Theaterstück aufführen. 
532,278,11,100,"Mein verehrungswürdiger Pfarrer von Seelisberg wohnte der Feierlichkeit bei, hielt sich ungewöhnlich lange, drei Tage, in Altdorf auf. Ein paar Monate darauf ergriff ihn eine Krankheit, an welcher er am 30. Weinmonat 1819 im Herrn entschlief. Auf dem Krankenbette noch, an welchem ich ihm beistand, empfahl er mir vorzugsweise Aufrichtigkeit und Redlichkeit. Er tröstete sich, daß er ohne Schulden von der Welt abscheide. Die Erben bekamen jedenfalls ein reichliches Inventar. Er war 35 Jahre Seelsorger der Gemeinde gewesen. "
