Author,Biblio,Transcript,Sequence,text,invivo,chronology,people,places,comment,footing (IM),encounter (Goffman),PC,StoryPoint,Character Building,MC Choices,Plot Choices,Theme Choices,Illustrating,Theme Development,scene_no
234,540,7,21,"Die Folgen sind leicht zu denken: Weil sich jene dem Sohne aus einer vornehmen Familie, so wenig Vornehmes er selbst an sich hatte, willig fügten, so regte dieses in ihm ein gewisses launisches Wesen aufmit der Sucht, in seinem Kreise unbedingt zu herrschen, und einen starren weder durch Wissenschaft noch Erziehung gemilderten Egoismus. [3] ",,,,,,,,,,,,,,,,4
234,540,7,22,"Mag auch das indische Wort „Kastenvermengung ist die Quelle alles Unheils“, so unbedingt richtig es dort war, wo das ganze Volksleben darauf sich stützte, bei unsern Verhältnissen gewisse Beschränkungen erleiden; ",,,,,,,,,,,,,,,,4
234,540,7,23,"immerhin bleibt wahr, dass Heiraten aus verschiedenen Ständen die grösste Gefahr mit sich führen zu Entartung der höheren Raçe. Jene reiche Handwerkstochter also, bei deren Vater der meinige lernte, wurde natürlich bald seine Frau. ",,,Johannes Hirzel (1776);,,,,,,,,,,,,,4
234,540,7,24,"Mein Grossvater mütterlicherseits starb bald, und der junge Ehemann kam in den unbeschränkten Besitz eines ordentlichen Vermögens und eines grossen Verdienstes. ",Vermögen;,,Johannes Hirzel (1749); Johannes Hirzel (1776);,,,,,,,,,,,,,4
234,540,7,25,"Hier zeigen sich, leider muss ich es aussprechen, die einzig guten Seiten meines Vaters. Vor allem soll mein Vater, wie ich von verschiedenen Seiten, mehr als tausendmal aber von ihm selbst gehört habe, in seiner Jugend sehr arbeitsam und in seinem Berufe, wie wir sagen, anstellig gewesen sein. Letzteres bemerkte ich selber auch häufig, desto weniger aber von ersterem, so lang ich mich besinnen kann. Wichtiger noch als dieses und bei seiner Launenhaftigkeit, bei Welcher er im gewöhnlichen Leben ein gegebenes Wort jeden Augenblick zurücknahm, um so merkwürdiger und achtungswerter ist die unbedingte Treue seines Wortes in Geschäftssachen und seine unerschütterliche Rechtschaffenheit. ",Launenhaftigkeit;,,Johannes Hirzel (1776);,,,burying;,,,,,,,,,,4
234,540,7,26,Absichtlich hat er gewiss in seinem ganzen Leben nicht einen Menschenangeführt. ,,,,,,blaring;,,,,,,,,,,4
234,540,7,27,"Endlich noch eine grosse Sparsamkeit, die freilich häufig, namentlich wo es die Interessen anderer betraf, an Geiz grenzte. ",,,,,stingy;,burying; blaring;,,,,,,,,,,4
234,540,7,28,"Dagegen hatte mein Vater, so ordentlich und genau er war im Kleinen und Einzelnen, doch nicht die geringste Übersicht über sein Geschäft. Bis zur heutigen Stunde war bei ihm niemals die Rede von einem Haushaltungsbuch mit Jahresabschluss; ja selbst die Bücher, in welche man die gebrachte Ware einschrieb, wurden grösstenteils, wenigstens so lange ich [244]",,,Johannes Hirzel (1776);,,,,,,,,,,,,,4
234,540,7,29," mich besinnen mag, von den Dienstboten geführt. ",,,,,,,,,,,,,,,,4
234,540,7,30,"Mit einem Worte: ich bin überzeugt, hätte mein Vater Ordnung in seinem Geschäfte gehabt, so wäre sein Vermögen wenigstens um die Hälfte grösser. ",Vermögen;,,Johannes Hirzel (1776);,,,blaring;,,,,,,,,,,4
234,540,7,31,"Dann wurde er trotz seiner Sparsamkeit bei dem schnellen Gedeihen seines Geschäftes in jenen für den Stadtbürger so bequemen Zeiten doch zu unordentlichem Leben in jeder Beziehung hingerissen.Selten kam er, so lang ich Weiss, nachts vor 12 - 1 Uhr nach Hause und immer berauscht, entweder kindisch kichernd oder schrecklich fluchend, je nachdem er im Spiel, und zwar in sehr hohem, glücklich oder unglücklich gewesen. [4] ",Fluch der Sünde;,,,,Erbsünde;,blaring;,,,,,,,,,,4
234,540,7,32,"Was aber für uns das Unangenehmste war, sein zunehmender Reichtum machte ihn übermütig und zu einem wirklich unausstehlichen Haustyrannen gegen Frau und Kinder, während er sich alles gefallen liess von Dienstboten, durch welche er hoffte, Geld zu verdienen.Überhaupt war und ist Geld sein erster, Geld sein letzter Gedanke, ist Geld sein Gott. Das mein Vater. ",Geld; ,,Johannes Hirzel (1776);,,,blaring;,,,,,,,,,,4
234,540,7,33,"Meine Mutter[5] hat von Vater schöne Anlagen z. B. zu Musik, schriftlichen Aufsätzen und überhaupt beinahe zu allem empfangen, was ein Weib wissen und verstehen darf. Auch besitzt sie eine angeborene seltene Herzensgüte und eine Art von Redegabe, dabei aber einen grossen Leichtsinn und beinahe totalen Mangel an eigener Willenskraft. ",Leichtsinn; Schönheit;,,Margaretha Bürkli; Johannes Hirzel (1776);,,,,,,,,,,,,,5
234,540,7,34,"Ihre Erziehung war die verschrobene französische im letzten Viertel des vorigen Jahrhunderts, ",,,,,,,,,,,,,,,,5
234,540,7,35,"welche Verschrobenheit noch um so schlimmer werden musste, als die vornehme Erziehung, welche der reiche Vater ihr geben liess, in grellem Widerspruch stand zu den gemeinen Sitten des Hauses, und als jener die allgemein als schön und reich fetierte Tochter vergötterte und im höchsten Grade verzärtelte. ",Schönheit;,,Johannes Hirzel (1776);,,,blaring; excuse of the characteristics he shares with his mother,,,,,,,,,,5
234,540,7,36,"Dennoch würde meine Mutter, wenn sie einen gebildeten und verständigen Gatten bekommen hätte, gewiss eine gute, ja ausgezeichnete Frau geworden sein. ",,,Margaretha Bürkli,,,other-enhancement,,,,,,,,,,5
234,540,7,37,"Jetzt aber, da der Mann es nicht eigentlich darauf anlegte, alle von ihr erworbene Bildung, weil sie nichts eintrage als unnützes Zeug, zu ersticken und z. B. wie ein Heide fluchte und tobte, wenn er die Frau einmal beim Klavier oder einem Buche antraf, da ferner das Beispiel seines unglaublich gemeinen und pöbelhaften Benehmens ihr stündlich vor Augen war und da endlich der Mann, ",Fluch der Sünde;,,,,he reflects his own partnership and lack of love in his parents; ,,,,,,,,,,,5
234,540,7,38,"Welcher, wie man zu sagen pflegt, sein Glück einzig durch sie gemacht, ",,,,,"a good businessman or only ""sein Glück durch sie gemacht?""",burying; bosting the mother;,,,,,,,,,,5
234,540,7,39,"sie nicht nur wie eine Magd sondern in der Tat wie eine Sklavin behandelte und tagtäglich mit den scheusslichsten Schimpfnamen, ja tätlich misshandelte, mit einem Worte völlig tyrannisierte: ",,,Magd;,,,blaring;  bosting;,,,,,,,,,,5
234,540,7,40,"ist es sich danach zu wundern, dass auch sie in jeder Beziehung immer tiefer sank? Dass sie leider, namentlich zurückgestossen durch die Rohheit und den kalten Egoismus ihres Gatten, den Schmeicheleien anderer Männer, zumal in den Zeiten der verschiedenen Heermärsche, ihr Ohr öffnete? ",,,,,he reflects his own partnership and lack of love in his parents,excuse; bosting the mother;,,,,,,,,,,5
234,540,7,41,"Ach, sie vergass sich nach und nach in dieser Beziehung so sehr, dass sie jedem Knechte sich hingab, vorzüglich da später auch die Leidenschaft des Trinkens sich ihrer im höchsten nur gedenkbaren Grade bemächtigte! ",,,Knecht;,,,bosting;,,,,,,,,,,5
234,540,7,42,"Noch muss [245] ich, [5] so ungern ich es tue, ",,,,,,blaring;,,,,,,,,,,5
234,540,7,43,"der strengen Notwendigkeit halber beifügen, dass meine arme Mutter durchaus keinen Sinn für Ordnung, ja nicht einmal für Reinlichkeit hat ",,,Margaretha Bürkli,,,blaring;,,,,,,,,,,5
234,540,7,44,"und bis in ihr hohes Alter immer nicht anders betrachtet werden konnte als ein in allem ganz unerfahrenes Kind; und endlich darf nicht verschwiegen werden, vielleicht das Schlimmste, ",,,,,,blaring;,,,,,,,,,,5
234,540,7,45,"dass dieselbe, wie es scheint schon von früher Jugend sich so sehr an Übertreibungen im Erzählen, ja an wirkliches Lügen gewöhnt hatte, dass sie in kurzer Zeit, wie ich oft es erfahren, wirklich selber an ihre Lügen glaubte. Ach, wo die Wahrheit fehlt, was ist alles andere wert?! Mein Bruder[6] war zwar immer geistig zu unbedeutend, als dass er irgendwelchen Einfluss auf meine Entwicklung hätte ausüben können. ",Lüge; Wahrheit;,,Johannes Hirzel,,,blaring; ,,,,,,,,,,6
234,540,7,46,"Da er indessen tatsächlich doch sehr tief in meinen Lebensgang eingegriffen hat, so muss ich doch auch seiner erwähnen. ",,,,,,,,,,,,,,,,6
234,540,7,47,"Von Jugend auf war er meinem Vater offenbar verhasst, ",,,Johannes Hirzel (1776);,,,,,,,,,,,,,6
234,540,7,48,"komme nun dieses daher, dass der Knabe, was ihm der Vater heute noch vorwirft, bis in seine vorgerückten Jahre das Bett befleckte, oder dass er in den Schulen immer der letzte war, ",,,Johannes Hirzel (1776);,,,blaring;,,,,,,,,,,6
234,540,7,49,"oder gar daher, dass derselbe körperlich und geistig sehr grosse Ähnlichkeit hat mit dem Polizei-Sekretär Trichtinger, einem Vetter und intimen Freunde meiner Mutter; ",,,Margaretha Bürkli; Trichtinger; Freunde Hirzels Mutter;,,,blaring;,,,,,,,,,,6
234,540,7,50,"kurz mein Bruder hat wirklich von seiner Jugend nicht viel anderes zu erzählen, als dass er tagtäglich Schläge bekam und die gemeinsten Diensteleisten musste. ",,,Johannes Hirzel,,,boosting;,,,,,,,,,,6
234,540,7,51,Zudem wuchs er leider auf mit den schlimmsten Gassenbuben und fand seine Bildung im Kreise von rohen Handwerksburschen. ,,,,,,blaring;,,,,,,,,,,6
234,540,7,52,Mein Vater trägt wahrlich eine Sünde gegen den heiligen Geist mit Rücksicht auf seine Erziehung. ,,,Johannes Hirzel (1776);,,blaiming;,blaring;,,,,,,,,,,6
234,540,7,53,"Neben bedeutenden Anlagen zur Musik muss er aber doch ein gewisses Nachahmungstalent besitzen. So ist es zu erklären, dass er, als er in späteren Jahren durch seine körperliche Schönheit und den vermeintlichen Reichtum ein gewisses Aufsehen erregte, wirklich einen Anstrich von Bildung und eine gewisse Redefertigkeit erlangte, welche aber beide, näher betrachtet, nichts sind als Schminke und Komödiantenwesen. ",Schönheit;,,,,,boosting;,,,,,,,,,,6
234,540,7,54,"Namentlich war es sehr schlimm für ihn, dass er die Huldigung, welche man mit Recht seinem Körper brachte, auch auf seinen Geist übertrug. ",,,,,,boosting;,,,,,,,,,,6
234,540,7,55,"Gegen mich hegte er stets, weil er wirklich zurückgesetzt wurde, eine bittere Eifersucht und einen glühenden Hass und rannte sich namentlich in die fixe Idee ein, er sei eine Art von Karl Moor gegenüber einem Ferdinand, wie er mehrmals im Kreise seiner Leute sich ausdrückte. ",,,Karl Moor; Ferdinand,,lack of self-consiousness,blaring;,,,,,,,,,,6
234,540,7,56,"[6] Das die Familie, in Welcher ich geboren und erzogen wurde. Aber wozu diese Darstellung? ",,,,,,,,,,,,,,,,7
234,540,7,57,"Etwa um meinen Groll an den Meinigen auszulassen oder gar um mich selber zu rechtfertigen? Gott bewahrel Sie, die Schwachen, mussten werden, was sie sind, durch die Übermacht der Verhältnisse gezwungen; ",,,,,die vs. Ich,dissociation;,,,,,,,,,,7
234,540,7,58,"ich dagegen besass Kraft, diese Verhältnisse, so furchtbar sie waren, zu überwinden, und unterlag ihnen am Ende dennoch. ",,,,,,self-enhancement;,,,,,,,,,,7
234,540,7,59,"Aber nötig waren diese ganz getreuen Zeichnungen durchaus, weil keiner, ",,,,,,,,,,,,,,,,7
234,540,7,60,"[246] ohne dieselben zu kennen, erst meinen Kampf und Sieg, dann meine Flucht und Niederlage zu begreifen und nach Verdienen zu würdigen vermöchte. ",Fluch der Sünde;,,,,Erbsünde;,self-enhancement; excuse;,,,,,,,,,,7
234,540,7,61,Meine Kindheit ,,,,,,,,,,,,,,,,7
234,540,7,62,"Ach, aus eigener Erfahrung kenn‘ ich es nicht, jenes Paradies, wo man, noch unangefochten von der Aussenwelt so recht unbedingt und ohne allen Rückhalt der reinen, heiligen Freude sich hingibt. Einzelne dunkle, unbedeutende Vorstellungen abgerechnet, lässt mein Gedächtnis erst im 8. oder 9. Jahr mich finden und auffassen, zu Welcher Zeit ich leider bereits zu sehr entwickelt war, als dass nicht das Greuliche meiner Umgebung zum grossen Teile Von mir erkannt und für meine jugendliche Lebenslust zu tödlichem Gift geworden wäre. ",Verhältnisse; ,1815/1816,,,Todessehnsucht;,excuse; sandbagging;,,,,,,,,,,7
234,540,7,63,"Als wie von gestern schwebt mir jetzt noch aus jener Zeit unter vielem ähnlichen folgendes vor. Einst kam mein Vater spät in der Nacht, vom Trinken und unglücklichem Spiel erhitzt nach Hause. ",,,Johannes Hirzel (1776);,blaring;,rudeness of father;,,,,,,,,,,,7
234,540,7,64,"Mit Zittern wie alle Nächte hör ich ihn die Treppe hinan schwindeln und fahre aus dem Bettchen auf bei einem schrecklichen Hilfsgeschrei meiner Mutter, ich öffne leise die Türe und sehe noch schnell meine Mutter sich flüchten, meinen Vater, der über die Treppe sich lehnte, in schrecklich kaltem und ruhigem Tone in einem fort sagen: „Mord und Tod ist da! Sterben, sterben, sterben muss heute alles im Hause!“ bis endlich, von meiner Mutter gerufen, die Knechte kamen und meinen Vater mit Gewalt zu Bette brachten. ",,,Margaretha Bürkli; Johannes Hirzel (1776); Knecht;,blaring;,rudeness of father;,,,,,,,,,,,7
234,540,7,65,"Ein andermal sass die ganze Haushaltung mit etwa 12 Dienstboten nachts bei Tische; da kommt mein Vater, öffnet lachend die Türe und wirft mit den Worten: „da nehmt, ihr Hunde, und macht euch lustig!“ mehrere Rollen Brabanter-Taler auf den Boden. Die darauf [7] folgenden Bacchernalien kann man sich denken. ",,,Johannes Hirzel (1776);,blaring;,rudeness of father;,,,,,,,,,,,7
234,540,7,66,"Noch tiefer aber verletzte mich die Mutter, eben weil ich sonst wegen ihrer Herzensgüte mit der zärtlichsten Liebe an ihr fest hing. So jung ich war, bemerkte ich doch bald, wie sie in einem fortwährenden Liebesverhältnis stand mit einem Meistergesellen; und wenn ich schon noch nicht deutlich wusste, was dieses zu sagen hatte, so war es mir doch im Gefühle, dass es nicht recht sei, eine schreckliche Pein, tagtäglich diesen Liebkosungen zusehen zu müssen. ",,,Margaretha Bürkli,,irresponsibility of mother;,blaring;,,,,,,,,,,7
234,540,7,67,"Als nun mein Vater eines Abends abwesend war, hörte ich, wie jener Mensch auf ihr Zimmer schlich, öffnete schnell die Türe, die sie nicht einmal zugeschlossen hatte, und stand weinend und drohend, dass ich es dem Vater sage, vor dem Bette - das Ende war, dass meine Mutter mit Tränen und Liebkosungen mich beschwichtigte und schweigte. ",,,Margaretha Bürkli; Johannes Hirzel (1776);,,irresponsibility of mother;,blaring; boosting;,,,,,,,,,,7
234,540,7,68,"Etwas später, ich war etwa 12 Jahre alt, war mir ein anderes Einverständnis mit einem Onkel des oben erwähnten H. Trichtinger, einem 2. Tartüffe, ein Dorn im Auge. ",,1819,H. Trichtinger; Onkel von Trichtingre;,,,,,,,,,,,,,8
234,540,7,69,"Ich beschloss, meine Mutter zu ertappen und ihr dann auf Tod und Leben zuzureden. ",,,Margaretha Bürkli,,convert his mother? Traitor?,,,,,,,,,,,8
234,540,7,70,"Demzufolge Schloss ich mich in einen Kleiderkasten ein in dem Zimmer, wo ich wusste, dass die Zusammenkunft gewöhnlich stattfand. Was ich mit Zittern erwartet hatte, geschah. Ich konnte mich nicht länger halten und stiess einen Schrei aus. Todesblass öffnete meine Mutter die Türe, und ich verliess weinend und den Herrn anspeiend das Zimmer. ",,,Margaretha Bürkli,,,,,,,,,,,,,8
234,540,7,71,"[247] Doch genug und mehr als genug an diesen wenigen Beispielen aus Hunderten, die mir immer noch nur allzu frisch vor den Augen sind. ",,,,,,,,,,,,,,,,8
234,540,7,72,"Ich füge bloss das schreckliche Gebet bei, welches ich wohl hundertmal aus meinem Bettchen zum Himmel sandte: „Du lieber Gott, o lass mich doch, wenn ich einmal gross bin, anders werden als meine Eltern!!! “So kam es, dass ich bereits damals schon einen Hang bekam nach Einsamkeit und Träumereien. Nur selten nahm ich teil an den Spielen meiner Altersgenossen und wurde daher Von diesen häufig verlacht und verspottet, was mich natürlich noch mehr vereinsamte. ",,,Eltern;,,purpose in life;,,,,,,,,,,,9
234,540,7,73,"Um so wohler fand ich mich dann entweder im stillen Zimmer lesend, gewöhnlich die Romane meiner Mutter, oder im Freien mich umhertreibend, der schönen Natur mich freuend, ",Schönheit;,,Margaretha Bürkli,,"er sticht vor dem Hintergrund des ""schlimmen"" Verhältnisse wie ein ""Licht"" hervor.",self-enhancement;,,,,,,,,,,9
234,540,7,74,"der Keim jenes zu meiner späteren Liebe zur Wissenschaft, dieses zur Poesie, welches sonst im Allgemeinen von Eltern und Lehrern sehr gelobt wurde. Über mein eigenes Benehmen in jener Zeit habe ich bloss die wichtige Erinnerung an einen bereits im 9. Jahre erwachten starken Geschlechtstrieb, offenbar ein Erbteil namentlich meiner Mutter. ",Lob;,1816,Margaretha Bürkli; Eltern;,,first sexuality;,excuse?;,,,,,,,,,,10
234,540,7,75,"Ich erinnere mich nämlich recht deutlich, wie ich noch in der sogenannten Meidlischule, wo noch Knaben und Mädchen zusammen sassen, immer trachtete, hinter das grösste und [8] schönste gesetzt zu werden, wobei es mir dann eine grosse Lust machte, dasselbe mit meinen Knieen einzuschliessen. Es fand dieses statt in einem Hause der Badergasse, der Name des Präceptors war, glaub ich, Usteri. ",Schönheit;,,Präceptor Usteri;,,first sexuality;,hedging for future promiscuity?,,,,,,,,,,10
234,540,7,76,"Ebenso musste mir in demselben Alter Von etwa 9 Jahren ein Nachbarsknabe in unserm Hausgange, ich weiss noch sehr gut die Stelle, als Rösschen zum Reiten dienen, wozu alles lachte, ohne zu ahnden, was ich eigentlich dabei empfand. ",,,,,first sexuality;,,,,,,,,,,,10
234,540,7,77,Von Selbstbefleckung war übrigens keine Rede; es war jenes bloss ein unbewusster und unbestimmter erster Reiz. ,,,,,first sexuality;,,,,,,,,,,,10
234,540,7,78,"Ich könnte von dieser ersten Periode meines Lebens nicht hinweg gehen, ohne dass ich dich, mein lieber Bluntschli, noch erinnert hätte, wie wir beide damals, freilich noch ohne irgendwelche gegenseitige Einwirkung uns zusammenfanden in euerem alten Hause in der Schipfe, wo man am Ende des Bogenganges sich aufwärts wendet. Dieses scheint mir nicht ganz ohne Wichtigkeit, teils weil ich dich und dieses Haus so gut im Gedächtnis behielt, während hundert andere Knaben und Häuser mir entschwunden sind, teils weil dies gewissermassen eine Ergänzung ist zu unserm Zusammentreffen in allen ernsten Perioden und Verhältnissen des Lebens. ",Freundschaft; Verhältnisse;,,Bluntschli;,,first sexuality;,sandbagging;,,,,,,,,,,10
234,540,7,79,Mein Knabenalter (vom 12. - 17. Jahre) ,,,,,,,,,,,,,,,,
234,540,7,80,"Konnten mir die Erinnerungen aus der Kindheit noch kein auch nur etwas begrenztes Bild meines Wesens geben, so stellt sich ein solches um so deutlicher dar in meinem Knabenalter. Ich hatte von meiner Mutter zum Erbteil erhalten sehr grosse Anlagen, für die Wissenschaften einen lebhaften, feurigen, [leichtsinnigen Geist, mächtige grosse Sinnlichkeit] und eine seltene Herzensgüte, dazu aber Mangel an allem praktischen Sinn, unbeschreiblichen Leichtsinn und die mächtigste Sinnlichkeit. ",Leichtsinn;,,Margaretha Bürkli,,scholarly merits;,excuse;,,,,,,,,,,11
234,540,7,81,"Jene bessere [248] angeborene entwickelte sich fortwährend aufs erfreulichste, so dass ich in meiner Vaterstadt unter die ausgezeichnetesten Knaben meines Alters gerechnet werden konnte. ",,,Johannes Hirzel (1776);,,scholarly merits;,self-enhancement;,,,,,,,,,,11
234,540,7,82,"In den Wissenschaften machte ich wahrhaft unglaubliche Fortschritte, so las ich im 17. Jahre ohne Schaden für die andern Studien bereits den Pentateuch ohne Vokale und ohne Anstoss die leichten Stücke des Koran. ",,,,,scholarly merits;,self-enhancement;,,,,,,,,,,11
234,540,7,83,"Die Güte meines Herzens bewies sich namentlich darin, dass ich stets und überall, wo ich konnte, dem schwächeren Recht gegen das stärkere Unrecht mit allen Opfern beistand. ",Opfer;,,,,gentleness;,self-enhancement;,,,,,,,,,,11
234,540,7,84,"Einzig meine Lebendigkeit konnte sich, wie ich gleich hernach ausführlicher zeigen werde, danieder gedruckt durch meine Verhältnisse, nicht naturgemäss entfalten: bald war ich grenzenlos ausgelassen, bald bis zum Selbstmordgedanken schwermutig. ",Verhältnisse; Todessensucht; Lebendigkeit; Selbstmord;,,,,,excuse; sandbagging;,,,,,,,,,,11
234,540,7,85,Ebenso gut entwickelten sich aber auch die [9] schlimmen Anlagen. Jener Mangel an praktischem Sinn trat am verderblichsten hervor in einer gewissen Ordnungslosigkeit bei allem was ich unternahm. ,,,,,,,,,,,,,,,,11
234,540,7,86,"Hätte ich meine Kräfte ordnungsgemäss anwenden können, Freund, du hättest sehen sollen, was aus mir geworden wäre. ",,,Bluntschli;,,Speculation;,excuse;,,,,,,,,,,11
234,540,7,87,"Aber wer machte mich aufmerksam, wer tadelte, wer half nach? Dies musste so kommen. ","""das muste so kommen""",,,,Schicksal;,excuse;,,,,,,,,,,11
234,540,7,88,"Der angeborene Leichtsinn wurde zwar durch den furchtbaren Ernst, der aus dem Anschauen meiner Umgebungen mich anstarrte, für einmal zurückgedrängt und machte dem Extrem Platz einer vollendeten Lebensverachtung, ",Leichtsinn; Lebensverachtung;,,,,,disclaimer;,,,,,,,,,,11
234,540,7,89,"nichts desto weniger trat er z. B. ans Licht in höchst unbesonnenen Bücherankäufen, die ich aus Furcht vor meinem Vater verheimlichte, meinen ersten Schulden, von welchen ich mich bis jetzt niemals ganz losmachte. ",Leichtsinn;,,Johannes Hirzel (1776);,,,,,,,,,,,,,11
