"Transcript","Author","Bibliography","Sequence_no","Text","places","footing (IM)","encounter (Goffman)","PC","comment","Story elemet",
14,645,532,49,"wenden drohten, sei man schuldig, zur Wiederherstellung eines geregelten ",,,,,,,
14,645,532,50,"Zustandes das Mögliche zu thun. Hierüber war nur Eine Stimme. ",,,,,,,
14,645,532,51,"Dies der unlautere Quell, aus welchem die nachherigen Schritte der ",,,,,,,
14,645,532,52,"Regierung hervorgingen!","regierung;",,,,,,
14,645,532,53,"Eine andere Frage war es, ob alle Mitglieder derselben diese Ansicht ","mitglied;",,,,,,
14,645,532,54,"theilen, sie unterstützen würden. Man hoffte es; hoffte es um so mehr, da ",,,,,,,
14,645,532,55,"die Bestrebungen des Comité jedem einleuchten, diese heftige Opposition, ","comité;",,,,,,
14,645,532,56,"die Lage und die Verlegenheiten einer so beaufsichteten und in ihrer ",,,,,,,
14,645,532,57,"Wirksamkeit gehemmten Regierung jedem, der fest an dem Bisherigen halten ","regierung;",,,,,,
14,645,532,58,"wollte, unerträglich sein mußten. Es schien nur darauf anzukommen , auf ",,,,,,,
14,645,532,59,"welche Art die Regierung zu Ergreifung einer Maßregel veranlaßt würde. Da ","regierung;",,,,,,
14,645,532,60,"ward der Gedanke auf die Bahn gebracht, sowohl die nicht hier anwesenden ",,,,,,,
14,645,532,61,"Mitglieder als auch das Publikum würden [-10—]sich schon der Form wegen ","mitglied;",,,,,,
14,645,532,62,"weniger daran stoßen, wenn vom Polizeirathe aus ein Antrag an den ",,,,,,,
14,645,532,63,"Regierungsrath gelangte. ","regierungsrath;",,,,,,
14,645,532,64,"Ich verberge nicht, daß auch die Hoffnung dabei zum Grunde lag, wenn ",,,,,,,
14,645,532,65,"dieses vom Polizeirathe aus und nicht von einzelnen radikalen Mitgliedern ","radikale; mitglied;",,,,,,
14,645,532,66,"der Regierung geschehen könnte, so wären weniger entschiedene Mitglieder, ","regierung; mitglied;",,,,,,
14,645,532,67,"wie die Herren Heß, Hegetschweiler, M. Sulzer dafür leichter zu gewinnen. ",,,"sulzer; hegetschweiger;",,,,
14,645,532,68,"Herr Fierz übernahm es, die Sache bei Herrn Heß in Anregung zu bringen ",,,,,,,
14,645,532,69,"und auch Herr Dr. Keller versprach, mit demselben bei der ersten ",,,"keller;",,,,
14,645,532,70,"Gelegenheit, da die Tagsatzung Sitzung halten würde , davon zu sprechen, ",,,,,,,
14,645,532,71,"Fierz und Bürgi wollten Tags darauf auch M. Sulzer im Straßendepartement ",,,"bürgi; sulzer;",,,,
14,645,532,72,"davon präveniren. ",,,,,,,
14,645,532,73,"Es geschah also. Am 22. ließ Herr Heß mich ersuchen, eine Stunde vor ",,,,,,,
14,645,532,74,"Eröffnung der Tagsatzung zu ihm zu kommen. Er theilte mir mit, Herr Dr. ",,,,,,,
14,645,532,75,"Keller habe so vernünftig und klar mit ihm über unsere gegenwärtige Lage ",,,"keller;",,,,
14,645,532,76,"gesprochen, daß er nun ebenfalls finde, die Regierung müsse einschreiten. ","regierung;",,,,,,
14,645,532,77,"Er sei dazu auch fest entschlossen und werde das Seinige thun, damit die ",,,,,,,
14,645,532,78,"Umtriebe einmal aufhören; er hoffe, man werde den Zweck desto sicherer ","hoffen;",,,,,,
14,645,532,79,"erreichen, da bereits einzelne Mitglieder des Comité der Sache müde ","comité; mitglied;",,,,,,
14,645,532,80,"seien ,sich zurückzögen und bei dessen Bestrebungen nicht mehr die ",,,,,,,
14,645,532,81,"früheren Motive vorwalteten. ",,,,,,,
14,645,532,82,"Er überreichte mir nun das Schema zu einem regierungsräthlichen ","regierung;",,,,,,
14,645,532,83,"Publikandum und ersuchte mich, dasselbe während der Sitzung der ",,,,,,,
14,645,532,84,"Tagsatzung mit Herrn Keller vollends zu redigiren.",,,"keller;",,,,
14,645,532,85,"Auf den 23. Morgens 7 Uhr ließ Herr Heß den Regierungsrath zu ","regierungsrath;",,,,,,
14,645,532,86,"außerordentlicher Sitzung einberufen. ",,,,,,,
14,645,532,87,"[-11—]Anwesend waren die Herren Heß, Hegetschweiler, Meier v. Knonau, ",,,"meier; hegetschweiger;",,,,
14,645,532,88,"Zehnder, Weiß, Keller, Huber, Escher, Bürgi, Krauer, Fierz, Schäppi und ",,,"keller; bürgi;",,,,
14,645,532,89,"Hotz (abwesend die Herren Bürgermeister Hirzel, Ed. Sulzer, Hüni, C. ","bürger;",,"hirzel M.; sulzer;",,,,
14,645,532,90,"Hirzel, Hauser und M. Sulzer, der von der Sache wußte). ",,,"hirzel M.; sulzer;",,,,
14,645,532,91,"Herr Heß eröffnete kurz, daß ihm bei der sich erneuernden Thätigkeit des ",,,,,,,
14,645,532,92,"Central-Comité nothwendig scheine, auch von Seite der Regierung Schritte ","regierung; comité; noth;",,,,,,
14,645,532,93,"zu thun, indem jenes Treiben die Schranken der Gesetzlichkeit ",,,,,,,
14,645,532,94,"überschreite, immer frecher und arroganter werde und das Ansehen der ",,,,,,,
14,645,532,95,"Behörden und ihre Wirksamkeit total untergrabe. ",,,,,,,
14,645,532,96,"Herr Weiß, sagte er, habe übrigens eine Motion angekündigt, worauf er mir ",,,,,,,
14,645,532,97,"das Wort gab. ","wort;",,,,,,
14,645,532,98,"Ich setzte auf ernste Weise und in einer Stimmung, welche wenigstens ",,,,,,,
14,645,532,99,"keine bösen Absichten verrathen konnte, aus einander, was eben angedeutet ",,,,,,,
14,645,532,100,"worden war und suchte, nachdem ich versichert, die ruhigen Bürger des ","bürger;",,,,,,
14,645,532,101,"Landes erwarten sehnlichst, daß die Regierung einmal Friede schaffe, und ","regierung; friede;",,,,,,
14,645,532,102,"wenn sie nichts thue, stehe ihr bevor, auch von den Bessern verachtet zu ",,,,,,,
14,645,532,103,"werden, namentlich den Mißbrauch hervorzuheben, der vom Central-Comité ","comité;",,,,,,
14,645,532,104,"mit dem verfassungsmäßigen Organismus des Staates, mit Bezirken, ",,,,,,,
14,645,532,105,"Gemeinden und Gemeindebehörden getrieben werde und zwar in dem Maße, daß ",,,,,,,
14,645,532,106,"die Wünsche und Aufträge desselben mit allem Eifer, die der Regierung ","regierung;",,,,,,
14,645,532,107,"aber entweder gar nicht, oder nur nachlässig, mit Widerstreben und ",,,,,,,
14,645,532,108,"Widerwillen vollzogen und denselben mancherlei Hindernisse in den Weg ",,,,,,,
14,645,532,109,"gelegt werden. 3)[ ] ",,,,,,,
14,645,532,110,"Ich [-12—]glaubte, daß unter solchen Umständen und einem so unermüdlich ",,,,,,,
14,645,532,111,"thätigen Feinde gegenüber, dessen Wort Alles [-13—]galt, es Pflicht der ","feind; wort;",,,,,,
14,645,532,112,"Regierung sei, nochmals wenigstens den Versuch zumachen, die Zügel zu ","regierung;",,,,,,
14,645,532,113,"erfassen, und sich [-14-]einer Existenz, wo sie in allen ihren ",,,,,,,
14,645,532,114,"Verrichtugen gehemmt und kontrecarrirt würde, zu entwinden. ",,,,,,,
14,645,532,115,"Schließlich[-15—] empfahl ich die Eintracht, die allein uns zu retten ",,,,,,,
14,645,532,116,"vermöchte. ",,,,,,,
14,645,532,117,"Alle Mitglieder hörten mir beifällig zu, was ich sprach, lag auch in ","mitglied;",,,,,,
14,645,532,118,"ihrer aller Ueberzeugung. ",,,,,,,
14,645,532,119,"Nur Hegetschweiler schüttelte anfänglich den Kopf und bemerkte dann, ",,,"hegetschweiger;",,,,
14,645,532,120,"der Zeitpunkt, von unserer Seite einzuschreiten, sei noch nicht da; bis ",,,,,,,
14,645,532,121,"jetzt sei vom Comité aus nichts Ungesetzliches geschehen, und wenn man ","comité;",,,,,,
14,645,532,122,"nicht reize, werde auch nichts geschehen. Solche Maßnahmen schaden mehr ",,,,,,,
14,645,532,123,"als sie nützen; sie verdächtigen die Sache der Regierung und bringen das ","regierung;",,,,,,
14,645,532,124,"Volk in Harnisch. Ueberhaupt sei durch die Radikalen, von denen aus er ","volk; radikale;",,,,,,
14,645,532,125,"auch diesen Vorschlag kommen zu sehen glaube, und ihre Organe 4)[ ] ","glaube;",,,,,,
14,645,532,126,"Vieles verdorben und auf die Spitze getrieben worden. Finde die Regierung ","regierung;",,,,,,
14,645,532,127,"sich stark genug, bei den Vereinen und Gemeinem zu imponiren und mit ",,,,,,,
14,645,532,128,"Erfolg gegen sie zu agiren, wohl, so möge sie es thun; dann aber müsse ",,,,,,,
14,645,532,129,"sie nicht bloß bei diesem Erlasse stehen bleiben, sondern weiter gehen, ",,,,,,,
14,645,532,130,"dem Comité befehlen, sich aufzulösen, und die Widerspenstigen bestrafen ","comité;",,,,,,
14,645,532,131,"lassen. Wäre man des Erfolges sicher, so würde auch er dabei sein, allein ",,,,,,,
14,645,532,132,"er bezweifle dieses. 5)[ ] ",,,,,,,
14,645,532,133,"Während und nachdem Hegetschweiler [-16—]sich so geäußert hatte, gab ",,,"hegetschweiger;",,,,
14,645,532,134,"Bürgermeister Heß mehrere Zeichen des Unwillens und der Unzufriedenheit ","friede; bürger;",,,,,,
14,645,532,135,"von sich, widerlegte ihn dann mit kurzen und ziemlich bittern Worten und ","wort;",,,,,,
14,645,532,136,"verlangte Entscheidung. ",,,,,,,
14,645,532,137,"Noch äußerte auch Escher sich fast in gleichen Sinne wie Hegetschweiler. ",,,"escher; hegetschweiger;",,,,
14,645,532,138,"Als dann aber die Hauptfrage zur Abstimmung kam, ob ein Dekret zu ",,,,,,,
14,645,532,139,"erlassen sei, war man einstimmig; dagegen wollten die beiden benannten ",,,,,,,
14,645,532,140,"Mitglieder die „Betrachtung” nicht aufgenommen wissen. ","mitglied;",,,,,,
14,645,532,141,"Eben als die Hauptfrage zur Abstimmung vorlag, trat M. Sulzer (9 Uhr) ",,,"sulzer;",,,,
14,645,532,142,"herein, erkundigte sich pro forma nach dem, was verhandelt worden, ",,,,,,,
14,645,532,143,"erklärte aber sogleich, er enthalte sich der Abstimmung. Der Entwurf ",,,,,,,
14,645,532,144,"wurde genehmigt und unverzüglich versendet. 6)[ ] [-17—]",,,,,,,
14,645,532,145,"Die Nachricht von diesem Beschlusse verbreitete sich mit ungemeiner ",,,,,,,
14,645,532,146,"Schnelligkeit in der Stadt. Schon um 11 Uhr ward derselbe auf einem ",,,,,,,
14,645,532,147,"Caffeehause als Verfassungsbruch erklärt und laut angekündigt, es werde ",,,,,,,
14,645,532,148,"der Erlaß auf der Stelle mit einem Commentar vom Central-Comité ","comité;",,,,,,
14,645,532,149,"abgedruckt und der Welt das [-18—]Vergehen bekannt gemacht werden. ",,,,,,,
14,645,532,150,"Der Beobachter vom folgenden Tage betrachtete den Erlaß als ",,,,,,,
14,645,532,151,"Fehdehandschuh, den man aufnehmen werde. ",,,,,,,
14,645,532,152,"Von den Liberalen hingegen, selbst von gemüßigten Antistraußianern ward ",,,"strauss;",,,,
14,645,532,153,"derselbe freudig empfangen; man beglückwunschte die Regierung zu der von ","regierung;",,,,,,
14,645,532,154,"ihr eingenommenen Stellung.",,,,,,,
14,645,532,155,"Noch war der angekündigte Commentar nicht erschienen. Man erklärte sich ",,,,,,,
14,645,532,156,"das Ausbleiben desselben damit, die Bürkli'sche Offizin habe, Gefahr ",,,"bürkli;",,,,
14,645,532,157,"dabei witternd,7)[ ] dessen Druck verweigert.",,,,,,,
14,645,532,158," — Sonntags den 25. Morgens rief mich Herr Heß zu sich und wies mir das ",,,,,,,
14,645,532,159,"Angekündigte vor. 8)[ ] ",,,,,,,
14,645,532,160,"Er war ob der Anmaßung [-19-] empört, sprach jedoch von keiner ",,,,,,,
14,645,532,161,"bestimmten, dagegen zu ergreifenden Maßregel, billigte und mißbilligte ",,,,,,,
14,645,532,162,"auch nicht mein Vorhaben, den Staatsanwalt aufzusuchen, fand hingegen ",,,,,,,
14,645,532,163,"gut, daß ich mit Herrn Zehnder darüber spreche. ",,,,,,,
14,645,532,164,"Wie ich mich dahin begeben wollte, begegnete mir Herr Benz, der Substitut ",,,,,,,
14,645,532,165,"des Staatsanwaltes, der eben im Begriffe war, in der Druckerei von ",,,,,,,
14,645,532,166,"Zürcher und Furrer das Pamphlet mit Beschlag zu belegen. ",,,,,,,
14,645,532,167,"Er fand eine Auflage von circa 5000 Exempl. vor, die er abfaßte und ",,,,,,,
14,645,532,168,"vernahm, daß 100 bis 120 Stücke an Herrn Aktuar Spöndli abgegeben worden ",,,,,,,
14,645,532,169,"seien.",,,,,,,
14,645,532,170,"Der Regierungs-Erlaß war unterdessen von den Statthalterämtern den ","regierung;",,,,,,
14,645,532,171,"Gemeindebeamten zugesandt und [-20—]die Sendungen noch mit mehr oder ",,,,,,,
14,645,532,172,"weniger genauen und verschärften Befehlen und Aufträgen begleitet worden. ",,,,,,,
14,645,532,173,"Die einen faßten die Sache von dem Gesichtspunkte auf, nicht nur ",,,,,,,
14,645,532,174,"Gemeindebehörden, sondern auch Gemeindeversammlungen, als ",,,,,,,
14,645,532,175,"verfassungsmäßige, organische Institute, dürfen nicht dazu gebraucht ",,,,,,,
14,645,532,176,"werden, Berathungen zu pflegen, die gegen verfassungsmäßige Behörden und ",,,,,,,
14,645,532,177,"Beschlüsse gerichtet wären; ",,,,,,,
14,645,532,178,"es dürfe dieses allerdings geschehen, aber nur in und durch Vereine; ",,,,,,,
14,645,532,179,"jene Art enthalte eine Anomalie, diese liege in der Natur der Sache und ",,,,,,,
14,645,532,180,"sei im Vereinsrecht begründet. ",,,,,,,
14,645,532,181,"Andere schärften blos ein, dem Befehle oder Verbot der Regierung genau ","regierung;",,,,,,
14,645,532,182,"nachzukommen ",,,,,,,
14,645,532,183,"und die Flauen behandelten auch diesen Gegenstand nach alter Gewohnheit. ",,,,,,,
14,645,532,184,"9)[ ] ",,,,,,,
14,645,532,185,"Mit derselben Verschiedenheit, wie der Regierungs-Erlaß von den ","regierung;",,,,,,
14,645,532,186,"Statthaltern aufgenommen und behandelt wurde, fanden er und die ",,,,,,,
14,645,532,187,"statthalteramtlichen Aufträge auch Aufnahme bei den Gemeindsbeamtungen. ",,,,,,,
14,645,532,188,"In ruhigen Gegenden und Gemeinden, wo des Gährungsstoffes von Anfang an ",,,,,,,
14,645,532,189,"weniger gewesen, war der Erfolg der gewünschte: die ",,,,,,,
14,645,532,190,"Gemeindsvorsteherschaften freuten sich der Erscheinung und ohne die ",,,,,,,
14,645,532,191,"Einflüsse von außen wäre dort die Ruhe, die Ordnung vollkommen wieder ","ordnung; ruhe;",,,,,,
14,645,532,192,"hergestellt gewesen. ",,,,,,,
14,645,532,193,"Anderwärts hingegen, wo überhaupt mehr Neigung zu Widerspruch und ",,,,,,,
14,645,532,194,"Opposition [-21—]vorwaltete und wo der Zündstoff und die Zündmänner ",,,,,,,
14,645,532,195,"hausiger waren, erholte man sich bald von dem ersten Stoß und sah in der ",,,,,,,
14,645,532,196,"Verordnung der Regierung nur zu gern einen Mißgriff, ein Ueberschreiten ","regierung; ordnung;",,,,,,
14,645,532,197,"der Befugniß, eine Verletzung und Beschränkung der bürgerlichen und der ","bürger;",,,,,,
14,645,532,198,"Redefreiheit. Mehrere Vorsteherschaften, in deren Mitte oder Nähe sich ",,,,,,,
14,645,532,199,"einflußreiche Oppositions-Männer befanden, ermangelten daher nicht, sich ",,,,,,,
14,645,532,200,"theils fragend, wie es gemeint sei, theils trotzend gegen ",,,,,,,
14,645,532,201,"Regierungsbeschlüsse an die Regierung selbst zu wenden. So der Stadtrath ","regierung;",,,,,,
14,645,532,202,"von Zürich, der in dem, was früher geschehen war, nichts Ungesetzliches ","zürich;",,,"zürich;",,,
14,645,532,203,"erblicken wollte, der der Gemeindsversammlung auch das Recht vindicirte, ",,,,,,,
14,645,532,204,"beliebige Gegenstände, ob sie von einzelnen Bürgern oder von Vereinen ","bürger;",,,,,,
14,645,532,205,"derselben vorgelegt würden, zu berathen und sich vorbehielt, auch künftig ",,,,,,,
14,645,532,206,"zu handeln wie bis jetzt. ",,,,,,,
14,645,532,207,"Milder drückten sich die Gemeindräthe und Stillstände von Richterschweil, ",,,,,,,
14,645,532,208,"Wädenschweil und Küßnacht aus, die bloß voraussetzten, die Regierung habe ","regierung;",,,,,,
14,645,532,209,"es in ihrem Sinne gemeint und sich auf diesen Fall hin für mit derselben ",,,,,,,
14,645,532,210,"einverstanden erklärten. ",,,,,,,
14,645,532,211,"Erlenbach trotzte auf sein Recht, ",,,,,,,
14,645,532,212,"Pfäffikon und Illnau widersprachen des Bestimmtesten, daß je Aufträge vom ",,,,"pfäffikon;",,,
14,645,532,213,"Comité an Vorsteher gelangt oder in Folge von Aufträgen Gemeinds-","comité;",,,,,,
14,645,532,214,"Versammlungen abgehalten worden seien ",,,,,,,
14,645,532,215,"und Kyburg, (Stillstand und Gemeinderath) endete mit dem Satze: selbst ",,,,"kyburg;",,,
14,645,532,216,"der Regierung seien sie nur dann Gehorsam schuldig, wenn ihre Befehle mit ","regierung;",,,,,,
14,645,532,217,"der Verfassung und ihrer Ueberzeugung übereinstimmen. — Diese Zuschriften ",,,,,,,
14,645,532,218,"wurden am 31. August im Regierungsrathe mitgetheilt und ich werde darauf ","regierungsrath;",,,,,,
14,645,532,219,"zurückkommen.",,,,,,,
14,645,532,220,"[-22—]Man vernahm inzwischen, daß das Central-Comité mit Mitgliedern aus ","comité; mitglied;",,,,,,
14,645,532,221,"den Bezirks-Comités, die am zahlreichsten aus den Bezirken Pfäffikon und ","comité;",,,"pfäffikon;",,,
14,645,532,222,"Hinweil erschienen, sich in Kloten versammelt und daß sie eine größere ",,,,,,,
14,645,532,223,"Versammlung aller Bezirks- und Gemeinds-Comités und „wer sonst noch Platz ","comité;",,,,,,
14,645,532,224,"in der Kirche hätte” beschlossen hatten. ","kirche;",,,,,,
14,645,532,225,"Die Aufforderungen, am 2. recht zahlreich in Kloten zu erscheinen, gingen ",,,,,,,
14,645,532,226,"schnell und vielfach durch's Land; ","land;",,,,,,
14,645,532,227,"viele Pfarrer luden auch ihrerseits dazu als zu einem Tage ein, dem an ","pfarrer;",,,,,,
14,645,532,228,"Resultaten der Tag von Uster nicht gleichkommen werde.",,,,"uster;",,,
14,645,532,229," — Es war mir bekannt, daß Eduard Sulzer, der von Baden zurückgekommen, ",,,"sulzer;",,,,
14,645,532,230,"auf den Erlaß vom 23. nicht gut zu sprechen war. ",,,,,,,
14,645,532,231,"Ich bedauerte dieses, allein befremden konnte es mich nicht, da er ","fremde;",,,,,,
14,645,532,232,"einerseits von Anfang an, wie er sich, wenn ich nicht irre, im großen ",,,,,,,
14,645,532,233,"Rath ausgedrückt hatte, einen Generalärger ob der ganzen Geschichte ",,,,,,,
14,645,532,234,"empfand, anderseits selten etwas zu billigen pflegte, woran er nicht ",,,,,,,
14,645,532,235,"wesentlichen Antheil gehabt hatte. ",,,,,,,
14,645,532,236,"Ungeachtet ich schon einmal die unangenehme Erfahrung gemacht hatte, daß ",,,,,,,
14,645,532,237,"derselbe bei Anlaß der seiner Zeit laut gewordenen Mißbilligung der ",,,,,,,
14,645,532,238,"Bestätigungswahl von Dr. Strauß zwar anfänglich erklärte, er seinerseits ",,,"strauss;",,,,
14,645,532,239,"könne sie nie gut heißen, sie sei aber als ein competenter Act des ",,,,,,,
14,645,532,240,"Regierungsrathes zu betrachten, von Zurücktreten könne keine Rede sein, ","regierungsrath;",,,,,,
14,645,532,241,"auch er, obschon von der Minorität, werde als Mann dazu stehen — in der ",,,,,,,
14,645,532,242,"nächsten Sitzung dann aber belieben wollte, nachzugeben, ","liebe;",,,,,,
14,645,532,243,"so hoffte ich, er werde sich nunmehr während 6 Monaten haben überzeugen ",,,,,,,
14,645,532,244,"können, daß die Regierung in ihrer Wirksamkeit gelähmt ","regierung;",,,,,,
14,645,532,245,"und von einer zweiten Regierung, [-23—]einem Staat im Staate, beherrscht ","regierung;",,,,,,
14,645,532,246,"werde; ",,,,,,,
14,645,532,247,"in einer solchen Lage werde er, so meinte ich, sich so wenig als ich ",,,,,,,
14,645,532,248,"behaglich fühlen, eine Aenderung derselben auf rechtliche Weise für ",,,,,,,
14,645,532,249,"unerläßlich halten und dazu gerne Hand bieten. ",,,,,,,
14,645,532,250,"Deßhalb ging ich zu ihm, sprach mit ihm offen und mit Zutrauen von der ",,,,,,,
14,645,532,251,"erneuerten Thätigkeit des Comité, von der beabsichteten Volksversammlung, ","comité; volk;",,,,,,
14,645,532,252,"den sich wiederholenden und allem Anscheine nach sich steigernden ",,,,,,,
14,645,532,253,"Forderungen an Regierung und großen Rath, suchte ihm die Nothwendigkeit ","regierung; noth;",,,,,,
14,645,532,254,"vereinten Handelns und Wirkens darzuthun und versprach meinerseits gerne ",,,,,,,
14,645,532,255,"auf jedes Extrem zu verzichten und zu Allem zu stimmen, was die ",,,,,,,
14,645,532,256,"Wiederherstellung von Ruhe und Ordnung bewirken und das Ansehen der ","ordnung; ruhe;",,,,,,
14,645,532,257,"Regierung aufrecht halten könnte. ","regierung;",,,,,,
14,645,532,258,"Eduard Sulzer tadelte unumwunden den Erlaß vom 23. und behauptete, ohne ",,,"sulzer;",,,,
14,645,532,259,"diese neue Aufreizung von unserer Seite hatten die Machinationen des ",,,,,,,
14,645,532,260,"Comité nach und nach allen Einfluß und Succeß verloren. ","comité;",,,,,,
14,645,532,261,"Der Erlaß, fuhr er fort, sei leider da und man werde dazu stehen oder ihn ",,,,,,,
14,645,532,262,"zurücknehmen müssen. ",,,,,,,
14,645,532,263,"Letzteres könne nicht angehen, dagegen dürfte demselben eine beruhigende ",,,,,,,
14,645,532,264,"Interpretation nachzusenden sein. ",,,,,,,
14,645,532,265,"Als ich von sich wiederholenden Forderungen sprach, ",,,,,,,
14,645,532,266,"richtete er die Frage an mich: aber was will man denn noch? ",,,,,,,
14,645,532,267,"Ich freute mich der Gelegenheit, ihn erinnern zu können, daß unter die ",,,,,,,
14,645,532,268,"angelegensten Wünsche der 40,000 auch der einer gemischten Synode, so wie ",,,,,,,
14,645,532,269,"der gehört habe, dem Kirchenrathe einen Antheil an den Wahlen der ","kirche;",,,,,,
14,645,532,270,"theologischen Professoren und der Religionslehrer am Seminar einzuräumen, ",,,,,,,
14,645,532,271,"daß dieser letztere seiner [-24-]Zeit von der betreffenden Großraths-",,,,,,,
14,645,532,272,"Commission in ihrem Antrage berücksichtigt, bei der Begutachtung des ","commission;",,,,,,
14,645,532,273,"Regierungsrathes aber hauptsächlich auch unter seiner, Herrn Sulzers, ","regierungsrath;",,"sulzer;",,,,
14,645,532,274,"Beiwirkung, beide dann auch im großen Rathe beseitigt worden wären. Er ",,,,,,,
14,645,532,275,"erwiderte sehr wenig hierauf; gleichwohl verließ ich ihn mit der ",,,,,,,
14,645,532,276,"Hoffnung, unsere Ansichten werden diesmal nicht weit aus einander gehen ",,,,,,,
14,645,532,277,"und wir könnten und würden treu zusammen halten.",,,,,,,
14,645,532,278,"Ohne irgend welche Einladung hatten sich an diesem Tage etwa 60 Männer ",,,,,,,
