"Transcript","Author","Bibliography","no","text","scene","invivo","chronology","people","places","footing (IM)","encounter (Goffman)","PC","comment","Story elemet"
12,532,279,17,"Der übrige Inhalt dieses Bandes ist bereits im Vorworte zum früher erschienenen Bande angedeutet worden.",,,,,,,,,,
12,532,279,18,"Nur ist der Verfassungsstreit zwischen Baselstadt und Baselland hier blos kurz berührt, weil der Verfasser demselben fern gestanden, während die Bewegungen im Kanton Schwyz in den Jahren 1833 und 1838, an welchen er lebhaften Antheil genommen, eilst läßlich behandelt werden.",,,,,,,,,,
12,532,279,19,"Ebenso umfassend und aktenmässig werden die langen Streitigkeiten im Kanton Wallis behandelt, deren endliche Entscheidung der Verfasser eingeleitet hat.",,,,,,,,,,
12,532,279,20,"Diejenige Partei, die freisinnige genannt, weichein den Dreißigerjahren, nachdem die sogenannten aristokratischen Verfassungen umgewandelt waren, das Steuerruder ergriff und leitete, halte nebst dem Hauptbestreben, welches jeder politischen Partei, welche am Runder sitzt, gemein und eigen ist, nämlich im Besitze der Gewalt sich zu behaupten, noch vorzüglich zwei Ziele im Auge, welche sie beharrlich verfolgte: die Centralisation und die Unterjochung der katholischen Kirche unter die Staatsgewalt.",,,,,,,,,,
12,532,279,21,"Wie der zweite Band dieses Werkes erzählte, scheiterte das Bestreben nach förmlicher Centralisation vermittelst Umsturzes des Bundesvertrags an dem Widerstand des katholischen Luzernervolkes und konnte selbst mit Hilfe der Freischaaren in den Vierzigerjahren nicht das Ziel erreichen, bis die Führer der Freischaaren sich in den Besitz der Staatsgewalt selber gesetzt hatten.",,,,,,,,,,
12,532,279,22,"Desto erfolgreicher war das Bestreben der Freisinnigen, die katholische Kirche zu unterjochen.",,,,,,,,,,
12,532,279,23,"Mit welcher Niedertretung aller Rechte, sowohl der Kirche an und für sich, als auch ihrer Gesetze, ihrer Einrichtungen, ihrer Würdeträger und Priester, dieses geschehen, wird die einfache Darstellung der von den Freisinnigen ergriffenen Maßregeln beurkunden.",,,,,,,,,,
12,532,279,24,"Das Recht der Vereine, die Freiheit der Presse, das Hausrecht, ja sogar das Petitionsrecht der Bürger, welche Rechte und Freiheiten von den Freisinnigen als Urrechte waren erklärt und in allen neuen Verfassungen feierlich waren gewährleistet und mit Eiden bekräftigt worden, wurden mit Füßen getreten, sobald sie für religiöse Freiheit gegen die antikirchlichen Gewaltmaßnahmen in Anwendung wollten gebracht werden.",,,,,,,,,,
12,532,279,25,"Nicht einmal die protestantische Confession .",,,,,,,,,,
12,532,279,26,"blieb vor ihren antichristlichen Angriffen unangetastet.",,,,,,,,,,
12,532,279,27,"Man wollte dem Zürichervolk durch einen förmlichen Verfassungsbruch einen Leugner der Gottheit Christi als Lehrer der protestantischen Theologie aufdringen.",,,,,,,,,,
12,532,279,28,"Das Zürichervolk wehrte sich für seinen christlichen Glauben durch eine mannhafte Erhebung.",,,,,,,,,,
12,532,279,29,"Der Verfasser fand sich bewogen, die Geschichte dieser Erhebung aktenmässig zu erzählen, theils wegen der wichtigen Bedeutung derselben an und für sich, theils weil sie ein Wendepunkt in mehreren Kantonen zu werden schien und einen solchen wirklich in seinem politischen Leben bildete.",,,,,,,,,,
12,532,279,30,"Einen Hauptkampf von sowohl religiöser als politischer Bedeutung setzte in den Dreißiger- und Vierzigerjahren die Angelegenheit der Klöster, zumal im Kanton Aargau, ab.",,,,,,,,,,
12,532,279,31,"Es war ein Kampf gegen die religiöse und kirchliche Freiheit, und es war ein Kampf gegen den Bundesvertrag.",,,,,,,,,,
12,532,279,32,"Die Folge dieses Kampfes war die unbedingte Herrschaft der Staatsgewalt über die Rechte, Güter, Korporationen und Personen der katholischen Kirche und die Proklamierung des Grundsatzes, daß die Mehrheit der Stände über dem Bundesvertrage stehe und somit die Minderheit der Stände ihren Beschlüssen unbedingt unterworfen sei.",,,,,,,,,,
12,532,279,33,"Eine bundeswidrige Centralisation, wenn auch nicht der Form, doch dem Wesen nach!  Der Verfasser hielt es für eine seiner wichtigsten Aufgaben, diesen Hauptkampf etwas weitläufiger zu schildern.",,,,,,,,,,
12,532,279,34,"Es wurden im Verlaufe desselben, wenn auch nicht gerade der Klöster wegen, die Keime zu jener Schutzvereinigung der katholischen Stände Luzern, Uri, Schwyz, Unterwalden, Zug, Freiburg und Wallis gelegt, von welcher der schon zum Drucke bereite dritte Band dieses Werkes ganz umständlich, treu und urkundlich handeln wird.",,,,,,,,,,
12,532,279,35,"Altdorf, den 4.",,,,,,,,,,
12,532,279,36,"Herbstmonat 1864.",,,,,,,,,,
12,532,279,37,"Der Verfasser Inhalts-Verzeichnis 1.",,,,,,,,,,
12,532,279,38,"Abschnitt.",,,,,,,,,,
12,532,279,39,"Uebersicht meine r Lebensgeschichte bis zum Beginn meines öffentlichen Wirkens 136 2.",,,,,,,,,,
12,532,279,40," Bewegungen in den Urkantonen 37140 3.",,,,,,,,,,
12,532,279,41," Die Angriffe gegen die Freiheit der Kirche und des Volkes 141253 4.",,,,,,,,,,
12,532,279,42," Die Berufung von Dr.",,,,,,,,,,
12,532,279,43,"Strauß an die Hoch schule von Zürich 254328 5.",,,,,,,,,,
12,532,279,44," Die Verfolgungen der Freisinnigen im Kanton Luzern gegen Religionsfreunde und gegen meine Person 329376 6.",,,,,,,,,,
12,532,279,45," Die Verfassungsänderungen in Tessin, Solothurn und Aargau 377424 7.",,,,,,,,,,
12,532,279,46," Der Kampf gegen und für die Klöster .",,,,,,,,,,
12,532,279,47,".",,,,,,,,,,
12,532,279,48,".",,,,,,,,,,
12,532,279,49,"425628 8 .",,,,,,,,,,
12,532,279,50," Die Verfassungsänderungen und die Niederlage der jungschweizer im Kanton Wallis .",,,,,,,,,,
12,532,279,51,".",,,,,,,,,,
12,532,279,52,"629796 [ix-3] Der Kampf zwischen Recht und Gewalt in der Schweizerischen Eigenossenschaft Erster Abschnitt.",,,,,,,,,,
12,532,279,53,"Uebersicht meiner Lebensgeschichte bis zum Beginn meines öffentlichen Wirkens.",,,,,,,,,,
12,532,279,54,"[1] Das Licht der Welt erblickte ich in Lodrino den 10.",,,,,,,,,,
12,532,279,55,"Weinmonat 1801.",,,,,,,,,,
12,532,279,56,"Lodrino ist ein Kleiner Pfarrort, auf dem rechten Ufer des Ticino in der Riviera, Kantons Tessin, in der Schweiz.",,,,,,,,,,
12,532,279,57,"Die Eltern hießen Johann Baptist Siegwart und Maria Pfulg.",,,,,,,,,,
12,532,279,58,"Der Vater war aus dem Kragen in der Gemeinde Flühli, Kantons Luzern, wo er den 30.",,,,,,,,,,
12,532,279,59,"Heumonat 1765 geboren worden war, nach Lodrino gezogen und hatte dort mit seinem Bruder Meinrad eine Glashütte gebaut.",,,,,,,,,,
12,532,279,60,"In den [2] Kanton Luzern war die Familie Siegwart aus dem Schwarzwalde, Großherzogthum Baden, schon im siebzehnten Jahrhundert eingewandert.",,,,,,,,,,
12,532,279,61,"Die Familie Siegwart war übrigens (nach Leus Lexikon) schon viel früher im Kanton Bern eingebürgert.",,,,,,,,,,
12,532,279,62,"In Urkunden findet man im Jahr 1502 einen Albrecht Siegwart;",,,,,,,,,,
12,532,279,63,"er war 1521 Mitglied des Großen Rathes in Bern, im Jahr 1535 verehelichte er sich mit Margarethe Frisching;",,,,,,,,,,
12,532,279,64,"1536 war er Schultheiß (Landvogt) zu Unterseeen [sic];",,,,,,,,,,
12,532,279,65,"1532 vorher Vogt zu Signau;",,,,,,,,,,
12,532,279,66,"1545 Kastellan zu Zweysimmen;",,,,,,,,,,
12,532,279,67,"1551 Landammann zu Oberhasle.",,,,,,,,,,
12,532,279,68," Schon mein Großvater Meinrad Siegwart, Sohn des Anton und der Maria Knotz, wurde den 5.",,,,,,,,,,
12,532,279,69,"März 1738 in Schüpfheim getauft und verehelichte sich den 6.",,,,,,,,,,
12,532,279,70,"Mai 1760 mit Katharina Fillinger beim heiligen Kreuze in Hasle.",,,,,,,,,,
12,532,279,71,"Er starb den 15.",,,,,,,,,,
12,532,279,72,"Hornung 1799 in Lodrino.",,,,,,,,,,
12,532,279,73,"Meine Mutter war den 17.",,,,,,,,,,
12,532,279,74,"Mai 1768 in Flühli geboren.",,,,,,,,,,
12,532,279,75,"Sie verehelichte sich mit meinem Vater den 4.",,,,,,,,,,
12,532,279,76,"Mai 1799.",,,,,,,,,,
12,532,279,77,"Ich stammte demnach von einer deutschen Familie aus dem Großherzogthum Baden ab.",,,,,,,,,,
12,532,279,78,"Die Familie Siegwart besaß aber seit ihrer Einwanderung in den Kanton Luzern eine Glashütte in Flühli, erwarb sich eine Menge von Liegenschaften, verbreitete Gewerbsamkeit, heirathete sich in Landesfamilien ein, kaufte das Bürgerrecht im Kanton Luzern, war vermöglich und angesehen.",,,,,,,,,,
12,532,279,79,"Lächerlich war es, daß ich, sogar nachdem ich schon zwei Bürgerrechte in den Kantonen Uri und Luzern erworben hatte, noch bald von der einen, bald von der andern politischen Partei als ein Fremder"", als ein Schwarzwälder"" dem Hasse preisgegeben werden wollte.",,,,,,,,,,
12,532,279,80,"Maucher, welcher mich einen Fremden"" nannte, hatte nicht so gute Rechtstitel, wie ich, ein ächter Schweizer zu heißen.",,,,,,,,,,
12,532,279,81,"Frühe verlor ich meine Eltern.",,,,,,,,,,
12,532,279,82,"Die Mutter starb den 7.",,,,,,,,,,
12,532,279,83,"Jänner 1802, der Vater den 14.",,,,,,,,,,
12,532,279,84,"März 1803, also war ich erst drei Monate alt, als ich meine Mutter, und noch nicht achtzehn Monate alt, als ich meinen Vater verlor.",,,,,,,,,,
12,532,279,85,"Meine Eltern waren in Lodrino sowohl wegen ihres Vermögens, als auch wegen ihres Charakters angesehen und geliebt.",,,,,,,,,,
12,532,279,86,"Der Herr Pfarrer von Lodrino, Johannes Jemini, schrieb mir darüber unterm 22.",,,,,,,,,,
12,532,279,87,"Mai 1849: Parentes tui bene audiunt apud omnes qui eos cognoverunt tum quoad vitam et bonos mores, tum quoad substantias et divitias eorum: et propter quod tibi gratulor.",,,,,,,,,,
12,532,279,88,""" Das heißt: Ich bin so glücklich, Ihnen zu sagen, daß Ihre Eltern bei allen Denjenigen, welche sie gekannt haben, einen guten Namen haben, sowohl rücksichtlich ihres Lebenswandels und ihrer guten Sitten, als rücksichtlich ihrer Besitzungen und Reichthümer.",,,,,,,,,,
12,532,279,89,""" Meinrad, der Bruder meines Vaters, führte das Geschäft nach dessen Tode fort.",,,,,,,,,,
12,532,279,90,"Allein auch er starb schon den 7.",,,,,,,,,,
12,532,279,91,"Mai 1805, und hinterließ mir ein beträchtliches, nach den Verhältnissen des Landes sogar reiches Vermögen.",,,,,,,,,,
12,532,279,92,"Vor seinem Tode hatte er nur seinen Schwager, Melchior Trösch von Göschinen, Kantons Uri, Sohn des Schloßvogtes von Bellenz, als Vormund bestellt.",,,,,,,,,,
12,532,279,93,"Nach dem Tode meines Oheims Meinrad kam ich in das Haus meines Vormundes in Bellenz, wo noch meine Großmutter Katharina Fillinger lebte.",,,,,,,,,,
12,532,279,94,"Sie war sehr gütig gegen mich, aber zu alt, meine Erziehung zu besorgen.",,,,,,,,,,
12,532,279,95,"Mein Vormund hatte einen Oheim, den Bruder seiner Mutter, welcher Pfarrer auf dem Seelisberge im Kanton Uri war und Joseph Maria Regli hieß.",,,,,,,,,,
12,532,279,96,"Diesem übergab er mich zur Erziehung.",,,,,,,,,,
12,532,279,97,"Rosalia Trösch, des Vormundes Schwester, geleitete mich nach Seelisberg.",,,,,,,,,,
12,532,279,98,"Auf einem Maulthiere überstieg ich den St.",,,,,,,,,,
12,532,279,99,"Gotthard.",,,,,,,,,,
12,532,279,100,"Zu meinem nicht geringen Schrecken ging es, nach Gewohnheit dieser Thiere, immer am äußersten Rande der Abgründe, jedoch langsam und sichern Trittes, seinen Weg.",,,,,,,,,,
12,532,279,101,"Am 26.",,,,,,,,,,
12,532,279,102,"Brachmonat 1808 kam ich auf dem Seelisberge an.",,,,,,,,,,
12,532,279,103,"Der gute Pfarrer nahm mich mit herzlicher Freundlichkeit auf und vertrat von nun an Vaterstelle an mir.",,,,,,,,,,
12,532,279,104,"Ich blieb in seiner Erziehung und Pflege bis zum 18.",,,,,,,,,,
12,532,279,105,"Weinmonat 1818.",,,,,,,,,,
12,532,279,106,"Der Seelisberg, damals die Gemeinde eines guten, im Ganzen wohlhablichen Hirtenvolkes, welches, nach Art der Bergvölker überhaupt, auch etwas Zurückhaltendes und Witzelndes im Charakter hatte, ist jetzt ein [3] berühmter Kurort, von allerlei Nationen besucht, geworden.",,,,,,,,,,
12,532,279,107,"Der Berg hat eine sehr gesunde Luft, eine freie Aussicht auf den Vierwaldstättersee, der ihn umspült, und auf die Waldstätte Uri, Schwyz, Unterwalden und Luzern.",,,,,,,,,,
12,532,279,108,"Er schließt in sich die Wiege der schweizerischen Freiheit, das einsame Rütli, welches der Kanton Uri in neuester Zeit an die gemeinnützige Gesellschaft der Schweiz verkaufen ließ.",,,,,,,,,,
12,532,279,109,"Auf dem Berge selbst, am Fuße der Kulm, liegt ein fisch-, krebs- und austernreiches Seelein, von welchem die Gemeinde den Namen hat.",,,,,,,,,,
12,532,279,110,"Der Berg, vorzüglich auf seinem nordwestlichen Fuße am See, ist sehr fruchtbar an Wiesen und feinem Obstgewächse.",,,,,,,,,,
12,532,279,111,"Die Mundart der Seelisberger ist die der Unterwaldner, früher war es auch meistens die Kleidertracht.",,,,,,,,,,
12,532,279,112,"Jetzt hat die letztere gar keinen eigenthümlichen Charakter mehr.",,,,,,,,,,
12,532,279,113,"Die Seelisberger stehen meistentheils mit Schwyz im Verkehre, sehr wenig mit Uri, sind auch mehr mit den Unterwaldnern und Schwyzern befreundet, als mit den Urnern.",,,,,,,,,,
12,532,279,114,"Unter diesem Volke und auf diesem Berge wuchs ich auf.",,,,,,,,,,
12,532,279,115,"Ich machte die üblichen Spiele mit, welche in Laufen, Springen, Schlittenfahren u.",,,,,,,,,,
12,532,279,116,"s.",,,,,,,,,,
12,532,279,117,"w.",,,,,,,,,,
12,532,279,118,"bestunden, worin ich mich ruhmvoll hervorthat.",,,,,,,,,,
12,532,279,119,"Zu Hause hatte ich Freude am Blumenmachen (der Herr Pfarrer lieferte in gar viele Kirchen Blumen), am Verfertigen von Krippen u.",,,,,,,,,,
12,532,279,120,"dgl.",,,,,,,,,,
12,532,279,121,", womit die Wintertage verkürzt und angenehm zugebracht wurden.",,,,,,,,,,
12,532,279,122,"An Sonn- und Festtagen und an den langen Winterabenden wurde mit eingeladenen Nachbarn, mit welchen der Pfarrer im freundlichsten Verhältnisse stand, gespielt  und zwar meistens Tarok"" oder Kaisern.",,,,,,,,,,
12,532,279,123,""" Das letzte Spiel, welches sehr lebhaft und mit vielem Scharfsinne gespielt wurde, beginnt mehr und mehr zu verschwinden  damals war es ein ächtes Nationalspiel.",,,,,,,,,,
12,532,279,124,"Wie ich im Freien beim Rennen und Springen ein wilder Bube war, so war ich im Gegensatze zu Hause ein sehr weicher.",,,,,,,,,,
12,532,279,125,"Nur eine ernste Miene meines Erziehers lockte meine Thränen hervor.",,,,,,,,,,
12,532,279,126,"Die Erziehung des Pfarrers war übrigens sehr mild, er hatte mich gar zu lieb;",,,,,,,,,,
12,532,279,127,"ein einzig Mal erinnere ich mich, in der Schule von ihm ein paar Ruthenstreiche auf die Finger bekommen zu haben, sonst lief es immer mit Worten oder etwa mit Niederknieen und etwas Beten ab.",,,,,,,,,,
12,532,279,128,"Im Ganzen war ich aber auch folgsam, ohne Hartnäckigkeit oder Widerspruch.",,,,,,,,,,
12,532,279,129,"Ein einzig Mal hätte ich dem Herrn Pfarrer Abbitte leisten sollen;",,,,,,,,,,
12,532,279,130,"es wurde mir als Bedingung, zur ersten heiligen Communion zugelassen zu werden, gesetzt;",,,,,,,,,,
12,532,279,131,"drei Tage lang konnte ich, wie ich glaube, vorzüglich aus Scheue, mich nicht dazu verstehen;",,,,,,,,,,
12,532,279,132,"am dritten Tage wurde durch die Köchin Agatha Gisler, welche mich wie eine Mutter besorgte und liebte, die Sache dahin vermittelt, daß ich die Abbitte schriftlich leisten konnte.",,,,,,,,,,
12,532,279,133,"Hernach war Alles wieder gut.",,,,,,,,,,
12,532,279,134,"Ich empfing im eilften Altersjahre die erste heilige Communion und wurde in die Rosenkranzbruderschaft aufgenommen.",,,,,,,,,,
12,532,279,135,"[4] Der Herr Pfarrer verehrte mir zum Andenken einen Rosenkranz von Silberdraht, den ich jetzt noch besitze.",,,,,,,,,,
12,532,279,136,"Alle Monate, später alle vierzehn Tage, empfing ich die heiligen Sakramente.",,,,,,,,,,
12,532,279,137,"Der Herr Pfarrer war stets mein Beichtvater.",,,,,,,,,,
12,532,279,138,"Täglich mußte ich die heilige Messe anhören und an Sonn- und Festtagen dem vor- und nachmittägigen Gottesdienste beiwohnen.",,,,,,,,,,
12,532,279,139,"Alle Abende wurde laut der Rosenkranz mit vielen Zuthaten, zur Sommerszeit im Freien, gebetet.",,,,,,,,,,
12,532,279,140,"In der Kirche leistete ich mehrfach Chor- und Altardienst.",,,,,,,,,,
12,532,279,141,"Fast alle Tage las ich nach dem Essen das Leben der Heiligen vor.",,,,,,,,,,
12,532,279,142,"Die Beispiele derselben eiferten mich oft zu außerordentlichen Uebungen an, welche ich aber bald wieder aufgab.",,,,,,,,,,
12,532,279,143,"Weder in noch außer dem Hause sah ich böse Beispiele oder Aergernisse.",,,,,,,,,,
12,532,279,144,"Der Herr Pfarrer, obwohl von sehr hitzigem Temperamente, lebhaft und witzig, vergaß nicht seine Würde als Seelsorger.",,,,,,,,,,
12,532,279,145,"So darf ich sagen, daß meine Erziehung eine religiöse und meine Aufführung eine sittliche war.",,,,,,,,,,
12,532,279,146,"Zu meiner geistigen Ausbildung hatte ich die Gemeindeschule, welche ein jeweiliger Pfarrhelfer mit mehr oder weniger Geschick halten mußte.",,,,,,,,,,
12,532,279,147,"Lesen, Schreiben und Rechnen waren die Unterrichtsgegenstände.",,,,,,,,,,
12,532,279,148,"Im Rechnen brachte ich es, wie meine Mitschüler, nicht über die Division hinaus, war überhaupt nie ein Mathematiker, obwohl ich jetzt zwei Söhne als Ingenieurs habe.",,,,,,,,,,
12,532,279,149,"Zu Hause war Abraham à Sta.",,,,,,,,,,
12,532,279,150,"Clara, Odilo Schröger (studiosus Jovialis), Doungs Nachtgedanken, Loders Auslegung der gesammten Bibel und zuletzt Langs Kirchengeschichte der Schweiz meine Lesung.",,,,,,,,,,
12,532,279,151,"Aus der letztern machte ich Auszüge, die ich noch besitze.",,,,,,,,,,
12,532,279,152,"Erst im letzten Jahre meines Aufenthaltes auf Seelisberg begann ich ernstlich die Erlernung der lateinischen Sprache, nachdem ich sie früher einmal unter Pfarrhelfer Muheims Leitung begonnen, aber gleich wieder aufgegeben hatte.",,,,,,,,,,
12,532,279,153,"Da übersetzte ich alle Pensen der Einsiedler Grammatik, der Pfarrer corrigirte am Abende, so gut es gehen wollte, meine Uebersetzungen.",,,,,,,,,,
12,532,279,154,"Dadurch gewann ich mir eine Menge von Lateinworten und Redensarten.",,,,,,,,,,
12,532,279,155,"Tag und Nacht studirte ich theils im Freien, theils im Zimmer.",,,,,,,,,,
12,532,279,156,"Zwei Jahre nach einander hatte ich im Monat März heftige Lungenentzündungen  einmal kam ich nahe an den Rand des Grabes  ausgehalten, welche mich sehr abgeschwächt hatten und mir das Studium ungemein erschwerten.",,,,,,,,,,
12,532,279,157,"Die Folgen davon gehen bis in mein jetziges Alter fort.",,,,,,,,,,
12,532,279,158,"So mußte der Herr Pfarrer mich eher zurückhalten, als zum Studium anspornen.",,,,,,,,,,
12,532,279,159,"Joseph Maria Regli war ein sehr eifriger Seelsorger.",,,,,,,,,,
12,532,279,160,"Ungeachtet seines hohen Alters ging er an Monatssonntagen und an hohen Festen schon Morgens 4 Uhr in den Beichtstuhl und gar nicht selten aus dem Beichtstuhl auf die Kanzel, um die Predigt zu halten und nach der Predigt das Hochamt zu feiern;",,,,,,,,,,
12,532,279,161,"Nachmittags hielt er alle Sonntage um ein Uhr Kinder- und Christenlehre.",,,,,,,,,,
12,532,279,162,"Seine Vorträge waren einfach, doch schrieb er alle [5] Predigten;",,,,,,,,,,
12,532,279,163,"er bediente sich des Predigtmerkes des Paters Hunolt und zu den Christenlehren benützte er den Gossine.",,,,,,,,,,
12,532,279,164,"Gegen herrschende Mißbräuche und sittliche Gebrechen gerieth er in seinen Vorträgen in einen wahren Feuereifer.",,,,,,,,,,
12,532,279,165,"Er donnerte von der Kanzel herab oder bei Christenlehren vor dem Pulte stehend.",,,,,,,,,,
12,532,279,166,"Am hitzigsten sprach er sich gegen die Vorsteher aus, wenn sie Mißbräuche entweder förderten oder hinnahmen, ohne zu thun, was ihres Amtes war.",,,,,,,,,,
12,532,279,167,"Er berief sie dann in das Pfarrhaus, gab ihnen derbe Verweise und schlug oft vor ihnen auf den Tisch, daß er erschütterte.",,,,,,,,,,
12,532,279,168,"Er hatte unter Andern einen ränkevollen und störrischen Kopf in der Gemeinde, welcher ihm vielen Aerger und Verdruß verursachte.",,,,,,,,,,
12,532,279,169,"Als der Pfarrer einmal durch mich das angekleidete Muttergottesbild in der Kapelle Maria Sonnenberg herabnehmen ließ, um das Kunstgemälde der Krönung Mariens nicht mehr durch jenes Bild verderben und ruiniren zu lassen, klagte jener Intriguant den Pfarrer bei den gnädigen Herren und Oberen in Uri an, er habe die Mutter Gottes gestohlen.",,,,,,,,,,
12,532,279,170,"Es gab einen solchen Lärmen in der Gemeinde, daß der Pfarrer für gut fand, das Bild wieder an seinen Ort zu stellen, so daß auf einem und demselben Altar oben das alte Gnadenbild, unten das angekleidete Marienbild und hinter diesem und von ihm verdeckt ein ausgezeichnetes Kunstbild, Maria Krönung, standen.",,,,,,,,,,
12,532,279,171,"Erst der dritte Nachfolger meines Pfarrers wagte es, das angekleidete Bild wegzuschaffen und der Kunst also ihr Recht zu sichern.",,,,,,,,,,
12,532,279,172,"Nicht nur als Beichtvater, Prediger und Wächter der Sittlichkeit und Ordnung in der Gemeinde war der Pfarrer Regli eifrig, sondern auch als Tröster der Leidenden und Kranken.",,,,,,,,,,
12,532,279,173,"Bei Tage und bei Nacht eilte er auf jeden Ruf und auch aus freiem Antriebe zu den Kranken.",,,,,,,,,,
12,532,279,174,"Er ahnte oft zum Voraus, durch ein Geräusch, welches sich in jenem Schranke kund gab, worin er das Benediktionale, die Stola und das Chorhemd hatte, dazu veranlaßt, daß er in der Nacht fort zu einem Kranken gehen müßte.",,,,,,,,,,
12,532,279,175,"Nicht selten sagte er es uns zum Voraus und rüstete Alles auf diesen Gang vor.",,,,,,,,,,
12,532,279,176,"Er hatte eine ganze Menge von Hausmitteln, welche er bei vielen Anlässen mit gutem Erfolge anwendete.",,,,,,,,,,
12,532,279,177,"Das war für die Kranken ein Trost, da man damals den nächsten Arzt über den See in einer Entfernung von zwei Stunden, nämlich in Schwyz, berichten oder holen mußte.",,,,,,,,,,
12,532,279,178,"Im Jahre 1817, wo das Nervenfieber grassirte, theilte er den Genesenden mauche Flasche Wein, und zwar den ärmern unentgeldlich aus und beförderte dadurch ihre Wiederherstellung.",,,,,,,,,,
12,532,279,179,"Eine edle Gastfreundschaft war ein hervorstechender Zug in dem Leben des Herrn Pfarrers.",,,,,,,,,,
12,532,279,180,"Wer bei ihm einkehrte, war gut empfangen und bewirthet.",,,,,,,,,,
12,532,279,181,"Seine Küche war weit umher berühmt.",,,,,,,,,,
12,532,279,182,"Von Luzern, von Uri, von Tchwnz und Unterwalden, auch von Zürich kamen Einzelne und ganze [6] Gesellschaften, um der freien Luft und der vielfach herrlichen Aussichten zu genießen und ihre Eßlust an dem Tische des gastfreundlichen, heitern Pfarrers zu stillen.",,,,,,,,,,
12,532,279,183,"Alljährlich veranstalteten der Herr Zeugherr Jauch und Herr Landammann Karl Beßler von Wattingen aus Altdorf Jagdparthieen auf den Seelisberg und hielten sich einige Tage beim Herrn Pfarrer auf, wo sie Wohnung, Tafel und freundliche Behandlung fanden.",,,,,,,,,,
